Serial Number:20472264 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2018-12-10 14:39:41,70.30,14, , , , 
2018-12-10 14:49:41,69.60,22, , , , 
2018-12-10 14:59:41,53.00,0, , , , 
2018-12-10 15:09:41,48.75,11, , , , 
2018-12-10 15:19:41,37.48,112, , , , 
2018-12-10 15:29:41,27.59,294, , , , 
2018-12-10 15:39:41,32.61,0, , , , 
2018-12-10 15:49:41,38.48,0, , , , 
2018-12-10 15:59:41,38.94,0, , , , 
2018-12-10 16:09:41,39.02,0, , , , 
2018-12-10 16:19:41,39.18,0, , , , 
2018-12-10 16:29:41,39.10,0, , , , 
2018-12-10 16:39:41,39.18,0, , , , 
2018-12-10 16:49:41,39.10,0, , , , 
2018-12-10 16:59:41,39.10,0, , , , 
2018-12-10 17:09:41,38.94,0, , , , 
2018-12-10 17:19:41,38.87,0, , , , 
2018-12-10 17:29:41,38.79,0, , , , 
2018-12-10 17:39:41,38.94,0, , , , 
2018-12-10 17:49:41,38.87,0, , , , 
2018-12-10 17:59:41,39.02,0, , , , 
2018-12-10 18:09:41,38.87,0, , , , 
2018-12-10 18:19:41,38.87,0, , , , 
2018-12-10 18:29:41,38.87,0, , , , 
2018-12-10 18:39:41,38.79,0, , , , 
2018-12-10 18:49:41,38.79,0, , , , 
2018-12-10 18:59:41,38.87,0, , , , 
2018-12-10 19:09:41,38.87,0, , , , 
2018-12-10 19:19:41,38.79,0, , , , 
2018-12-10 19:29:41,38.94,0, , , , 
2018-12-10 19:39:41,38.94,0, , , , 
2018-12-10 19:49:41,38.87,0, , , , 
2018-12-10 19:59:41,38.79,0, , , , 
2018-12-10 20:09:41,38.79,0, , , , 
2018-12-10 20:19:41,38.79,0, , , , 
2018-12-10 20:29:41,38.94,0, , , , 
2018-12-10 20:39:41,38.87,0, , , , 
2018-12-10 20:49:41,38.87,0, , , , 
2018-12-10 20:59:41,38.87,0, , , , 
2018-12-10 21:09:41,39.02,0, , , , 
2018-12-10 21:19:41,39.02,0, , , , 
2018-12-10 21:29:41,39.10,0, , , , 
2018-12-10 21:39:41,39.02,0, , , , 
2018-12-10 21:49:41,38.94,0, , , , 
2018-12-10 21:59:41,38.87,0, , , , 
2018-12-10 22:09:41,38.79,0, , , , 
2018-12-10 22:19:41,38.79,0, , , , 
2018-12-10 22:29:41,38.87,0, , , , 
2018-12-10 22:39:41,38.79,0, , , , 
2018-12-10 22:49:41,38.79,0, , , , 
2018-12-10 22:59:41,38.87,0, , , , 
2018-12-10 23:09:41,38.87,0, , , , 
2018-12-10 23:19:41,38.87,0, , , , 
2018-12-10 23:29:41,38.79,0, , , , 
2018-12-10 23:39:41,38.87,0, , , , 
2018-12-10 23:49:41,38.94,0, , , , 
2018-12-10 23:59:41,38.94,0, , , , 
2018-12-11 00:09:41,38.94,0, , , , 
2018-12-11 00:19:41,38.79,0, , , , 
2018-12-11 00:29:41,38.79,0, , , , 
2018-12-11 00:39:41,38.79,0, , , , 
2018-12-11 00:49:41,38.79,0, , , , 
2018-12-11 00:59:41,38.79,0, , , , 
2018-12-11 01:09:41,38.87,0, , , , 
2018-12-11 01:19:41,38.87,0, , , , 
2018-12-11 01:29:41,38.87,0, , , , 
2018-12-11 01:39:41,38.94,0, , , , 
2018-12-11 01:49:41,38.79,0, , , , 
2018-12-11 01:59:41,38.87,0, , , , 
2018-12-11 02:09:41,38.87,0, , , , 
2018-12-11 02:19:41,38.79,0, , , , 
2018-12-11 02:29:41,38.87,0, , , , 
2018-12-11 02:39:41,38.79,0, , , , 
2018-12-11 02:49:41,38.79,0, , , , 
2018-12-11 02:59:41,38.87,0, , , , 
2018-12-11 03:09:41,38.87,0, , , , 
2018-12-11 03:19:41,38.79,0, , , , 
2018-12-11 03:29:41,38.87,0, , , , 
2018-12-11 03:39:41,38.79,0, , , , 
2018-12-11 03:49:41,38.79,0, , , , 
2018-12-11 03:59:41,38.87,0, , , , 
2018-12-11 04:09:41,38.94,0, , , , 
2018-12-11 04:19:41,38.87,0, , , , 
2018-12-11 04:29:41,38.87,0, , , , 
2018-12-11 04:39:41,38.94,0, , , , 
2018-12-11 04:49:41,38.87,0, , , , 
2018-12-11 04:59:41,38.79,0, , , , 
2018-12-11 05:09:41,38.79,0, , , , 
2018-12-11 05:19:41,38.79,0, , , , 
2018-12-11 05:29:41,38.87,0, , , , 
2018-12-11 05:39:41,38.94,0, , , , 
2018-12-11 05:49:41,38.79,0, , , , 
2018-12-11 05:59:41,38.79,0, , , , 
2018-12-11 06:09:41,38.79,0, , , , 
2018-12-11 06:19:41,38.87,0, , , , 
2018-12-11 06:29:41,38.79,0, , , , 
2018-12-11 06:39:41,38.87,0, , , , 
2018-12-11 06:49:41,38.87,0, , , , 
2018-12-11 06:59:41,39.02,0, , , , 
2018-12-11 07:09:41,39.10,0, , , , 
2018-12-11 07:19:41,39.02,0, , , , 
2018-12-11 07:29:41,39.02,0, , , , 
2018-12-11 07:39:41,38.94,0, , , , 
2018-12-11 07:49:41,38.87,0, , , , 
2018-12-11 07:59:41,38.79,0, , , , 
2018-12-11 08:09:41,38.87,0, , , , 
2018-12-11 08:19:41,38.94,0, , , , 
2018-12-11 08:29:41,38.94,0, , , , 
2018-12-11 08:39:41,38.94,0, , , , 
2018-12-11 08:49:41,38.94,1, , , , 
2018-12-11 08:59:41,38.87,1, , , , 
2018-12-11 09:09:41,38.94,1, , , , 
2018-12-11 09:19:41,38.87,1, , , , 
2018-12-11 09:29:41,38.94,1, , , , 
2018-12-11 09:39:41,38.94,1, , , , 
2018-12-11 09:49:41,38.94,1, , , , 
2018-12-11 09:59:41,38.94,1, , , , 
2018-12-11 10:09:41,38.94,1, , , , 
2018-12-11 10:19:41,38.94,1, , , , 
2018-12-11 10:29:41,38.87,2, , , , 
2018-12-11 10:39:41,38.94,1, , , , 
2018-12-11 10:49:41,38.87,2, , , , 
2018-12-11 10:59:41,38.87,2, , , , 
2018-12-11 11:09:41,38.87,2, , , , 
2018-12-11 11:19:41,38.79,2, , , , 
2018-12-11 11:29:41,38.94,2, , , , 
2018-12-11 11:39:41,38.94,2, , , , 
2018-12-11 11:49:41,38.94,2, , , , 
2018-12-11 11:59:41,38.87,2, , , , 
2018-12-11 12:09:41,38.94,3, , , , 
2018-12-11 12:19:41,38.87,2, , , , 
2018-12-11 12:29:41,38.79,2, , , , 
2018-12-11 12:39:41,38.94,2, , , , 
2018-12-11 12:49:41,38.87,2, , , , 
2018-12-11 12:59:41,38.87,2, , , , 
2018-12-11 13:09:41,38.87,2, , , , 
2018-12-11 13:19:41,38.87,2, , , , 
2018-12-11 13:29:41,38.87,3, , , , 
2018-12-11 13:39:41,38.94,2, , , , 
2018-12-11 13:49:41,38.79,1, , , , 
2018-12-11 13:59:41,38.94,1, , , , 
2018-12-11 14:09:41,38.94,1, , , , 
2018-12-11 14:19:41,38.87,1, , , , 
2018-12-11 14:29:41,38.94,1, , , , 
2018-12-11 14:39:41,38.94,1, , , , 
2018-12-11 14:49:41,38.87,1, , , , 
2018-12-11 14:59:41,38.94,0, , , , 
2018-12-11 15:09:41,38.94,0, , , , 
2018-12-11 15:19:41,38.94,0, , , , 
2018-12-11 15:29:41,38.87,0, , , , 
2018-12-11 15:39:41,38.94,0, , , , 
2018-12-11 15:49:41,38.87,0, , , , 
2018-12-11 15:59:41,38.87,0, , , , 
2018-12-11 16:09:41,38.94,0, , , , 
2018-12-11 16:19:41,38.87,0, , , , 
2018-12-11 16:29:41,38.94,0, , , , 
2018-12-11 16:39:41,38.94,0, , , , 
2018-12-11 16:49:41,38.94,0, , , , 
2018-12-11 16:59:41,38.94,0, , , , 
2018-12-11 17:09:41,38.94,0, , , , 
