Serial Number:20472264 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2020-10-27 11:32:58,19.86,248, , , , 
2020-10-27 11:42:58,19.90,515, , , , 
2020-10-27 11:52:58,19.86,558, , , , 
2020-10-27 12:02:58,13.34,8, , , , 
2020-10-27 12:12:58,11.02,137, , , , 
2020-10-27 12:22:58,7.93,8, , , , 
2020-10-27 12:32:58,8.58,117, , , , 
2020-10-27 12:42:58,14.93,"54,108", , , , 
2020-10-27 12:52:58,7.81,"6,149", , , , 
2020-10-27 13:02:58,4.72,130, , , , 
2020-10-27 13:12:58,4.50,122, , , , 
2020-10-27 13:22:58,4.46,109, , , , 
2020-10-27 13:32:58,4.54,96, , , , 
2020-10-27 13:42:58,4.63,122, , , , 
2020-10-27 13:52:58,4.63,113, , , , 
2020-10-27 14:02:58,4.63,95, , , , 
2020-10-27 14:12:58,4.67,90, , , , 
2020-10-27 14:22:58,4.76,83, , , , 
2020-10-27 14:32:58,4.76,62, , , , 
2020-10-27 14:42:58,4.80,56, , , , 
2020-10-27 14:52:58,4.76,54, , , , 
2020-10-27 15:02:58,4.80,45, , , , 
2020-10-27 15:12:58,4.80,43, , , , 
2020-10-27 15:22:58,4.80,47, , , , 
2020-10-27 15:32:58,4.80,37, , , , 
2020-10-27 15:42:58,4.84,30, , , , 
2020-10-27 15:52:58,4.84,18, , , , 
2020-10-27 16:02:58,4.84,21, , , , 
2020-10-27 16:12:58,4.84,21, , , , 
2020-10-27 16:22:58,4.89,21, , , , 
2020-10-27 16:32:58,4.80,17, , , , 
2020-10-27 16:42:58,4.84,14, , , , 
2020-10-27 16:52:58,4.84,8, , , , 
2020-10-27 17:02:58,4.89,8, , , , 
2020-10-27 17:12:58,4.84,6, , , , 
2020-10-27 17:22:58,4.84,2, , , , 
2020-10-27 17:32:58,4.84,2, , , , 
2020-10-27 17:42:58,4.80,1, , , , 
2020-10-27 17:52:58,4.76,0, , , , 
2020-10-27 18:02:58,4.76,0, , , , 
2020-10-27 18:12:58,4.72,0, , , , 
2020-10-27 18:22:58,4.76,0, , , , 
2020-10-27 18:32:58,4.76,0, , , , 
2020-10-27 18:42:58,4.72,0, , , , 
2020-10-27 18:52:58,4.72,0, , , , 
2020-10-27 19:02:58,4.72,0, , , , 
