Serial Number:20472262 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Host Connect","Button Down","Button Up","EOF"
2020-10-27 11:32:30,19.52,191, , , , 
2020-10-27 11:33:20, , ,Logged, , , 
2020-10-27 11:42:30,19.56,401, , , , 
2020-10-27 11:52:30,19.77,207, , , , 
2020-10-27 12:02:30,14.54,19, , , , 
2020-10-27 12:12:30,12.57,"1,090", , , , 
2020-10-27 12:22:30,9.39,19, , , , 
2020-10-27 12:32:30,9.14,226, , , , 
2020-10-27 12:42:30,15.96,"73,933", , , , 
2020-10-27 12:52:30,8.96,"22,692", , , , 
2020-10-27 13:02:30,4.72,33, , , , 
2020-10-27 13:12:30,4.50,37, , , , 
2020-10-27 13:22:30,4.46,31, , , , 
2020-10-27 13:32:30,4.54,29, , , , 
2020-10-27 13:42:30,4.54,40, , , , 
2020-10-27 13:52:30,4.59,36, , , , 
2020-10-27 14:02:30,4.67,22, , , , 
2020-10-27 14:12:30,4.67,23, , , , 
2020-10-27 14:22:30,4.72,28, , , , 
2020-10-27 14:32:30,4.72,22, , , , 
2020-10-27 14:42:30,4.76,21, , , , 
2020-10-27 14:52:30,4.72,21, , , , 
2020-10-27 15:02:30,4.76,18, , , , 
2020-10-27 15:12:30,4.76,17, , , , 
2020-10-27 15:22:30,4.80,18, , , , 
2020-10-27 15:32:30,4.80,12, , , , 
2020-10-27 15:42:30,4.76,13, , , , 
2020-10-27 15:52:30,4.80,8, , , , 
2020-10-27 16:02:30,4.84,10, , , , 
2020-10-27 16:12:30,4.89,8, , , , 
2020-10-27 16:22:30,4.84,9, , , , 
2020-10-27 16:32:30,4.72,8, , , , 
2020-10-27 16:42:30,4.80,5, , , , 
2020-10-27 16:52:30,4.84,3, , , , 
2020-10-27 17:02:30,4.89,3, , , , 
2020-10-27 17:12:30,4.84,3, , , , 
2020-10-27 17:22:30,4.80,1, , , , 
2020-10-27 17:32:30,4.76,1, , , , 
2020-10-27 17:42:30,4.72,0, , , , 
2020-10-27 17:52:30,4.63,0, , , , 
2020-10-27 18:02:30,4.72,0, , , , 
2020-10-27 18:12:30,4.67,0, , , , 
2020-10-27 18:22:30,4.72,0, , , , 
2020-10-27 18:32:30,4.76,0, , , , 
2020-10-27 18:42:30,4.72,0, , , , 
2020-10-27 18:52:30,4.72,0, , , , 
2020-10-27 19:02:30,4.67,0, , , , 
2020-10-27 19:12:30,4.54,0, , , , 
2020-10-27 19:22:30,4.46,0, , , , 
2020-10-27 19:32:30,4.50,0, , , , 
2020-10-27 19:42:30,4.59,0, , , , 
2020-10-27 19:52:30,4.59,0, , , , 
2020-10-27 20:02:30,4.54,0, , , , 
2020-10-27 20:12:30,4.50,0, , , , 
2020-10-27 20:22:30,4.63,0, , , , 
2020-10-27 20:32:30,4.50,0, , , , 
2020-10-27 20:42:30,4.54,0, , , , 
2020-10-27 20:52:30,4.54,0, , , , 
2020-10-27 21:02:30,4.50,0, , , , 
2020-10-27 21:12:30,4.50,0, , , , 
2020-10-27 21:22:30,4.54,0, , , , 
2020-10-27 21:32:30,4.50,0, , , , 
2020-10-27 21:42:30,4.46,0, , , , 
2020-10-27 21:52:30,4.54,0, , , , 
2020-10-27 22:02:30,4.50,0, , , , 
2020-10-27 22:12:30,4.50,0, , , , 
2020-10-27 22:22:30,4.50,0, , , , 
2020-10-27 22:32:30,4.46,0, , , , 
2020-10-27 22:42:30,4.42,0, , , , 
2020-10-27 22:52:30,4.46,0, , , , 
2020-10-27 23:02:30,4.50,0, , , , 
2020-10-27 23:12:30,4.46,0, , , , 
2020-10-27 23:22:30,4.46,0, , , , 
2020-10-27 23:32:30,4.46,0, , , , 
2020-10-27 23:42:30,4.42,0, , , , 
2020-10-27 23:52:30,4.42,0, , , , 
2020-10-28 00:02:30,4.46,0, , , , 
2020-10-28 00:12:30,4.42,0, , , , 
2020-10-28 00:22:30,4.42,0, , , , 
2020-10-28 00:32:30,4.42,0, , , , 
2020-10-28 00:42:30,4.42,0, , , , 
2020-10-28 00:52:30,4.42,0, , , , 
2020-10-28 01:02:30,4.33,0, , , , 
2020-10-28 01:12:30,4.42,0, , , , 
2020-10-28 01:22:30,4.42,0, , , , 
2020-10-28 01:32:30,4.42,0, , , , 
2020-10-28 01:42:30,4.37,0, , , , 
2020-10-28 01:52:30,4.37,0, , , , 
2020-10-28 02:02:30,4.37,0, , , , 
2020-10-28 02:12:30,4.42,0, , , , 
2020-10-28 02:22:30,4.33,0, , , , 
2020-10-28 02:32:30,4.37,0, , , , 
2020-10-28 02:42:30,4.33,0, , , , 
2020-10-28 02:52:30,4.33,0, , , , 
2020-10-28 03:02:30,4.37,0, , , , 
