7392-570653
OS REV: 1.11 Sensor Cal: 1428445788
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1604594460,+3.39, +4.309, +0.178,+0.954
1604594520,+3.39, +4.320, +0.178,+0.954
1604594580,+3.39, +4.289, +0.175,+0.954
1604594640,+3.39, +4.299, +0.173,+0.954
1604594700,+3.39, +4.299, +0.172,+0.954
1604594760,+3.39, +4.279, +0.172,+0.954
1604594820,+3.39, +4.289, +0.170,+0.954
1604594880,+3.39, +4.299, +0.168,+0.954
1604594940,+3.39, +4.299, +0.166,+0.954
1604595000,+3.39, +4.340, +0.165,+0.954
1604595060,+3.39, +4.279, +0.166,+0.954
1604595120,+3.39, +4.320, +0.167,+0.954
1604595180,+3.39, +4.279, +0.169,+0.954
1604595240,+3.39, +4.279, +0.172,+0.954
1604595300,+3.39, +4.289, +0.172,+0.954
1604595360,+3.39, +4.268, +0.171,+0.954
1604595420,+3.39, +4.258, +0.171,+0.953
1604595480,+3.39, +4.268, +0.169,+0.953
1604595540,+3.39, +4.227, +0.168,+0.953
1604595600,+3.39, +4.258, +0.167,+0.953
1604595660,+3.39, +4.258, +0.165,+0.953
1604595720,+3.39, +4.237, +0.166,+0.954
1604595780,+3.39, +4.258, +0.166,+0.954
1604595840,+3.39, +4.268, +0.166,+0.954
1604595900,+3.39, +4.248, +0.167,+0.954
1604595960,+3.39, +4.248, +0.170,+0.954
1604596020,+3.39, +4.248, +0.169,+0.954
1604596080,+3.39, +4.258, +0.171,+0.954
1604596140,+3.39, +4.268, +0.171,+0.954
1604596200,+3.39, +4.237, +0.172,+0.954
1604596260,+3.39, +4.248, +0.172,+0.954
1604596320,+3.39, +4.268, +0.171,+0.954
1604596380,+3.39, +4.279, +0.173,+0.954
1604596440,+3.39, +4.279, +0.173,+0.954
1604596500,+3.39, +4.279, +0.176,+0.954
1604596560,+3.39, +4.268, +0.178,+0.954
1604596620,+3.39, +4.299, +0.179,+0.954
1604596680,+3.39, +4.299, +0.176,+0.954
1604596740,+3.39, +4.279, +0.175,+0.954
1604596800,+3.39, +4.248, +0.177,+0.954
1604596860,+3.39, +4.268, +0.176,+0.954
1604596920,+3.39, +4.258, +0.175,+0.954
1604596980,+3.39, +4.258, +0.174,+0.954
1604597040,+3.39, +4.258, +0.175,+0.954
1604597100,+3.39, +4.258, +0.174,+0.954
1604597160,+3.39, +4.248, +0.174,+0.954
1604597220,+3.39, +4.268, +0.175,+0.954
1604597280,+3.39, +4.268, +0.178,+0.954
1604597340,+3.39, +4.289, +0.177,+0.954
1604597400,+3.39, +4.309, +0.177,+0.954
1604597460,+3.39, +4.279, +0.178,+0.954
1604597520,+3.39, +4.320, +0.177,+0.954
1604597580,+3.39, +4.330, +0.175,+0.954
1604597640,+3.39, +4.299, +0.175,+0.954
1604597700,+3.39, +4.340, +0.174,+0.954
1604597760,+3.39, +4.320, +0.177,+0.954
1604597820,+3.39, +4.340, +0.176,+0.954
1604597880,+3.39, +4.351, +0.181,+0.954
1604597940,+3.39, +4.330, +0.204,+0.954
1604598000,+3.39, +4.340, +0.201,+0.954
1604598060,+3.39, +4.351, +0.199,+0.954
1604598120,+3.39, +4.371, +0.193,+0.954
1604598180,+3.39, +4.320, +0.189,+0.954
1604598240,+3.39, +4.381, +0.186,+0.954
1604598300,+3.39, +4.340, +0.182,+0.954
1604598360,+3.39, +4.330, +0.187,+0.954
1604598420,+3.39, +4.371, +0.210,+0.955
1604598480,+3.39, +4.351, +0.221,+0.955
1604598540,+3.39, +4.371, +0.223,+0.955
1604598600,+3.39, +4.351, +0.219,+0.955
1604598660,+3.39, +4.340, +0.215,+0.955
1604598720,+3.39, +4.351, +0.207,+0.954
1604598780,+3.39, +4.361, +0.199,+0.954
1604598840,+3.39, +4.340, +0.193,+0.954
1604598900,+3.39, +4.340, +0.187,+0.954
1604598960,+3.39, +4.361, +0.182,+0.954
1604599020,+3.39, +4.371, +0.182,+0.954
1604599080,+3.39, +4.361, +0.183,+0.954
1604599140,+3.39, +4.361, +0.190,+0.954
1604599200,+3.39, +4.392, +0.192,+0.954
1604599260,+3.39, +4.412, +0.213,+0.955
1604599320,+3.39, +4.443, +0.226,+0.955
1604599380,+3.39, +4.443, +0.234,+0.955
1604599440,+3.39, +4.494, +0.247,+0.955
1604599500,+3.39, +4.494, +0.259,+0.955
1604599560,+3.39, +4.494, +0.270,+0.956
1604599620,+3.39, +4.504, +0.281,+0.956
1604599680,+3.39, +4.515, +0.292,+0.956
1604599740,+3.39, +4.463, +0.300,+0.956
1604599800,+3.39, +4.453, +0.300,+0.956
1604599860,+3.39, +4.463, +0.286,+0.956
1604599920,+3.39, +4.474, +0.266,+0.955
1604599980,+3.39, +4.463, +0.248,+0.955
1604600040,+3.39, +4.453, +0.242,+0.955
1604600100,+3.39, +4.443, +0.240,+0.955
1604600160,+3.39, +4.453, +0.230,+0.955
1604600220,+3.39, +4.412, +0.220,+0.954
1604600280,+3.39, +4.392, +0.215,+0.954
1604600340,+3.39, +4.422, +0.207,+0.954
1604600400,+3.39, +4.402, +0.195,+0.954
1604600460,+3.39, +4.392, +0.187,+0.954
1604600520,+3.39, +4.392, +0.182,+0.954
1604600580,+3.39, +4.402, +0.181,+0.954
1604600640,+3.39, +4.392, +0.176,+0.954
1604600700,+3.39, +4.381, +0.173,+0.954
1604600760,+3.39, +4.371, +0.170,+0.954
1604600820,+3.39, +4.371, +0.171,+0.954
1604600880,+3.39, +4.351, +0.170,+0.954
1604600940,+3.39, +4.351, +0.171,+0.954
1604601000,+3.39, +4.340, +0.173,+0.954
1604601060,+3.39, +4.361, +0.178,+0.954
1604601120,+3.39, +4.381, +0.176,+0.954
1604601180,+3.39, +4.351, +0.177,+0.954
1604601240,+3.39, +4.340, +0.175,+0.954
1604601300,+3.39, +4.361, +0.172,+0.954
1604601360,+3.39, +4.351, +0.172,+0.954
1604601420,+3.39, +4.351, +0.171,+0.954
1604601480,+3.39, +4.361, +0.169,+0.954
1604601540,+3.39, +4.351, +0.168,+0.954
1604601600,+3.39, +4.351, +0.167,+0.954
1604601660,+3.39, +4.351, +0.166,+0.954
1604601720,+3.39, +4.340, +0.167,+0.954
1604601780,+3.39, +4.361, +0.164,+0.954
1604601840,+3.39, +4.361, +0.165,+0.954
