Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2020-10-27 11:33:37,19.99,86, , , , 
2020-10-27 11:43:37,20.12,"1,124", , , , 
2020-10-27 11:53:37,20.25,"1,045", , , , 
2020-10-27 12:03:37,14.07,474, , , , 
2020-10-27 12:13:37,11.67,181, , , , 
2020-10-27 12:23:37,8.83,13, , , , 
2020-10-27 12:33:37,9.78,"1,716", , , , 
2020-10-27 12:43:37,17.59,"74,342", , , , 
2020-10-27 12:53:37,6.52,"5,089", , , , 
2020-10-27 13:03:37,4.59,853, , , , 
2020-10-27 13:13:37,4.59,792, , , , 
2020-10-27 13:23:37,4.54,828, , , , 
2020-10-27 13:33:37,4.59,628, , , , 
2020-10-27 13:43:37,4.63,822, , , , 
2020-10-27 13:53:37,4.67,706, , , , 
2020-10-27 14:03:37,4.67,618, , , , 
2020-10-27 14:13:37,4.72,668, , , , 
2020-10-27 14:23:37,4.72,574, , , , 
2020-10-27 14:33:37,4.76,480, , , , 
2020-10-27 14:43:37,4.76,359, , , , 
2020-10-27 14:53:37,4.80,425, , , , 
2020-10-27 15:03:37,4.80,353, , , , 
2020-10-27 15:13:37,4.76,322, , , , 
2020-10-27 15:23:37,4.80,365, , , , 
2020-10-27 15:33:37,4.89,253, , , , 
2020-10-27 15:43:37,4.84,241, , , , 
2020-10-27 15:53:37,4.84,131, , , , 
2020-10-27 16:03:37,4.84,175, , , , 
2020-10-27 16:13:37,4.89,153, , , , 
2020-10-27 16:23:37,4.84,162, , , , 
2020-10-27 16:33:37,4.84,131, , , , 
2020-10-27 16:43:37,4.80,102, , , , 
2020-10-27 16:53:37,4.80,66, , , , 
2020-10-27 17:03:37,4.89,56, , , , 
2020-10-27 17:13:37,4.84,49, , , , 
2020-10-27 17:23:37,4.80,20, , , , 
2020-10-27 17:33:37,4.80,17, , , , 
2020-10-27 17:43:37,4.80,9, , , , 
2020-10-27 17:53:37,4.76,3, , , , 
2020-10-27 18:03:37,4.72,1, , , , 
2020-10-27 18:13:37,4.72,0, , , , 
2020-10-27 18:23:37,4.72,0, , , , 
2020-10-27 18:33:37,4.67,0, , , , 
2020-10-27 18:43:37,4.63,0, , , , 
2020-10-27 18:53:37,4.63,0, , , , 
2020-10-27 19:03:37,4.67,0, , , , 
2020-10-27 19:13:37,4.67,0, , , , 
2020-10-27 19:23:37,4.67,0, , , , 
2020-10-27 19:33:37,4.63,0, , , , 
2020-10-27 19:43:37,4.63,0, , , , 
2020-10-27 19:53:37,4.63,0, , , , 
2020-10-27 20:03:37,4.67,0, , , , 
2020-10-27 20:13:37,4.63,0, , , , 
2020-10-27 20:23:37,4.59,0, , , , 
2020-10-27 20:33:37,4.50,0, , , , 
2020-10-27 20:43:37,4.54,0, , , , 
2020-10-27 20:53:37,4.54,0, , , , 
2020-10-27 21:03:37,4.54,0, , , , 
2020-10-27 21:13:37,4.54,0, , , , 
2020-10-27 21:23:37,4.54,0, , , , 
2020-10-27 21:33:37,4.50,0, , , , 
2020-10-27 21:43:37,4.50,0, , , , 
2020-10-27 21:53:37,4.46,0, , , , 
2020-10-27 22:03:37,4.46,0, , , , 
2020-10-27 22:13:37,4.50,0, , , , 
2020-10-27 22:23:37,4.46,0, , , , 
2020-10-27 22:33:37,4.42,0, , , , 
2020-10-27 22:43:37,4.37,0, , , , 
2020-10-27 22:53:37,4.46,0, , , , 
