Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-22 14:25:51,70.84,22, , , , 
2020-05-22 14:27:43, , ,Logged, , , 
2020-05-22 14:35:51,70.99,22, , , , 
2020-05-22 14:45:51,70.99,22, , , , 
2020-05-22 14:55:51,70.91,22, , , , 
2020-05-22 15:05:51,71.07,22, , , , 
2020-05-22 15:15:51,71.15,22, , , , 
2020-05-22 15:25:51,71.15,21, , , , 
2020-05-22 15:35:51,71.84,25, , , , 
2020-05-22 15:45:51,71.53,877, , , , 
2020-05-22 15:55:51,74.00,"1,153", , , , 
2020-05-22 16:05:51,71.07,933, , , , 
2020-05-22 16:15:51,71.22,882, , , , 
2020-05-22 16:25:51,71.53,939, , , , 
2020-05-22 16:35:51,72.00,"1,478", , , , 
2020-05-22 16:45:51,72.46,"2,198", , , , 
2020-05-22 16:55:51,72.46,"1,594", , , , 
2020-05-22 17:05:51,72.30,"1,958", , , , 
2020-05-22 17:15:51,72.46,"1,918", , , , 
2020-05-22 17:25:51,71.15,644, , , , 
2020-05-22 17:35:51,71.07,520, , , , 
2020-05-22 17:45:51,71.15,385, , , , 
2020-05-22 17:55:51,71.15,428, , , , 
2020-05-22 18:05:51,71.61,276, , , , 
2020-05-22 18:15:51,71.30,289, , , , 
2020-05-22 18:25:51,71.45,235, , , , 
2020-05-22 18:35:51,71.53,236, , , , 
2020-05-22 18:45:51,71.53,264, , , , 
2020-05-22 18:55:51,71.45,208, , , , 
2020-05-22 19:05:51,71.38,148, , , , 
2020-05-22 19:15:51,71.30,130, , , , 
2020-05-22 19:25:51,71.15,103, , , , 
2020-05-22 19:35:51,71.07,87, , , , 
2020-05-22 19:45:51,70.91,74, , , , 
2020-05-22 19:55:51,70.84,36, , , , 
2020-05-22 20:05:51,70.76,26, , , , 
2020-05-22 20:15:51,70.68,15, , , , 
2020-05-22 20:25:51,70.61,10, , , , 
2020-05-22 20:35:51,70.53,5, , , , 
2020-05-22 20:45:51,70.37,2, , , , 
2020-05-22 20:55:51,70.30,0, , , , 
2020-05-22 21:05:51,70.14,0, , , , 
2020-05-22 21:15:51,70.14,0, , , , 
2020-05-22 21:25:51,69.99,0, , , , 
