7392-570653
OS REV: 1.11 Sensor Cal: 1428445788
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1605026460,+3.40, +4.790, +0.159,+0.954
1605026520,+3.40, +4.831, +0.160,+0.954
1605026580,+3.40, +4.841, +0.158,+0.954
1605026640,+3.40, +4.821, +0.161,+0.954
1605026700,+3.40, +4.851, +0.161,+0.954
1605026760,+3.40, +4.851, +0.160,+0.954
1605026820,+3.40, +4.851, +0.159,+0.954
1605026880,+3.40, +4.831, +0.160,+0.954
1605026940,+3.40, +4.851, +0.159,+0.954
1605027000,+3.40, +4.871, +0.159,+0.954
1605027060,+3.40, +4.881, +0.159,+0.954
1605027120,+3.40, +4.841, +0.159,+0.954
1605027180,+3.40, +4.871, +0.160,+0.954
1605027240,+3.40, +4.892, +0.159,+0.954
1605027300,+3.40, +4.902, +0.159,+0.954
1605027360,+3.40, +4.881, +0.160,+0.954
1605027420,+3.40, +4.952, +0.159,+0.954
1605027480,+3.40, +4.892, +0.159,+0.954
1605027540,+3.40, +4.861, +0.159,+0.954
1605027600,+3.40, +4.841, +0.160,+0.954
1605027660,+3.40, +4.851, +0.159,+0.954
1605027720,+3.40, +4.831, +0.159,+0.954
1605027780,+3.40, +4.790, +0.159,+0.954
1605027840,+3.40, +4.821, +0.160,+0.954
1605027900,+3.40, +4.790, +0.160,+0.954
1605027960,+3.40, +4.790, +0.160,+0.954
1605028020,+3.40, +4.780, +0.162,+0.954
1605028080,+3.40, +4.821, +0.160,+0.954
1605028140,+3.40, +4.831, +0.160,+0.954
1605028200,+3.40, +4.861, +0.157,+0.954
1605028260,+3.40, +4.810, +0.160,+0.954
1605028320,+3.40, +4.800, +0.160,+0.954
1605028380,+3.40, +4.770, +0.161,+0.954
1605028440,+3.40, +4.770, +0.160,+0.954
1605028500,+3.40, +4.810, +0.159,+0.954
1605028560,+3.40, +4.831, +0.158,+0.954
1605028620,+3.40, +4.810, +0.159,+0.954
1605028680,+3.40, +4.800, +0.160,+0.954
1605028740,+3.40, +4.800, +0.161,+0.954
1605028800,+3.40, +4.831, +0.160,+0.954
1605028860,+3.40, +4.841, +0.159,+0.954
1605028920,+3.40, +4.841, +0.158,+0.954
1605028980,+3.40, +4.861, +0.159,+0.954
1605029040,+3.40, +4.841, +0.160,+0.954
1605029100,+3.40, +4.861, +0.159,+0.954
1605029160,+3.40, +4.831, +0.159,+0.954
1605029220,+3.40, +4.892, +0.159,+0.954
1605029280,+3.40, +4.922, +0.159,+0.954
1605029340,+3.40, +4.963, +0.161,+0.955
1605029400,+3.40, +4.993, +0.159,+0.954
1605029460,+3.40, +4.932, +0.159,+0.954
1605029520,+3.40, +4.912, +0.160,+0.954
1605029580,+3.40, +4.932, +0.159,+0.954
1605029640,+3.40, +4.952, +0.159,+0.954
1605029700,+3.40, +4.851, +0.159,+0.954
1605029760,+3.40, +4.871, +0.158,+0.954
1605029820,+3.40, +4.871, +0.159,+0.954
1605029880,+3.40, +4.821, +0.160,+0.954
1605029940,+3.40, +4.821, +0.157,+0.954
1605030000,+3.40, +4.810, +0.160,+0.954
1605030060,+3.40, +4.831, +0.159,+0.954
1605030120,+3.40, +4.831, +0.159,+0.954
1605030180,+3.40, +4.841, +0.160,+0.954
1605030240,+3.40, +4.851, +0.159,+0.954
1605030300,+3.40, +4.902, +0.161,+0.955
1605030360,+3.40, +4.912, +0.159,+0.954
1605030420,+3.40, +4.932, +0.160,+0.954
1605030480,+3.40, +4.952, +0.160,+0.955
1605030540,+3.40, +4.942, +0.159,+0.954
1605030600,+3.40, +4.952, +0.160,+0.954
1605030660,+3.40, +4.912, +0.160,+0.954
1605030720,+3.40, +4.892, +0.160,+0.954
1605030780,+3.40, +4.912, +0.160,+0.955
1605030840,+3.40, +4.942, +0.159,+0.954
1605030900,+3.40, +4.942, +0.158,+0.954
1605030960,+3.40, +4.871, +0.160,+0.954
1605031020,+3.40, +4.912, +0.159,+0.954
1605031080,+3.40, +4.932, +0.160,+0.954
1605031140,+3.40, +4.932, +0.158,+0.954
1605031200,+3.40, +4.952, +0.159,+0.954
1605031260,+3.40, +4.983, +0.159,+0.954
1605031320,+3.40, +4.963, +0.159,+0.954
1605031380,+3.40, +5.013, +0.158,+0.954
