7392-570653
OS REV: 1.11 Sensor Cal: 1428445788
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1617381660,+3.39, +3.989, +0.169,+0.944
1617381720,+3.39, +3.989, +0.170,+0.944
1617381780,+3.39, +3.989, +0.169,+0.944
1617381840,+3.39, +3.989, +0.169,+0.944
1617381900,+3.39, +4.010, +0.172,+0.944
1617381960,+3.39, +4.010, +0.169,+0.944
1617382020,+3.39, +4.020, +0.170,+0.944
1617382080,+3.39, +4.020, +0.171,+0.944
1617382140,+3.39, +3.989, +0.170,+0.944
1617382200,+3.39, +4.010, +0.171,+0.944
1617382260,+3.39, +4.010, +0.171,+0.944
1617382320,+3.39, +4.010, +0.172,+0.944
1617382380,+3.39, +4.000, +0.172,+0.944
1617382440,+3.39, +4.010, +0.170,+0.944
1617382500,+3.39, +4.020, +0.169,+0.944
1617382560,+3.39, +4.010, +0.171,+0.944
1617382620,+3.39, +4.000, +0.171,+0.944
1617382680,+3.39, +4.000, +0.174,+0.944
1617382740,+3.39, +3.989, +0.175,+0.944
1617382800,+3.39, +4.010, +0.173,+0.945
1617382860,+3.39, +4.020, +0.170,+0.945
1617382920,+3.39, +3.937, +0.174,+0.945
1617382980,+3.39, +3.989, +0.172,+0.945
1617383040,+3.39, +3.989, +0.172,+0.945
1617383100,+3.39, +4.010, +0.170,+0.945
1617383160,+3.39, +4.010, +0.168,+0.945
1617383220,+3.39, +4.000, +0.170,+0.945
1617383280,+3.39, +4.000, +0.171,+0.945
1617383340,+3.39, +4.000, +0.170,+0.945
1617383400,+3.39, +4.010, +0.171,+0.945
1617383460,+3.39, +4.020, +0.173,+0.945
1617383520,+3.39, +4.000, +0.170,+0.945
1617383580,+3.39, +3.989, +0.170,+0.945
1617383640,+3.39, +4.000, +0.174,+0.945
1617383700,+3.39, +4.020, +0.175,+0.945
1617383760,+3.39, +4.020, +0.178,+0.945
1617383820,+3.39, +4.010, +0.178,+0.945
1617383880,+3.39, +4.010, +0.180,+0.945
1617383940,+3.39, +4.010, +0.182,+0.945
1617384000,+3.39, +4.010, +0.183,+0.945
1617384060,+3.39, +4.000, +0.188,+0.945
1617384120,+3.39, +4.020, +0.188,+0.945
1617384180,+3.39, +4.020, +0.193,+0.945
1617384240,+3.39, +4.020, +0.198,+0.945
1617384300,+3.39, +4.031, +0.198,+0.945
1617384360,+3.39, +4.020, +0.201,+0.945
1617384420,+3.39, +4.031, +0.203,+0.945
1617384480,+3.39, +4.020, +0.209,+0.945
1617384540,+3.39, +4.000, +0.214,+0.945
1617384600,+3.39, +3.979, +0.219,+0.945
1617384660,+3.39, +4.031, +0.222,+0.946
1617384720,+3.39, +4.031, +0.226,+0.946
1617384780,+3.39, +4.000, +0.231,+0.946
1617384840,+3.39, +4.000, +0.232,+0.946
1617384900,+3.39, +4.010, +0.236,+0.946
1617384960,+3.39, +4.031, +0.234,+0.946
