7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1578288360, +2.72,  +2.807, +6.935517E+01,  10
1578288960, +2.72,  +2.861, +6.953675E+01,  10
1578289560, +2.72,  +2.828, +6.964508E+01,  10
1578290160, +2.72,  +2.850, +6.926193E+01,  10
1578290760, +2.72,  +2.828, +6.936153E+01,  10
1578291360, +2.72,  +2.871, +6.957181E+01,  10
1578291960, +2.72,  +2.828, +6.919211E+01,  10
1578292560, +2.72,  +2.850, +6.925489E+01,  10
1578293160, +2.72,  +2.828, +6.967172E+01,  10
1578293760, +2.72,  +2.850, +6.814358E+01,  10
1578294360, +2.72,  +2.850, +6.933366E+01,  10
1578294960, +2.72,  +2.839, +6.947345E+01,  10
1578295560, +2.71,  +2.839, +6.931567E+01,  10
1578296160, +2.71,  +2.850, +6.933389E+01,  10
1578296760, +2.72,  +2.796, +6.963865E+01,  10
1578297360, +2.71,  +2.861, +6.936803E+01,  10
1578297960, +2.72,  +2.839, +6.956722E+01,  10
1578298560, +2.71,  +2.828, +6.959103E+01,  10
1578299160, +2.72,  +2.818, +6.958567E+01,  10
1578299760, +2.71,  +2.828, +6.947597E+01,  10
1578300360, +2.72,  +2.796, +6.963803E+01,  10
1578300960, +2.72,  +2.828, +6.966651E+01,  10
1578301560, +2.71,  +2.839, +6.880292E+01,  10
1578302160, +2.72,  +2.850, +6.934560E+01,  10
1578302760, +2.72,  +2.828, +6.964178E+01,  10
1578303360, +2.74,  +2.861, +6.943249E+01,  10
1578303960, +2.72,  +2.818, +6.927877E+01,  10
1578304560, +2.72,  +2.818, +6.932937E+01,  10
1578305160, +2.72,  +2.861, +6.941580E+01,  10
1578305760, +2.72,  +2.828, +6.933657E+01,  10
1578306360, +2.71,  +2.818, +6.961055E+01,  10
1578306960, +2.71,  +2.796, +6.935494E+01,  10
1578307560, +2.71,  +2.807, +6.959999E+01,  10
1578308160, +2.72,  +2.796, +6.932723E+01,  10
1578308760, +2.71,  +2.871, +6.920896E+01,  10
1578309360, +2.72,  +2.828, +6.952252E+01,  10
1578309960, +2.71,  +2.861, +6.904422E+01,  10
1578310560, +2.72,  +2.839, +6.955306E+01,  10
1578311160, +2.72,  +2.861, +6.871986E+01,  10
1578311760, +2.72,  +2.850, +6.941060E+01,  10
1578312360, +2.71,  +2.828, +6.930036E+01,  10
1578312960, +2.72,  +2.871, +6.950935E+01,  10
1578313560, +2.72,  +2.839, +6.953645E+01,  10
1578314160, +2.72,  +2.850, +6.938671E+01,  10
1578314760, +2.72,  +2.839, +6.934920E+01,  10
1578315360, +2.72,  +2.850, +6.944872E+01,  10
1578315960, +2.71,  +2.807, +6.948998E+01,  10
1578316560, +2.72,  +2.850, +6.931690E+01,  10
1578317160, +2.72,  +2.839, +6.932953E+01,  10
1578317760, +2.72,  +2.839, +6.920008E+01,  10
1578318360, +2.71,  +2.871, +6.950751E+01,  10
1578318960, +2.71,  +2.828, +6.964768E+01,  10
1578319560, +2.71,  +2.818, +6.966689E+01,  10
1578320160, +2.71,  +2.861, +6.907606E+01,  10
1578320760, +2.72,  +2.839, +6.942422E+01,  10
1578321360, +2.71,  +2.850, +6.977897E+01,  10
1578321960, +2.71,  +2.807, +6.963650E+01,  10
1578322560, +2.71,  +2.818, +6.941435E+01,  10
1578323160, +2.72,  +2.839, +6.938809E+01,  10
1578323760, +2.71,  +2.861, +6.923437E+01,  10
1578324360, +2.71,  +2.828, +6.933435E+01,  10
1578324960, +2.71,  +2.850, +6.939950E+01,  10
1578325560, +2.71,  +2.828, +6.946426E+01,  10
1578326160, +2.72,  +2.796, +6.945591E+01,  10
1578326760, +2.71,  +2.796, +6.936344E+01,  10
1578327360, +2.71,  +2.839, +6.960481E+01,  10
1578327960, +2.71,  +2.850, +6.946985E+01,  10
1578328560, +2.71,  +2.828, +6.964094E+01,  10
1578329160, +2.71,  +2.775, +6.931246E+01,  10
1578329760, +2.71,  +2.786, +6.937232E+01,  10
1578330360, +2.71,  +2.807, +6.971091E+01,  10
1578330960, +2.71,  +2.764, +6.970571E+01,  10
