            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,        Sensor,          Gain
1544472780,           2018-12-10 20:13:00,           2018-12-10 14:13:00,3.1,23.027,-0.125264,100
1544473380,           2018-12-10 20:23:00,           2018-12-10 14:23:00,3.11,22.843,-0.138906,100
1544473980,           2018-12-10 20:33:00,           2018-12-10 14:33:00,3.11,22.467,-0.280814,100
1544474580,           2018-12-10 20:43:00,           2018-12-10 14:43:00,3.11,22.049,-0.111622,100
1544475180,           2018-12-10 20:53:00,           2018-12-10 14:53:00,3.08,21.63,0.149983,100
1544475780,           2018-12-10 21:03:00,           2018-12-10 15:03:00,3.1,17.886,0.128868,100
1544476380,           2018-12-10 21:13:00,           2018-12-10 15:13:00,3.1,14.903,0.106039,100
1544476980,           2018-12-10 21:23:00,           2018-12-10 15:23:00,3.08,11.134,0.052018,100
1544477580,           2018-12-10 21:33:00,           2018-12-10 15:33:00,3.09,5.726,0.897227,100
1544478180,           2018-12-10 21:43:00,           2018-12-10 15:43:00,3.05,2.582,98.49863,10
1544478780,           2018-12-10 21:53:00,           2018-12-10 15:53:00,3.08,3.665,93.43245,10
1544479380,           2018-12-10 22:03:00,           2018-12-10 16:03:00,3.08,3.894,96.85537,10
1544479980,           2018-12-10 22:13:00,           2018-12-10 16:13:00,3.08,3.873,94.89883,10
1544480580,           2018-12-10 22:23:00,           2018-12-10 16:23:00,3.09,3.873,94.43403,10
1544481180,           2018-12-10 22:33:00,           2018-12-10 16:33:00,3.08,3.842,97.84187,10
1544481780,           2018-12-10 22:43:00,           2018-12-10 16:43:00,3.09,3.811,93.77316,10
1544482380,           2018-12-10 22:53:00,           2018-12-10 16:53:00,3.08,3.811,96.25072,10
1544482980,           2018-12-10 23:03:00,           2018-12-10 17:03:00,3.08,3.748,94.30789,10
1544483580,           2018-12-10 23:13:00,           2018-12-10 17:13:00,3.08,3.707,95.72148,10
1544484180,           2018-12-10 23:23:00,           2018-12-10 17:23:00,3.08,3.665,93.32002,10
1544484780,           2018-12-10 23:33:00,           2018-12-10 17:33:00,3.08,3.686,93.09584,10
1544485380,           2018-12-10 23:43:00,           2018-12-10 17:43:00,3.08,3.675,93.52842,10
1544485980,           2018-12-10 23:53:00,           2018-12-10 17:53:00,3.08,3.665,92.75307,10
1544486580,           2018-12-11 00:03:00,           2018-12-10 18:03:00,3.08,3.623,94.36067,10
1544487180,           2018-12-11 00:13:00,           2018-12-10 18:13:00,3.08,3.644,96.43445,10
1544487780,           2018-12-11 00:23:00,           2018-12-10 18:23:00,3.09,3.654,96.02038,10
1544488380,           2018-12-11 00:33:00,           2018-12-10 18:33:00,3.09,3.633,93.97403,10
1544488980,           2018-12-11 00:43:00,           2018-12-10 18:43:00,3.09,3.665,93.20553,10
1544489580,           2018-12-11 00:53:00,           2018-12-10 18:53:00,3.09,3.654,93.82526,10
1544490180,           2018-12-11 01:03:00,           2018-12-10 19:03:00,3.09,3.654,96.60241,10
1544490780,           2018-12-11 01:13:00,           2018-12-10 19:13:00,3.09,3.633,95.20664,10
1544491380,           2018-12-11 01:23:00,           2018-12-10 19:23:00,3.09,3.686,93.283,10
1544491980,           2018-12-11 01:33:00,           2018-12-10 19:33:00,3.09,3.654,94.18586,10
1544492580,           2018-12-11 01:43:00,           2018-12-10 19:43:00,3.09,3.675,93.2638,10
1544493180,           2018-12-11 01:53:00,           2018-12-10 19:53:00,3.09,3.602,95.16825,10
1544493780,           2018-12-11 02:03:00,           2018-12-10 20:03:00,3.09,3.644,97.21597,10
1544494380,           2018-12-11 02:13:00,           2018-12-10 20:13:00,3.09,3.633,95.57135,10
1544494980,           2018-12-11 02:23:00,           2018-12-10 20:23:00,3.09,3.602,94.20985,10
1544495580,           2018-12-11 02:33:00,           2018-12-10 20:33:00,3.09,3.602,92.54946,10
1544496180,           2018-12-11 02:43:00,           2018-12-10 20:43:00,3.09,3.623,95.25737,10
1544496780,           2018-12-11 02:53:00,           2018-12-10 20:53:00,3.09,3.612,94.23248,10
1544497380,           2018-12-11 03:03:00,           2018-12-10 21:03:00,3.09,3.633,90.25289,10
1544497980,           2018-12-11 03:13:00,           2018-12-10 21:13:00,3.09,3.633,94.10359,10
1544498580,           2018-12-11 03:23:00,           2018-12-10 21:23:00,3.09,3.707,93.34812,10
1544499180,           2018-12-11 03:33:00,           2018-12-10 21:33:00,3.09,3.623,93.37555,10
1544499780,           2018-12-11 03:43:00,           2018-12-10 21:43:00,3.09,3.654,95.26834,10
1544500380,           2018-12-11 03:53:00,           2018-12-10 21:53:00,3.09,3.675,93.2165,10
1544500980,           2018-12-11 04:03:00,           2018-12-10 22:03:00,3.09,3.675,92.88195,10
1544501580,           2018-12-11 04:13:00,           2018-12-10 22:13:00,3.09,3.623,92.99575,10
1544502180,           2018-12-11 04:23:00,           2018-12-10 22:23:00,3.09,3.623,92.84836,10
1544502780,           2018-12-11 04:33:00,           2018-12-10 22:33:00,3.09,3.644,91.86803,10
1544503380,           2018-12-11 04:43:00,           2018-12-10 22:43:00,3.09,3.665,99.08545,10
1544503980,           2018-12-11 04:53:00,           2018-12-10 22:53:00,3.09,3.675,94.37918,10
1544504580,           2018-12-11 05:03:00,           2018-12-10 23:03:00,3.09,3.675,93.33098,10
1544505180,           2018-12-11 05:13:00,           2018-12-10 23:13:00,3.09,3.654,93.10955,10
1544505780,           2018-12-11 05:23:00,           2018-12-10 23:23:00,3.11,3.633,95.2272,10
1544506380,           2018-12-11 05:33:00,           2018-12-10 23:33:00,3.09,3.633,95.73999,10
1544506980,           2018-12-11 05:43:00,           2018-12-10 23:43:00,3.09,3.686,93.21993,10
1544507580,           2018-12-11 05:53:00,           2018-12-10 23:53:00,3.09,3.686,93.40777,10
1544508180,           2018-12-11 06:03:00,           2018-12-11 00:03:00,3.09,3.654,92.2965,10
1544508780,           2018-12-11 06:13:00,           2018-12-11 00:13:00,3.09,3.623,93.89039,10
1544509380,           2018-12-11 06:23:00,           2018-12-11 00:23:00,3.09,3.675,92.40893,10
1544509980,           2018-12-11 06:33:00,           2018-12-11 00:33:00,3.09,3.612,94.86181,10
1544510580,           2018-12-11 06:43:00,           2018-12-11 00:43:00,3.09,3.675,94.55468,10
1544511180,           2018-12-11 06:53:00,           2018-12-11 00:53:00,3.09,3.675,91.33125,10
1544511780,           2018-12-11 07:03:00,           2018-12-11 01:03:00,3.09,3.665,92.47405,10
1544512380,           2018-12-11 07:13:00,           2018-12-11 01:13:00,3.09,3.644,91.42654,10
1544512980,           2018-12-11 07:23:00,           2018-12-11 01:23:00,3.09,3.654,92.12374,10
1544513580,           2018-12-11 07:33:00,           2018-12-11 01:33:00,3.09,3.633,92.71674,10
1544514180,           2018-12-11 07:43:00,           2018-12-11 01:43:00,3.09,3.644,97.53818,10
1544514780,           2018-12-11 07:53:00,           2018-12-11 01:53:00,3.09,3.654,99.29523,10
1544515380,           2018-12-11 08:03:00,           2018-12-11 02:03:00,3.09,3.612,93.32002,10
