7392-570653
OS REV: 1.11 Sensor Cal: 1428445788
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1585774260,+3.31, +1.827, +0.172,+0.960
1585774320,+3.31, +1.838, +0.172,+0.959
1585774380,+3.31, +1.849, +0.170,+0.960
1585774440,+3.31, +1.827, +0.171,+0.960
1585774500,+3.31, +1.838, +0.172,+0.960
1585774560,+3.31, +1.849, +0.172,+0.960
1585774620,+3.31, +1.816, +0.171,+0.960
1585774680,+3.31, +1.805, +0.174,+0.960
1585774740,+3.31, +1.849, +0.172,+0.960
1585774800,+3.31, +1.860, +0.172,+0.960
1585774860,+3.31, +1.849, +0.174,+0.960
1585774920,+3.31, +1.882, +0.172,+0.960
1585774980,+3.31, +1.871, +0.171,+0.960
1585775040,+3.31, +1.860, +0.172,+0.960
1585775100,+3.31, +1.838, +0.172,+0.960
1585775160,+3.31, +1.860, +0.171,+0.960
1585775220,+3.31, +1.860, +0.174,+0.960
1585775280,+3.31, +1.838, +0.173,+0.960
1585775340,+3.31, +1.849, +0.173,+0.960
1585775400,+3.31, +1.849, +0.172,+0.960
1585775460,+3.31, +1.860, +0.173,+0.960
1585775520,+3.31, +1.849, +0.173,+0.960
1585775580,+3.31, +1.849, +0.172,+0.960
1585775640,+3.31, +1.849, +0.172,+0.960
1585775700,+3.31, +1.838, +0.172,+0.960
1585775760,+3.31, +1.871, +0.171,+0.960
1585775820,+3.31, +1.860, +0.173,+0.960
1585775880,+3.31, +1.849, +0.172,+0.960
1585775940,+3.31, +1.860, +0.174,+0.960
1585776000,+3.31, +1.849, +0.172,+0.959
1585776060,+3.31, +1.860, +0.172,+0.960
1585776120,+3.31, +1.860, +0.172,+0.960
1585776180,+3.31, +1.838, +0.173,+0.960
1585776240,+3.31, +1.838, +0.173,+0.959
1585776300,+3.31, +1.838, +0.172,+0.960
1585776360,+3.31, +1.838, +0.172,+0.960
1585776420,+3.31, +1.860, +0.172,+0.960
1585776480,+3.31, +1.849, +0.173,+0.960
1585776540,+3.31, +1.838, +0.173,+0.960
1585776600,+3.31, +1.882, +0.172,+0.960
1585776660,+3.31, +1.860, +0.172,+0.960
1585776720,+3.31, +1.838, +0.172,+0.960
1585776780,+3.31, +1.849, +0.173,+0.960
1585776840,+3.31, +1.849, +0.173,+0.960
1585776900,+3.31, +1.827, +0.172,+0.960
1585776960,+3.31, +1.893, +0.172,+0.960
1585777020,+3.31, +1.860, +0.172,+0.960
1585777080,+3.31, +1.849, +0.172,+0.960
1585777140,+3.31, +1.860, +0.171,+0.959
1585777200,+3.31, +1.827, +0.173,+0.960
1585777260,+3.31, +1.838, +0.171,+0.960
1585777320,+3.31, +1.860, +0.171,+0.959
1585777380,+3.31, +1.838, +0.171,+0.960
1585777440,+3.31, +1.849, +0.173,+0.960
1585777500,+3.31, +1.838, +0.172,+0.959
1585777560,+3.31, +1.860, +0.173,+0.960
1585777620,+3.31, +1.849, +0.173,+0.960
1585777680,+3.31, +1.827, +0.173,+0.960
1585777740,+3.31, +1.838, +0.173,+0.960
1585777800,+3.31, +1.838, +0.173,+0.960
1585777860,+3.31, +1.871, +0.172,+0.960
1585777920,+3.31, +1.827, +0.172,+0.960
1585777980,+3.31, +1.849, +0.172,+0.960
1585778040,+3.31, +1.849, +0.172,+0.960
1585778100,+3.31, +1.871, +0.171,+0.960
1585778160,+3.31, +1.849, +0.173,+0.960
1585778220,+3.31, +1.871, +0.172,+0.960
1585778280,+3.31, +1.849, +0.172,+0.960
1585778340,+3.31, +1.882, +0.174,+0.960
1585778400,+3.31, +1.849, +0.173,+0.960
1585778460,+3.31, +1.860, +0.173,+0.960
1585778520,+3.31, +1.838, +0.173,+0.960
1585778580,+3.31, +1.849, +0.173,+0.960
1585778640,+3.31, +1.838, +0.172,+0.960
1585778700,+3.31, +1.860, +0.173,+0.960
1585778760,+3.31, +1.860, +0.172,+0.960
1585778820,+3.31, +1.827, +0.175,+0.960
1585778880,+3.31, +1.849, +0.171,+0.960
1585778940,+3.31, +1.849, +0.172,+0.959
1585779000,+3.31, +1.860, +0.171,+0.960
1585779060,+3.31, +1.849, +0.173,+0.960
1585779120,+3.31, +1.860, +0.172,+0.960
1585779180,+3.31, +1.838, +0.173,+0.960
1585779240,+3.31, +1.871, +0.170,+0.960
1585779300,+3.31, +1.871, +0.172,+0.960
1585779360,+3.31, +1.849, +0.174,+0.960
1585779420,+3.31, +1.849, +0.174,+0.960
1585779480,+3.31, +1.860, +0.174,+0.960
1585779540,+3.31, +1.871, +0.173,+0.960
1585779600,+3.31, +1.849, +0.173,+0.960
1585779660,+3.31, +1.860, +0.172,+0.960
1585779720,+3.31, +1.849, +0.172,+0.960
1585779780,+3.31, +1.860, +0.172,+0.960
1585779840,+3.31, +1.871, +0.172,+0.960
1585779900,+3.31, +1.849, +0.172,+0.960
1585779960,+3.31, +1.860, +0.173,+0.960
1585780020,+3.31, +1.860, +0.172,+0.960
1585780080,+3.31, +1.838, +0.172,+0.960
1585780140,+3.31, +1.849, +0.171,+0.959
1585780200,+3.31, +1.838, +0.172,+0.960
1585780260,+3.31, +1.838, +0.172,+0.959
1585780320,+3.31, +1.860, +0.172,+0.960
1585780380,+3.31, +1.860, +0.172,+0.960
1585780440,+3.31, +1.882, +0.171,+0.960
1585780500,+3.31, +1.838, +0.172,+0.960
1585780560,+3.31, +1.871, +0.171,+0.960
1585780620,+3.31, +1.849, +0.172,+0.959
1585780680,+3.31, +1.849, +0.173,+0.960
1585780740,+3.31, +1.860, +0.172,+0.960
1585780800,+3.31, +1.849, +0.173,+0.960
1585780860,+3.31, +1.860, +0.172,+0.960
1585780920,+3.31, +1.871, +0.173,+0.960
1585780980,+3.31, +1.838, +0.172,+0.960
1585781040,+3.31, +1.849, +0.171,+0.959
1585781100,+3.31, +1.893, +0.171,+0.960
1585781160,+3.31, +1.882, +0.171,+0.960
1585781220,+3.31, +1.893, +0.172,+0.960
1585781280,+3.31, +1.838, +0.172,+0.960
1585781340,+3.31, +1.849, +0.172,+0.960
1585781400,+3.31, +1.838, +0.173,+0.960
1585781460,+3.31, +1.849, +0.173,+0.960
1585781520,+3.31, +1.838, +0.172,+0.960
1585781580,+3.31, +1.871, +0.171,+0.960
1585781640,+3.31, +1.871, +0.173,+0.960
1585781700,+3.31, +1.838, +0.173,+0.960
1585781760,+3.31, +1.849, +0.171,+0.959
