Serial Number:20472265 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2020-03-02 13:51:38,41.57,"6,334", , , , 
2020-03-02 14:01:38,57.32,"7,002", , , , 
2020-03-02 14:11:38,65.66,"7,306", , , , 
2020-03-02 14:21:38,37.01,2, , , , 
2020-03-02 14:31:38,32.84,2, , , , 
2020-03-02 14:41:38,32.69,2, , , , 
2020-03-02 14:51:38,32.77,2, , , , 
2020-03-02 15:01:38,32.77,2, , , , 
2020-03-02 15:11:38,32.69,2, , , , 
2020-03-02 15:21:38,32.77,2, , , , 
2020-03-02 15:31:38,32.92,0, , , , 
2020-03-02 15:41:38,32.84,1, , , , 
2020-03-02 15:51:38,32.92,1, , , , 
2020-03-02 16:01:38,33.08,0, , , , 
2020-03-02 16:11:38,33.15,0, , , , 
2020-03-02 16:21:38,33.08,0, , , , 
2020-03-02 16:31:38,33.08,0, , , , 
2020-03-02 16:41:38,33.08,0, , , , 
2020-03-02 16:51:38,33.08,0, , , , 
2020-03-02 17:01:38,33.15,0, , , , 
2020-03-02 17:11:38,33.15,0, , , , 
2020-03-02 17:21:38,33.08,0, , , , 
2020-03-02 17:31:38,33.08,0, , , , 
2020-03-02 17:41:38,33.08,0, , , , 
2020-03-02 17:51:38,33.15,0, , , , 
2020-03-02 18:01:38,33.08,0, , , , 
2020-03-02 18:11:38,33.15,0, , , , 
2020-03-02 18:21:38,33.08,0, , , , 
2020-03-02 18:31:38,33.08,0, , , , 
2020-03-02 18:41:38,33.08,0, , , , 
2020-03-02 18:51:38,33.08,0, , , , 
2020-03-02 19:01:38,33.08,0, , , , 
2020-03-02 19:11:38,33.08,0, , , , 
2020-03-02 19:21:38,33.08,0, , , , 
2020-03-02 19:31:38,33.08,0, , , , 
2020-03-02 19:41:38,33.15,0, , , , 
2020-03-02 19:51:38,33.08,0, , , , 
2020-03-02 20:01:38,33.15,0, , , , 
2020-03-02 20:11:38,33.08,0, , , , 
2020-03-02 20:21:38,33.08,0, , , , 
2020-03-02 20:31:38,33.08,0, , , , 
2020-03-02 20:41:38,33.08,0, , , , 
2020-03-02 20:51:38,33.08,0, , , , 
2020-03-02 21:01:38,33.15,0, , , , 
2020-03-02 21:11:38,33.08,0, , , , 
2020-03-02 21:21:38,33.08,0, , , , 
2020-03-02 21:31:38,33.15,0, , , , 
2020-03-02 21:41:38,33.08,0, , , , 
2020-03-02 21:51:38,33.15,0, , , , 
2020-03-02 22:01:38,33.08,0, , , , 
2020-03-02 22:11:38,33.08,0, , , , 
2020-03-02 22:21:38,33.08,0, , , , 
2020-03-02 22:31:38,33.08,0, , , , 
2020-03-02 22:41:38,33.08,0, , , , 
2020-03-02 22:51:38,33.15,0, , , , 
2020-03-02 23:01:38,33.00,0, , , , 
2020-03-02 23:11:38,33.08,0, , , , 
2020-03-02 23:21:38,33.08,0, , , , 
2020-03-02 23:31:38,33.08,0, , , , 
2020-03-02 23:41:38,33.08,0, , , , 
2020-03-02 23:51:38,33.00,0, , , , 
2020-03-03 00:01:38,33.08,0, , , , 
2020-03-03 00:11:38,33.00,0, , , , 
2020-03-03 00:21:38,33.08,0, , , , 
2020-03-03 00:31:38,33.15,0, , , , 
2020-03-03 00:41:38,33.08,0, , , , 
2020-03-03 00:51:38,33.00,0, , , , 
2020-03-03 01:01:38,33.00,0, , , , 
2020-03-03 01:11:38,33.00,0, , , , 
2020-03-03 01:21:38,33.00,0, , , , 
2020-03-03 01:31:38,33.08,0, , , , 
2020-03-03 01:41:38,33.08,0, , , , 
2020-03-03 01:51:38,33.08,0, , , , 
2020-03-03 02:01:38,33.08,0, , , , 
2020-03-03 02:11:38,33.00,0, , , , 
2020-03-03 02:21:38,33.00,0, , , , 
2020-03-03 02:31:38,33.08,0, , , , 
2020-03-03 02:41:38,33.08,0, , , , 
2020-03-03 02:51:38,33.08,0, , , , 
2020-03-03 03:01:38,33.15,0, , , , 
2020-03-03 03:11:38,33.00,0, , , , 
2020-03-03 03:21:38,33.08,0, , , , 
2020-03-03 03:31:38,33.00,0, , , , 
2020-03-03 03:41:38,33.00,0, , , , 
2020-03-03 03:51:38,33.00,0, , , , 
2020-03-03 04:01:38,33.08,0, , , , 
2020-03-03 04:11:38,33.08,0, , , , 
2020-03-03 04:21:38,33.00,0, , , , 
2020-03-03 04:31:38,33.08,0, , , , 
2020-03-03 04:41:38,33.00,0, , , , 
2020-03-03 04:51:38,33.08,0, , , , 
2020-03-03 05:01:38,33.15,0, , , , 
2020-03-03 05:11:38,33.08,0, , , , 
2020-03-03 05:21:38,33.08,0, , , , 
2020-03-03 05:31:38,33.00,0, , , , 
2020-03-03 05:41:38,33.00,0, , , , 
2020-03-03 05:51:38,33.08,0, , , , 
2020-03-03 06:01:38,33.08,0, , , , 
2020-03-03 06:11:38,33.00,0, , , , 
2020-03-03 06:21:38,33.08,0, , , , 
2020-03-03 06:31:38,33.08,0, , , , 
2020-03-03 06:41:38,33.00,0, , , , 
2020-03-03 06:51:38,33.08,0, , , , 
2020-03-03 07:01:38,33.08,0, , , , 
2020-03-03 07:11:38,33.00,0, , , , 
2020-03-03 07:21:38,33.08,0, , , , 
2020-03-03 07:31:38,33.00,0, , , , 
2020-03-03 07:41:38,33.08,0, , , , 
2020-03-03 07:51:38,33.08,0, , , , 
2020-03-03 08:01:38,33.00,0, , , , 
2020-03-03 08:11:38,33.00,1, , , , 
2020-03-03 08:21:38,33.15,0, , , , 
2020-03-03 08:31:38,33.00,0, , , , 
2020-03-03 08:41:38,33.08,1, , , , 
2020-03-03 08:51:38,33.08,1, , , , 
2020-03-03 09:01:38,33.08,1, , , , 
2020-03-03 09:11:38,33.08,1, , , , 
2020-03-03 09:21:38,33.00,1, , , , 
2020-03-03 09:31:38,33.08,1, , , , 
2020-03-03 09:41:38,33.15,1, , , , 
2020-03-03 09:51:38,33.08,1, , , , 
2020-03-03 10:01:38,33.08,0, , , , 
2020-03-03 10:11:38,33.08,1, , , , 
2020-03-03 10:21:38,33.15,1, , , , 
2020-03-03 10:31:38,33.08,1, , , , 
2020-03-03 10:41:38,33.00,1, , , , 
2020-03-03 10:51:38,33.08,1, , , , 
2020-03-03 11:01:38,33.08,1, , , , 
2020-03-03 11:11:38,33.00,1, , , , 
2020-03-03 11:21:38,33.08,0, , , , 
2020-03-03 11:31:38,33.00,1, , , , 
2020-03-03 11:41:38,33.15,1, , , , 
2020-03-03 11:51:38,33.08,1, , , , 
2020-03-03 12:01:38,33.00,1, , , , 
2020-03-03 12:11:38,33.00,1, , , , 
2020-03-03 12:21:38,33.08,1, , , , 
2020-03-03 12:31:38,33.08,1, , , , 
2020-03-03 12:41:38,33.08,1, , , , 
2020-03-03 12:51:38,33.08,1, , , , 
2020-03-03 13:01:38,33.08,1, , , , 
2020-03-03 13:11:38,33.00,1, , , , 
2020-03-03 13:21:38,33.08,1, , , , 
2020-03-03 13:31:38,33.00,3, , , , 
2020-03-03 13:41:38,33.00,1, , , , 
2020-03-03 13:51:38,33.15,1, , , , 
2020-03-03 14:01:38,33.08,2, , , , 
2020-03-03 14:11:38,33.15,3, , , , 
2020-03-03 14:21:38,33.00,1, , , , 
2020-03-03 14:31:38,33.08,1, , , , 
2020-03-03 14:41:38,33.08,3, , , , 
2020-03-03 14:51:38,33.08,2, , , , 
2020-03-03 15:01:38,33.08,1, , , , 
2020-03-03 15:11:38,33.08,1, , , , 
2020-03-03 15:21:38,33.00,1, , , , 
2020-03-03 15:31:38,33.08,1, , , , 
2020-03-03 15:41:38,33.08,1, , , , 
2020-03-03 15:51:38,33.08,1, , , , 
2020-03-03 16:01:38,33.08,1, , , , 
2020-03-03 16:11:38,33.08,0, , , , 
2020-03-03 16:21:38,33.15,0, , , , 
2020-03-03 16:31:38,33.08,0, , , , 
2020-03-03 16:41:38,33.08,0, , , , 
2020-03-03 16:51:38,33.00,0, , , , 
2020-03-03 17:01:38,33.08,0, , , , 
2020-03-03 17:11:38,33.08,0, , , , 
2020-03-03 17:21:38,33.15,0, , , , 
2020-03-03 17:31:38,33.08,0, , , , 
2020-03-03 17:41:38,33.08,0, , , , 
2020-03-03 17:51:38,33.08,0, , , , 
2020-03-03 18:01:38,33.08,0, , , , 
2020-03-03 18:11:38,33.15,0, , , , 
2020-03-03 18:21:38,33.08,0, , , , 
2020-03-03 18:31:38,33.08,0, , , , 
2020-03-03 18:41:38,33.15,0, , , , 
2020-03-03 18:51:38,33.08,0, , , , 
2020-03-03 19:01:38,32.92,0, , , , 
2020-03-03 19:11:38,33.08,0, , , , 
2020-03-03 19:21:38,33.08,0, , , , 
2020-03-03 19:31:38,33.08,0, , , , 
2020-03-03 19:41:38,33.08,0, , , , 
2020-03-03 19:51:38,33.00,0, , , , 
2020-03-03 20:01:38,33.08,0, , , , 
2020-03-03 20:11:38,33.15,0, , , , 
2020-03-03 20:21:38,33.08,0, , , , 
2020-03-03 20:31:38,33.08,0, , , , 
2020-03-03 20:41:38,33.08,0, , , , 
