Serial Number:20472263 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2020-05-22 14:27:33,69.83,43, , , , 
2020-05-22 14:37:33,69.83,46, , , , 
2020-05-22 14:47:33,69.91,46, , , , 
2020-05-22 14:57:33,69.99,46, , , , 
2020-05-22 15:07:33,69.99,45, , , , 
2020-05-22 15:17:33,69.99,45, , , , 
2020-05-22 15:27:33,69.99,45, , , , 
2020-05-22 15:37:33,70.91,3, , , , 
2020-05-22 15:47:33,71.69,405, , , , 
2020-05-22 15:57:33,72.00,740, , , , 
2020-05-22 16:07:33,46.05,10, , , , 
2020-05-22 16:17:33,45.20,10, , , , 
2020-05-22 16:27:33,44.89,9, , , , 
2020-05-22 16:37:33,44.89,10, , , , 
2020-05-22 16:47:33,44.97,7, , , , 
2020-05-22 16:57:33,45.20,11, , , , 
2020-05-22 17:07:33,44.97,8, , , , 
2020-05-22 17:17:33,44.89,8, , , , 
2020-05-22 17:27:33,44.74,5, , , , 
2020-05-22 17:37:33,45.12,4, , , , 
2020-05-22 17:47:33,45.05,4, , , , 
2020-05-22 17:57:33,45.28,5, , , , 
2020-05-22 18:07:33,44.74,3, , , , 
2020-05-22 18:17:33,45.05,3, , , , 
2020-05-22 18:27:33,45.20,2, , , , 
2020-05-22 18:37:33,45.20,3, , , , 
2020-05-22 18:47:33,44.89,3, , , , 
2020-05-22 18:57:33,44.74,2, , , , 
2020-05-22 19:07:33,45.05,1, , , , 
2020-05-22 19:17:33,45.12,1, , , , 
2020-05-22 19:27:33,44.97,1, , , , 
2020-05-22 19:37:33,44.74,1, , , , 
2020-05-22 19:47:33,44.97,1, , , , 
2020-05-22 19:57:33,45.20,0, , , , 
2020-05-22 20:07:33,45.05,0, , , , 
2020-05-22 20:17:33,45.20,0, , , , 
2020-05-22 20:27:33,44.89,0, , , , 
2020-05-22 20:37:33,44.97,0, , , , 
2020-05-22 20:47:33,44.97,0, , , , 
2020-05-22 20:57:33,44.97,0, , , , 
2020-05-22 21:07:33,45.05,0, , , , 
2020-05-22 21:17:33,45.05,0, , , , 
2020-05-22 21:27:33,44.97,0, , , , 
2020-05-22 21:37:33,45.05,0, , , , 
2020-05-22 21:47:33,45.05,0, , , , 
2020-05-22 21:57:33,44.97,0, , , , 
2020-05-22 22:07:33,44.97,0, , , , 
2020-05-22 22:17:33,44.97,0, , , , 
2020-05-22 22:27:33,44.89,0, , , , 
2020-05-22 22:37:33,45.05,0, , , , 
2020-05-22 22:47:33,45.05,0, , , , 
2020-05-22 22:57:33,45.05,0, , , , 
2020-05-22 23:07:33,45.05,0, , , , 
2020-05-22 23:17:33,45.05,0, , , , 
2020-05-22 23:27:33,44.89,0, , , , 
2020-05-22 23:37:33,44.97,0, , , , 
2020-05-22 23:47:33,44.89,0, , , , 
2020-05-22 23:57:33,44.97,0, , , , 
2020-05-23 00:07:33,45.05,0, , , , 
