7377-267594
OS REV: 1.04 Sensor Cal: 1572899216
Time (sec),  Bat (Volts),  T (deg C), Sensor ( ppb), Gain ()
1585703340, +2.80,  +1.310, +6.700570E+01,  10
1585703940, +2.81,  +1.399, +6.340207E+01,  10
1585704540, +2.80,  +1.333, +6.522677E+01,  10
1585705140, +2.80,  +1.399, +6.604527E+01,  10
1585705740, +2.80,  +1.388, +6.685122E+01,  10
1585706340, +2.81,  +1.366, +6.607138E+01,  10
1585706940, +2.80,  +1.355, +6.574695E+01,  10
1585707540, +2.80,  +1.322, +6.545054E+01,  10
1585708140, +2.80,  +1.399, +6.464942E+01,  10
1585708740, +2.80,  +1.388, +6.584126E+01,  10
1585709340, +2.80,  +1.388, +6.597416E+01,  10
1585709940, +2.80,  +1.344, +5.903713E+01,  10
1585710540, +2.80,  +1.310, +6.417288E+01,  10
1585711140, +2.80,  +1.366, +6.366962E+01,  10
1585711740, +2.80,  +1.377, +6.423626E+01,  10
1585712340, +2.80,  +1.388, +6.456636E+01,  10
1585712940, +2.80,  +1.366, +6.355977E+01,  10
1585713540, +2.80,  +1.366, +6.500990E+01,  10
1585714140, +2.80,  +1.344, +6.245933E+01,  10
1585714740, +2.80,  +1.366, +6.257928E+01,  10
1585715340, +2.80,  +1.344, +6.167842E+01,  10
1585715940, +2.80,  +1.355, +6.221650E+01,  10
1585716540, +2.80,  +1.310, +6.376286E+01,  10
1585717140, +2.80,  +1.355, +5.995132E+01,  10
1585717740, +2.80,  +1.333, +6.225953E+01,  10
1585718340, +2.80,  +1.355, +6.162735E+01,  10
1585718940, +2.80,  +1.355, +5.922644E+01,  10
1585719540, +2.80,  +1.366, +6.150112E+01,  10
1585720140, +2.80,  +1.333, +6.122882E+01,  10
1585720740, +2.80,  +1.344, +6.224559E+01,  10
1585721340, +2.80,  +1.322, +6.411569E+01,  10
1585721940, +2.80,  +1.377, +6.321398E+01,  10
1585722540, +2.80,  +1.377, +6.306432E+01,  10
1585723140, +2.80,  +1.388, +6.310864E+01,  10
1585723740, +2.80,  +1.355, +6.250556E+01,  10
1585724340, +2.80,  +1.344, +6.307527E+01,  10
1585724940, +2.80,  +1.388, +6.176576E+01,  10
1585725540, +2.80,  +1.322, +6.106944E+01,  10
1585726140, +2.80,  +1.355, +6.266770E+01,  10
1585726740, +2.80,  +1.344, +6.348214E+01,  10
1585727340, +2.80,  +1.344, +6.202818E+01,  10
1585727940, +2.80,  +1.399, +6.129764E+01,  10
1585728540, +2.80,  +1.344, +6.252884E+01,  10
1585729140, +2.80,  +1.366, +6.075634E+01,  10
1585729740, +2.80,  +1.366, +6.161358E+01,  10
1585730340, +2.80,  +1.344, +6.112150E+01,  10
1585730940, +2.80,  +1.388, +5.939914E+01,  10
1585731540, +2.80,  +1.399, +5.840090E+01,  10
1585732140, +2.80,  +1.344, +5.730459E+01,  10
1585732740, +2.80,  +1.333, +5.957131E+01,  10
1585733340, +2.80,  +1.388, +5.429118E+01,  10
1585733940, +2.80,  +1.344, +5.503083E+01,  10
1585734540, +2.80,  +1.388, +5.403251E+01,  10
1585735140, +2.80,  +1.399, +5.656862E+01,  10
1585735740, +2.80,  +1.355, +5.630742E+01,  10
1585736340, +2.80,  +1.411, +5.551326E+01,  10
1585736940, +2.80,  +1.377, +5.626248E+01,  10
1585737540, +2.80,  +1.355, +5.288843E+01,  10
1585738140, +2.80,  +1.399, +5.673703E+01,  10
1585738740, +2.80,  +1.366, +5.757811E+01,  10
1585739340, +2.80,  +1.366, +5.821067E+01,  10
1585739940, +2.80,  +1.388, +5.744751E+01,  10
1585740540, +2.80,  +1.377, +5.874684E+01,  10
1585741140, +2.80,  +1.377, +6.105298E+01,  10
1585741740, +2.80,  +1.399, +6.196740E+01,  10
1585742340, +2.80,  +1.388, +6.569627E+01,  10
1585742940, +2.80,  +1.344, +6.571181E+01,  10
1585743540, +2.80,  +1.366, +6.689011E+01,  10
1585744140, +2.80,  +1.399, +6.535523E+01,  10
1585744740, +2.80,  +1.422, +6.581363E+01,  10
1585745340, +2.80,  +1.399, +6.641403E+01,  10
1585745940, +2.80,  +1.399, +6.701091E+01,  10
1585746540, +2.80,  +1.344, +6.698664E+01,  10
1585747140, +2.80,  +1.366, +6.689822E+01,  10
1585747740, +2.80,  +1.377, +6.760151E+01,  10
1585748340, +2.80,  +1.388, +6.598817E+01,  10
1585748940, +2.82,  +1.366, +6.662462E+01,  10
1585749540, +2.80,  +1.310, +6.747091E+01,  10
1585750140, +2.80,  +1.377, +6.715643E+01,  10
1585750740, +2.80,  +1.366, +6.747964E+01,  10
1585751340, +2.80,  +1.411, +6.735072E+01,  10
1585751940, +2.80,  +1.377, +6.840447E+01,  10
1585752540, +2.80,  +1.366, +6.804268E+01,  10
1585753140, +2.80,  +1.355, +6.542191E+01,  10
1585753740, +2.80,  +1.355, +6.619279E+01,  10
1585754340, +2.80,  +1.411, +6.794867E+01,  10
1585754940, +2.80,  +1.399, +6.792288E+01,  10
1585755540, +2.80,  +1.377, +6.749587E+01,  10
1585756140, +2.80,  +1.433, +6.729224E+01,  10
1585756740, +2.80,  +1.366, +6.867983E+01,  10
1585757340, +2.80,  +1.344, +6.853598E+01,  10
1585757940, +2.80,  +1.377, +6.692042E+01,  10
1585758540, +2.80,  +1.377, +6.826851E+01,  10
1585759140, +2.80,  +1.366, +6.865142E+01,  10
1585759740, +2.80,  +1.377, +6.821691E+01,  10
1585760340, +2.80,  +1.344, +6.814603E+01,  10
1585760940, +2.80,  +1.366, +6.797906E+01,  10
1585761540, +2.80,  +1.377, +6.780353E+01,  10
1585762140, +2.80,  +1.344, +6.792525E+01,  10
1585762740, +2.80,  +1.355, +6.825871E+01,  10
1585763340, +2.80,  +1.366, +6.831337E+01,  10
1585763940, +2.80,  +1.366, +6.851241E+01,  10
1585764540, +2.80,  +1.333, +6.845193E+01,  10
1585765140, +2.80,  +1.322, +6.804597E+01,  10
1585765740, +2.80,  +1.377, +6.857127E+01,  10
1585766340, +2.80,  +1.355, +6.871558E+01,  10
1585766940, +2.80,  +1.344, +6.845736E+01,  10
1585767540, +2.80,  +1.399, +6.845599E+01,  10
1585768140, +2.79,  +1.388, +6.843769E+01,  10
1585768740, +2.80,  +1.344, +6.830969E+01,  10
1585769340, +2.80,  +1.433, +6.798396E+01,  10
1585769940, +2.80,  +1.333, +6.815238E+01,  10
1585770540, +2.80,  +1.377, +6.814633E+01,  10
1585771140, +2.80,  +1.344, +6.759623E+01,  10
1585771740, +2.79,  +1.411, +6.794293E+01,  10
1585772340, +2.80,  +1.388, +6.706166E+01,  10
1585772940, +2.80,  +1.355, +6.783951E+01,  10
1585773540, +2.80,  +1.411, +6.746440E+01,  10
1585774140, +2.80,  +1.377, +6.776250E+01,  10
1585774740, +2.80,  +1.366, +6.453849E+01,  10
1585775340, +2.79,  +1.377, +6.657984E+01,  10
1585775940, +2.80,  +1.355, +6.744925E+01,  10
1585776540, +2.80,  +1.344, +6.609266E+01,  10
1585777140, +2.80,  +1.388, +6.709818E+01,  10
1585777740, +2.80,  +1.344, +6.807537E+01,  10
1585778340, +2.80,  +1.377, +6.694438E+01,  10
1585778940, +2.80,  +1.411, +6.747726E+01,  10
1585779540, +2.80,  +1.377, +6.728795E+01,  10
1585780140, +2.80,  +1.399, +6.788766E+01,  10
1585780740, +2.79,  +1.388, +6.782565E+01,  10
1585781340, +2.79,  +1.377, +6.818017E+01,  10
1585781940, +2.80,  +1.411, +6.802538E+01,  10
1585782540, +2.79,  +1.411, +6.809114E+01,  10
1585783140, +2.80,  +1.399, +6.668831E+01,  10
1585783740, +2.80,  +1.399, +6.756032E+01,  10
1585784340, +2.80,  +1.377, +6.596214E+01,  10
1585784940, +2.80,  +1.366, +6.710101E+01,  10
1585785540, +2.80,  +1.422, +6.692065E+01,  10
1585786140, +2.79,  +1.411, +6.768112E+01,  10
1585786740, +2.80,  +1.377, +6.669712E+01,  10
1585787340, +2.79,  +1.455, +6.628580E+01,  10
1585787940, +2.80,  +1.399, +6.559277E+01,  10
1585788540, +2.79,  +1.366, +6.442374E+01,  10
1585789140, +2.80,  +1.388, +6.480497E+01,  10
1585789740, +2.80,  +1.366, +6.447618E+01,  10
