Lake,Date,Value,Variable
SSB,2019-01-08,9.5,snow
SSB,2019-02-16,17.6,snow
SSB,2019-03-09,18.3,snow
SSB,2019-04-06,0,snow
TB,2019-01-14,8.9,snow
TB,2019-02-17,14.4,snow
TB,2019-03-19,17.6,snow
TB,2019-03-25,8.9,snow
TB,2019-04-05,1.4,snow
SSB,2020-01-07,0,snow
TB,2020-01-30,11.1,snow
SSB,2020-01-31,0,snow
SSB,2020-02-14,0,snow
TB,2020-02-15,10.8,snow
SSB,2020-03-06,5.4,snow
TB,2020-03-07,6.6,snow
SSB,2021-01-13,5.4,snow
TB,2021-01-14,11,snow
SSB,2021-02-02,0,snow
TB,2021-02-03,10.6,snow
SSB,2021-02-17,2.5,snow
TB,2021-02-16,12.9,snow
SSB,2021-03-02,0,snow
TB,2021-03-02,24.6,snow
SSB,2021-03-15,0,snow
TB,2021-03-15,0,snow
SSB,2019-01-08,29,total_ice
SSB,2019-02-16,66,total_ice
SSB,2019-03-09,70,total_ice
SSB,2019-04-06,42,total_ice
TB,2019-01-14,26,total_ice
TB,2019-02-17,66.5,total_ice
TB,2019-03-19,66,total_ice
TB,2019-03-25,68,total_ice
TB,2019-04-05,37,total_ice
SSB,2020-01-07,37,total_ice
TB,2020-01-30,57,total_ice
SSB,2020-01-31,58,total_ice
SSB,2020-02-14,48,total_ice
TB,2020-02-15,44.5,total_ice
SSB,2020-03-06,52,total_ice
TB,2020-03-07,54,total_ice
SSB,2021-01-13,28,total_ice
TB,2021-01-14,19,total_ice
SSB,2021-02-02,38,total_ice
TB,2021-02-03,25,total_ice
SSB,2021-02-17,59,total_ice
TB,2021-02-16,40,total_ice
SSB,2021-03-02,59,total_ice
TB,2021-03-02,42,total_ice
SSB,2021-03-15,47,total_ice
TB,2021-03-15,40,total_ice
SSB,2019-01-08,11.5,white
SSB,2019-02-16,19,white
SSB,2019-03-09,48,white
SSB,2019-04-06,21,white
TB,2019-01-14,16,white
TB,2019-02-17,19,white
TB,2019-03-19,33,white
TB,2019-03-25,53,white
TB,2019-04-05,18,white
SSB,2020-01-07,16,white
TB,2020-01-30,34,white
SSB,2020-01-31,24,white
SSB,2020-02-14,13,white
TB,2020-02-15,13,white
SSB,2020-03-06,2,white
TB,2020-03-07,28,white
SSB,2021-01-13,7,white
TB,2021-01-14,10,white
SSB,2021-02-02,8,white
TB,2021-02-03,16,white
SSB,2021-02-17,10.5,white
TB,2021-02-16,24.5,white
SSB,2021-03-02,8,white
TB,2021-03-02,15,white
SSB,2021-03-15,0,white
TB,2021-03-15,12,white
SSB,2019-01-08,17.5,black
SSB,2019-02-16,47,black
SSB,2019-03-09,22,black
SSB,2019-04-06,21,black
TB,2019-01-14,10,black
TB,2019-02-17,47.5,black
TB,2019-03-19,33,black
TB,2019-03-25,15,black
TB,2019-04-05,19,black
SSB,2020-01-07,21,black
TB,2020-01-30,23,black
SSB,2020-01-31,34,black
SSB,2020-02-14,35,black
TB,2020-02-15,32.5,black
SSB,2020-03-06,50,black
TB,2020-03-07,26,black
SSB,2021-01-13,21,black
TB,2021-01-14,9,black
SSB,2021-02-02,30,black
TB,2021-02-03,9,black
SSB,2021-02-17,48.5,black
TB,2021-02-16,15.5,black
SSB,2021-03-02,51,black
TB,2021-03-02,27,black
SSB,2021-03-15,47,black
TB,2021-03-15,28,black
TB,2020-01-22,30,snow
TB,2020-01-22,35,total_ice
TB,2020-01-22,35,white
TB,2020-01-22,0,black
