lakeid,Depth,Date,DIC,DOC,TIC,TOC
SSB,0,2018-11-08,3.81,17.53,5,18.09
SSB,3,2018-11-08,3.62,17.91,4.48,18.05
SSB,7,2018-11-08,NA,NA,4.92,17.95
SSB,0,2019-01-08,NA,NA,NA,NA
SSB,3,2019-01-08,5.01,19.74,NA,NA
SSB,7,2019-01-08,6.1,20.33,2.23,21.66
SSB,0,2019-02-16,4.53,47.36,5.4,31.27
SSB,3,2019-02-16,6.02,19.51,5.09,19.06
SSB,7,2019-02-16,8.58,21.73,8.47,21.62
SSB,0,2019-03-09,5.87,19.33,4.94,20.81
SSB,3,2019-03-09,6.18,19.4,5.99,19.42
SSB,7,2019-03-09,8,21.09,8.46,21.77
SSB,0,2019-04-06,1.53,22.41,0.86,24.92
SSB,3,2019-04-06,NA,NA,2.23,20.87
SSB,7,2019-04-06,NA,NA,NA,NA
SSB,0,2019-05-02,0.83,14.27,1.16,14.6
SSB,3,2019-05-02,6.35,20.13,7.39,20.86
SSB,7,2019-05-02,9.87,22.76,9.77,23.93
SSB,0,2020-01-31,5.78,21.39,5.79,21.58
SSB,3,2020-01-31,5.92,18.36,5.9,18.54
SSB,7,2020-01-31,11.37,22.8,11.62,23.04
SSB,0,2020-02-14,5.3,19.82,6.61,20.55
SSB,3,2020-02-14,4.04,16.8,5.31,16.69
SSB,7,2020-02-14,15.02,21.11,12.69,20.6
SSB,0,2020-03-06,4.93,19.58,7.12,19.84
SSB,3,2020-03-06,6.46,17,5.88,17.23
SSB,7,2020-03-06,11.62,19.07,2.74,19.96
SSB,0,2020-05-04,1.52,12.75,1.49,13.04
SSB,3,2020-05-04,8.22,17.26,8.36,17.11
SSB,7,2020-05-04,14.69,24.6,15.72,27.13
SSB,0,2020-10-06,3.43,15.73,3.74,16.39
SSB,3,2020-10-06,6.1,16.31,7.61,17.19
SSB,7,2020-10-06,15.97,21.37,16.05,22.39
SSB,0,2020-10-30,6.26,16.65,6.26,16.65
SSB,3,2020-10-30,6.34,16.59,6.34,16.59
SSB,7,2020-10-30,6.22,16.71,6.22,16.71
SSB,0,2021-01-13,8.74,20.16,10.77,20.45
SSB,3,2021-01-13,6.22,16.81,6.35,17.86
SSB,7,2021-01-13,16.48,22.24,16.97,24.12
SSB,0,2021-02-02,1.6,19.9,3.14,22.33
SSB,3,2021-02-02,1.87,18.1,1.82,18.27
SSB,7,2021-02-02,2.4,19.33,3.79,19.67
SSB,0,2021-02-17,2.91,21.62,5.08,22.91
SSB,3,2021-02-17,2.46,19.13,2.97,18.89
SSB,7,2021-02-17,2.78,19.19,2.99,19.2
SSB,0,2021-03-02,5.99,18.89,6.67,19.35
SSB,3,2021-03-02,6.27,18.66,6.94,19.19
SSB,7,2021-03-02,8.18,19.31,8.98,21.03
SSB,0,2021-03-15,3.8,19.97,4.37,20.66
SSB,3,2021-03-15,6.98,19.25,7.08,20.26
SSB,7,2021-03-15,7.77,20.78,7.79,21.54
TB,0,2018-11-06,4.39,27.82,4.21,28.39
TB,3,2018-11-06,4.91,27.78,4.16,28.46
TB,7,2018-11-06,13.12,34.75,12.72,35.33
TB,0,2019-01-14,3.57,30.97,5.29,33.81
TB,3,2019-01-14,4.86,29.53,4.9,29.92
TB,7,2019-01-14,8.51,35.44,8.66,36.08
TB,0,2019-02-22,4.7,31.48,5.19,29.66
TB,3,2019-02-22,4.81,29.27,5,29.01
TB,7,2019-02-22,6.25,30.53,6.62,30.7
TB,0,2019-03-25,3.64,31.56,3.77,30.77
TB,3,2019-03-25,5.06,30.36,5,30.31
TB,7,2019-03-25,7.04,32.62,6.39,32.22
TB,0,2019-05-06,1.07,24.98,1.79,24.74
TB,3,2019-05-06,4.95,29.44,5.46,29.45
TB,7,2019-05-06,8.94,35.61,10.37,36.9
TB,0,2019-11-05,3.72,28.15,4.29,27.77
TB,3,2019-11-05,5.13,28.21,3.95,27.54
TB,7,2019-11-05,14.18,39.22,13.99,37.39
TB,0,2020-01-22,5.79,28.2,6.62,30.68
TB,3,2020-01-22,6.09,28.9,6.13,29.09
TB,7,2020-01-22,7.43,30.91,7.39,31.32
TB,0,2020-02-17,5.45,26.45,6.08,26.4
TB,3,2020-02-17,5.57,28.51,5.83,28.31
TB,7,2020-02-17,4.07,31.29,8.08,31.13
TB,0,2020-04-30,1.42,19.02,2,19.35
TB,3,2020-04-30,6.38,28.44,6.97,29.3
TB,7,2020-04-30,9,37.36,8.15,40.88
TB,0,2020-06-03,0.72,20.73,0.94,21.06
TB,3,2020-06-03,6.83,29.45,6.91,29.25
TB,7,2020-06-03,9.98,41.38,10.92,44.93
TB,0,2020-07-01,0.93,21.33,1.3,21.72
TB,3,2020-07-01,6.89,29.68,6.95,30.44
TB,7,2020-07-01,11.04,44.77,11.6,45.99
TB,0,2020-08-05,1.92,23.35,1.94,23.33
TB,2,2020-08-05,6.36,30.57,6.48,31.19
TB,5,2020-08-05,6.61,31.27,6.61,32.46
TB,7,2020-08-05,10.54,43.52,11.1,45.59
TB,0,2020-09-09,2.28,24.89,2.45,24.61
TB,2,2020-09-09,7.45,30.32,7.33,30.63
TB,5,2020-09-09,6.97,30.96,6.86,31.47
TB,7,2020-09-09,12,43.11,13.11,46.28
TB,0,2020-10-12,2.04,25.27,2.05,25.34
TB,2,2020-10-12,3.36,26.02,3.38,26.23
TB,5,2020-10-12,7.69,31.56,7.85,33.41
TB,7,2020-10-12,11.49,39.21,11.94,42.01
TB,0,2020-10-28,4.54,27.8,4.78,28.01
TB,3,2020-10-28,4.92,28.13,4.88,28.28
TB,7,2020-10-28,13.98,44.14,14.1,43.9
TB,0,2021-01-20,4.33,28.29,0.17,28.63
TB,3,2021-01-20,4.94,28.08,0.01,28.2
TB,7,2021-01-20,13.86,44.51,0.01,46.78
TB,0,2021-02-25,4.62,28.95,5.05,29.11
TB,3,2021-02-25,4.57,28.77,4.68,40.24
TB,7,2021-02-25,13.69,44.97,14.19,46.9
