Lake,Date,avsnow,totice,whiteice,blackice,secchi
SSB,1/8/19,9.5,29,11.5,17.5,85
SSB,2/16/19,17.6,66,19,47,70
SSB,3/9/19,18.3,70,48,22,90
SSB,4/6/19,0,42,21,21,100
TB,1/14/19,8.9,26,16,10,60
TB,2/17/19,14.4,66.5,19,47.5,95
TB,3/19/19,17.6,66,33,33,80
TB,3/25/19,8.9,68,53,15,50
TB,4/5/19,1.4,37,18,19,50
SSB,1/7/20,0,37,16,21,47
TB,1/30/20,11.1,57,34,23,50
SSB,1/31/20,0,58,24,34,40
SSB,2/14/20,0,48,13,35,40
TB,2/15/20,10.8,44.5,12,32.5,62
SSB,3/6/20,5.4,52,2,50,32
TB,3/7/20,6.6,54,28,26,75
SSB,1/13/21,5.4,28,7,21,62
TB,1/14/21,11,19,10,9,70
SSB,2/2/21,0,38,8,30,50
TB,2/3/21,10.6,25,16,9,55
SSB,2/17/21,2.5,59,10.5,48.5,45
TB,2/16/21,12.9,40,24.5,15.5,52
SSB,3/2/21,0,59,8,51,45
TB,3/2/21,24.6,42,15,27,51
SSB,3/15/21,0,47,0,47,60
TB,3/15/21,0,40,12,28,61
TB,1/22/20,30,35,35,0,
