Lake,Date,avsnow,totice,whiteice,blackice,secchi
SSB,2019-01-08,9.5,29,11.5,17.5,85
SSB,2019-02-16,17.6,66,19,47,70
SSB,2019-03-09,18.3,70,48,22,90
SSB,2019-04-06,0,42,21,21,100
SSB,2020-01-07,0,37,16,21,47
SSB,2020-01-31,0,58,24,34,40
SSB,2020-02-14,0,48,13,35,40
SSB,2020-03-06,5.4,52,2,50,32
SSB,2021-01-13,5.4,28,7,21,62
SSB,2021-02-02,0,38,8,30,50
SSB,2021-02-17,2.5,59,10.5,48.5,45
SSB,2021-03-02,0,59,8,51,45
SSB,2021-03-15,0,47,0,47,60
TB,2019-01-14,8.9,26,16,10,60
TB,2019-02-17,14.4,66.5,19,47.5,95
TB,2019-03-19,17.6,66,33,33,80
TB,2019-03-25,8.9,68,53,15,50
TB,2019-04-05,1.4,37,18,19,50
TB,2020-01-30,11.1,57,34,23,50
TB,2020-02-15,10.8,44.5,12,32.5,62
TB,2020-03-07,6.6,54,28,26,75
TB,2021-01-14,11,19,10,9,70
TB,2021-02-03,10.6,25,16,9,55
TB,2021-02-16,12.9,40,24.5,15.5,52
TB,2021-03-02,24.6,42,15,27,51
TB,2021-03-15,0,40,12,28,61
