lakeid,sampledate,depth,chlor
SSB,1/8/19,0,51.4
SSB,1/8/19,2,16.2
SSB,1/8/19,3,14.4
SSB,1/8/19,5,28.1
SSB,1/8/19,7,36.9
SSB,2/16/19,0,16
SSB,2/16/19,2,18.3
SSB,2/16/19,3,19.3
SSB,2/16/19,5,5.5
SSB,2/16/19,7,44
SSB,3/9/19,0,23.9
SSB,3/9/19,2,18.8
SSB,3/9/19,3,34.6
SSB,3/9/19,5,25.4
SSB,3/9/19,7,39
SSB,4/6/19,0,NA
SSB,4/6/19,2,98.3
SSB,4/6/19,3,109
SSB,4/6/19,5,48.1
SSB,4/6/19,7,123.7
SSB,1/7/20,0,130.6
SSB,1/7/20,2,25.3
SSB,1/7/20,3,19.4
SSB,1/7/20,5,25.5
SSB,1/7/20,7,52
SSB,1/31/20,0,13.2
SSB,1/31/20,2,25.6
SSB,1/31/20,3,17.9
SSB,1/31/20,5,26
SSB,1/31/20,7,33.4
SSB,2/28/20,0,93.8
SSB,2/28/20,2,33.2
SSB,2/28/20,3,36.2
SSB,2/28/20,5,39.7
SSB,2/28/20,7,52.9
SSB,3/6/20,0,168.4
SSB,3/6/20,2,19.8
SSB,3/6/20,3,17.9
SSB,3/6/20,5,23.9
SSB,3/6/20,7,59.2
SSB,5/5/20,0,5.5
SSB,5/5/20,2,10.2
SSB,5/5/20,3,9.8
SSB,5/5/20,5,12.3
SSB,5/5/20,7,37.6
SSB,10/6/20,0,17.4
SSB,10/6/20,2,20.4
SSB,10/6/20,3,27.8
SSB,10/6/20,5,57.8
SSB,10/6/20,7,42.3
SSB,10/30/20,0,29.2
SSB,10/30/20,2,35.8
SSB,10/30/20,3,22.1
SSB,10/30/20,5,20.1
SSB,10/30/20,7,19.8
SSB,1/13/21,0,45.3
SSB,1/13/21,2,22.8
SSB,1/13/21,3,25
SSB,1/13/21,5,34.3
SSB,1/13/21,7,148.9
SSB,2/2/21,0,94.7
SSB,2/2/21,2,47.4
SSB,2/2/21,3,51.3
SSB,2/2/21,5,55.4
SSB,2/2/21,7,100.3
SSB,2/17/21,0,259.8
SSB,2/17/21,2,71.4
SSB,2/17/21,3,55.9
SSB,2/17/21,5,54.4
SSB,2/17/21,7,78.8
SSB,3/3/21,0,79.9
SSB,3/3/21,2,45.2
SSB,3/3/21,3,32.2
SSB,3/3/21,5,37.4
SSB,3/3/21,7,70.8
