date,lake,depth,waterTemp,DO%,DO
2020-01-10,TB,0,1,8,1
2020-01-10,TB,1,2.3,2.7,0.33
2020-01-10,TB,2,3.4,0.8,0.1
2020-01-10,TB,3,3.7,0,0
2020-01-10,TB,4,3.9,0,0
2020-01-10,TB,5,4,0,0
2020-01-10,TB,6,4.1,0,0
2020-01-10,TB,7,4.1,0,0
2020-01-22,TB,0,0.4,0,0
2020-01-22,TB,1,1.4,0,0
2020-01-22,TB,2,2.8,0,0
2020-01-22,TB,3,3.4,0,0
2020-01-22,TB,4,3.6,0,0
2020-01-22,TB,5,3.7,0,0
2020-01-22,TB,6,3.8,0,0
2020-01-22,TB,7,3.9,0,0
2020-01-30,TB,0,0.7,0,0
2020-01-30,TB,1,1.8,0,0
2020-01-30,TB,2,3.1,0,0
2020-01-30,TB,3,3.6,0,0
2020-01-30,TB,4,3.7,0,0
2020-01-30,TB,5,3.8,0,0
2020-01-30,TB,6,3.9,0,0
2020-01-30,TB,7,4.1,0,0
2020-02-15,TB,0,1.6,0,0
2020-02-15,TB,1,3,0,0
2020-02-15,TB,2,3.7,0,0
2020-02-15,TB,3,3.8,0,0
2020-02-15,TB,4,3.9,0,0
2020-02-15,TB,5,4,0,0
2020-02-15,TB,6,4.1,0,0
2020-02-15,TB,7,4.2,0,0
2020-02-17,TB,0,0.3,2.2,0.3
2020-02-17,TB,1,1,0,0
2020-02-17,TB,2,2.7,0,0
2020-02-17,TB,3,3.5,0,0
2020-02-17,TB,4,3.7,0,0
2020-02-17,TB,5,3.8,0,0
2020-02-17,TB,6,3.9,0,0
2020-02-17,TB,7,4,0,0
2020-03-07,TB,0,1.3,0.2,0.03
2020-03-07,TB,1,1.5,0,0
2020-03-07,TB,2,2.6,0,0
2020-03-07,TB,3,3.6,0,0
2020-03-07,TB,4,3.8,0,0
2020-03-07,TB,5,3.9,0,0
2020-03-07,TB,6,4,0,0
2020-03-07,TB,7,4,0,0
2020-04-30,TB,0,11,100.1,10.4
2020-04-30,TB,1,5.2,30.9,3.7
