7392-570653
OS REV: 1.11 Sensor Cal: 1428445788
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1578084660,+3.35, +3.373, +0.159,+0.960
1578084720,+3.35, +3.384, +0.159,+0.959
1578084780,+3.35, +3.384, +0.161,+0.960
1578084840,+3.35, +3.405, +0.160,+0.960
1578084900,+3.35, +3.394, +0.160,+0.959
1578084960,+3.35, +3.394, +0.159,+0.960
1578085020,+3.35, +3.394, +0.160,+0.960
1578085080,+3.35, +3.384, +0.162,+0.960
1578085140,+3.35, +3.373, +0.159,+0.959
1578085200,+3.35, +3.405, +0.159,+0.960
1578085260,+3.35, +3.405, +0.161,+0.960
1578085320,+3.35, +3.394, +0.162,+0.960
1578085380,+3.35, +3.415, +0.160,+0.960
1578085440,+3.35, +3.405, +0.161,+0.960
1578085500,+3.35, +3.394, +0.162,+0.960
1578085560,+3.35, +3.394, +0.158,+0.959
1578085620,+3.35, +3.426, +0.158,+0.960
1578085680,+3.35, +3.405, +0.160,+0.960
1578085740,+3.35, +3.384, +0.160,+0.960
1578085800,+3.35, +3.405, +0.158,+0.959
1578085860,+3.35, +3.394, +0.159,+0.960
1578085920,+3.35, +3.405, +0.161,+0.960
1578085980,+3.35, +3.373, +0.159,+0.959
1578086040,+3.35, +3.394, +0.161,+0.960
1578086100,+3.35, +3.405, +0.159,+0.960
1578086160,+3.35, +3.405, +0.158,+0.960
1578086220,+3.35, +3.415, +0.159,+0.959
1578086280,+3.35, +3.405, +0.160,+0.960
1578086340,+3.35, +3.394, +0.159,+0.960
1578086400,+3.35, +3.384, +0.158,+0.959
1578086460,+3.35, +3.405, +0.159,+0.959
1578086520,+3.35, +3.415, +0.158,+0.960
1578086580,+3.35, +3.415, +0.159,+0.960
1578086640,+3.35, +3.394, +0.159,+0.959
1578086700,+3.35, +3.394, +0.161,+0.960
1578086760,+3.35, +3.373, +0.160,+0.959
1578086820,+3.35, +3.394, +0.160,+0.960
1578086880,+3.35, +3.373, +0.159,+0.959
1578086940,+3.35, +3.394, +0.160,+0.960
1578087000,+3.35, +3.415, +0.159,+0.960
1578087060,+3.35, +3.384, +0.159,+0.960
1578087120,+3.35, +3.363, +0.159,+0.959
