"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-01","0.0","0.0","178.0","-20.0","-30.0","-24.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-02","0.0","0.0","178.0","-16.1","-24.4","-18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-03","0.8","23.0","203.0","-12.2","-21.1","-16.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-04","0.0","0.0","203.0","-13.9","-20.0","-17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-05","0.0","0.0","203.0","-15.6","-18.9","-18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-06","0.0","0.0","203.0","-16.1","-30.0","-30.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-07","0.8","13.0","203.0","-11.7","-30.0","-11.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-08","0.0","0.0","203.0","-3.9","-11.7","-3.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-09","0.0","0.0","203.0","0.0","-17.8","-17.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-10","0.0","0.0","203.0","1.1","-17.8","-1.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-11","2.0","0.0","178.0","1.1","-1.7","0.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-12","14.5","61.0","229.0","0.6","-17.8","-16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-13","0.0","0.0","229.0","-13.3","-28.3","-27.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-14","0.0","0.0","229.0","-16.7","-31.7","-31.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-15","2.8","36.0","254.0","-12.2","-31.1","-12.8"
