filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,7200_signal_strength_mean,co2_mean,h2o_mean,7700_signal_strength_mean,airtemp
TOA5_TroutBog_ts_data_2020_03_23_1530.dat,2020-03-23,16:00:00,83.666,1,18000,18000,0.0162,2,-3.271848748,0,9.302610703,0,0.52024543,0,0.207210912,0,0.000876,1,1.707368612,-9999,-9999,-9999,-9999,-9999,-9999,6.55E-13,-9999,420.3667329,422.51572,0.1,0,-9999,5.086170615,5.112171994,1.6,0,0.0908,2.031393868,2.041778703,-1.3,0,275.1081532,276.850038,96023.88257,1.206024693,1007.952508,0.024,0.0134,0.00382,488.5248564,794.1406558,0.00317,61.51616251,305.6157994,270.1088473,0.136626045,0.231823371,-0.0164,0.269588835,6.01E-14,7.21E-15,0.269588835,4.23396297,81.51314389,59.48685611,-3.490429257,-9999,0.115840214,0.474691906,40.21724848,0.0373,-0.35171296,-0.0232,1,0.906109027,1,1,2,3,6,23,0.0159,1.017740435,-2.756057461,1.028954733,7.543067337,1.233266294,0.421843549,1.233266294,0.16801798,1.233266294,0.000908,1.553642717,800000009,800000009,800000009,800000009,800001009,810111109,899999999,899999999,89999,89999,89,89,9,12,5,16,9,0,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.585003781,0.319253592,0.0451,0.0226,0.219721214,0.0151,1.13E-08,-0.00227,0.0102,0.00405,9.08E-07,0,17.51831904,211.9573351,37.66107055,3.700038
TOA5_TroutBog_ts_data_2020_03_23_1600.dat,2020-03-23,16:30:00,83.687,1,18000,18000,0.013,0,-6.506643588,0,8.866001015,0,0.507458999,0,0.19746078,0,-0.000253,0,-0.134213673,-0.142027259,0.00369,-0.00316,-6.99E-05,-9999,-9999,3.25E-13,-9999,420.4728232,422.5837272,1.2,0,-9999,4.995232638,5.020310256,2.4,0,0.0908,2.029383241,2.039571375,0.8,0,275.0848475,276.7176182,96030.13994,1.206722023,1007.900867,0.024,0.0128,0.00376,479.8215618,786.7598938,0.00311,60.98703881,306.938332,269.8678024,0.112848905,-0.0445,0.0236,0.123569502,-3.71E-14,3.58E-15,0.123569502,2.694294118,162.5086507,338.4913493,11.00854239,-9999,0.103868605,0.183067596,14.57928821,0.102885681,-0.733887079,-0.0515,1,0.173470587,1,1,2,-9999,-9999,-9999,0.0127,1.026344318,-5.883310508,1.039001736,6.8446515,1.295318106,0.391763998,1.295318106,0.152441921,1.295318106,0.000788,1.704192661,800000009,800000009,800000009,800000009,800010009,800011009,899999999,899999999,89999,89999,89,89,3,3,1,45,31,8,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.149949109,0.189437297,0.0267,0.015,0.168251141,0.00711,1.02E-08,-0.00484,0.00943,0.00367,7.88E-07,0,17.53971157,208.3835718,38.56486583,3.5676182
TOA5_TroutBog_ts_data_2020_03_24_0700.dat,2020-03-24,7:30:00,84.312,1,16994,16994,0.0151,1,-3.475457739,2,-13.61567895,2,-5.889401597,1,-0.301282474,2,-0.0015,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.55E-13,-9999,437.4648883,439.0703474,0.3,1,-9999,3.656496331,3.669915363,0.3,1,0.0949,2.053968155,2.061506044,1.1,0,267.939908,269.8723831,96084.50043,1.2386585,1007.079526,0.0234,-0.0195,0.00282,351.4268645,478.7226999,0.00228,73.40927527,127.2958353,265.7681845,0.130530293,0.167637786,-0.000722,0.212464364,2.06E-14,2.69E-15,0.212464364,1.456175346,88.90592353,52.09407647,-0.194728965,-9999,0.110554619,0.125782301,32.9155217,0.0456,0.25525409,-0.0252,1,0.593393114,1,1,1,2,6,319,0.0148,1.020086801,-3.968122171,1.032050795,-10.86114276,1.253613846,-4.697939174,1.253613846,-0.240331163,1.253613846,0.000352,1.603095196,800000009,800000009,800000009,800000009,800001009,800001009,899999999,899999999,89999,89999,89,89,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,16994,16994,0,0,16994,16994,16994,0,0.0813,0.167199743,0.00307,0.127883415,119.6382159,1.141416044,6.66E-08,-0.00318,-0.110106727,-0.00563,3.52E-07,0,18.84493839,157.3391681,19.56484637,-3.2776169
TOA5_TroutBog_ts_data_2020_03_24_0830.dat,2020-03-24,9:00:00,84.374,1,18000,18000,0.00453,1,2.338141427,1,-0.897387332,0,-0.0179,2,-0.02,0,0.000405,1,1.857306621,0.139513461,-0.0756,0.0031,-3.26E-05,-9999,-9999,1.27E-13,-9999,427.8722808,430.039632,0.3,1,-9999,5.039887116,5.065416242,0.3,1,0.0925,2.052211872,2.062607179,0,1,271.8588811,275.1133196,96005.56005,1.213427712,1007.901061,0.0238,-0.00129,0.00381,483.9869748,702.0400666,0.00314,68.94007875,218.0530918,269.9836467,0.219703481,0.371474648,-0.0128,0.431770824,-3.93E-14,1.37E-15,0.431770824,1.398764071,81.60159824,59.39840176,-1.694496404,-9999,0.0611,0.0902,-8.246732083,-0.181890231,-2.605498589,0.0313,1,7.07018138,3,6,10,15,26,66,0.00444,1.018833013,2.238857183,1.026473097,-0.76019345,1.180472329,-0.0152,1.180472329,-0.0169,1.180472329,-0.000228,1.381793239,800000009,800000009,800000009,800000009,800000009,810110009,899999999,899999999,89999,89999,89,89,2,8,1,12,12,13,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.0855,0.0861,0.00875,0.0949,0.203760566,0.00635,2.40E-08,0.00183,-0.000364,-0.000405,-2.28E-07,0,18.0523431,212.6393286,26.86025084,1.9633196
TOA5_TroutBog_ts_data_2020_03_26_0700.dat,2020-03-26,7:30:00,86.312,1,16992,16992,0.0187,0,2.438388081,0,-6.143272924,1,5.682825403,0,-0.136447289,1,-0.00752,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.48E-13,-9999,419.4525354,421.7320171,0.3,1,-9999,5.405047698,5.434421002,0.3,1,0.0918,2.025445366,2.036452489,0.9,0,272.4475211,273.8378375,95363.73091,1.210762141,1008.082302,0.0239,-0.00884,0.00408,515.583777,640.5540437,0.00337,80.49028525,124.9702668,270.8346713,-0.0669,-0.343869767,0.031,0.351685223,-7.36E-15,-8.15E-15,0.351685223,3.16430232,242.0070634,258.9929366,5.060728956,-9999,0.12420199,0.287100222,-66.18729702,-0.0227,-0.396920031,0.0161,1,1.540576781,1,1,2,4,7,22,0.0183,1.02131317,2.084020878,1.02813571,-5.194606049,1.182625374,4.805262534,1.182625374,-0.115376595,1.182625374,-0.00617,1.385793658,800000009,800000009,800000009,800000009,800001109,800101109,899999999,899999999,89999,89999,89,89,21,6,1,13,13,1,0,0,0,0,0,0,0,0,0,16992,16992,0,0,16992,16992,16992,0,0.258111807,0.272326421,0.0438,0.00273,37.41401293,0.0204,3.79E-08,0.00171,0.115343133,-0.00277,-6.17E-06,0,17.62098231,227.0822537,21.6918206,0.6878375
TOA5_TroutBog_ts_data_2020_03_26_0730.dat,2020-03-26,8:00:00,86.333,1,18000,18000,0.0281,0,1.986613642,0,1.644761386,0,0.549368649,1,0.0365,0,-0.00394,1,0.136214916,-0.326099127,0.0711,-0.00724,-0.000156,-9999,-9999,2.35E-13,-9999,421.4886276,423.6907755,0.5,0,-9999,5.19753573,5.224691249,0.3,1,0.0915,2.020980909,2.03153991,-0.3,0,272.5257021,273.9717549,95416.57384,1.210936105,1007.970737,0.0239,0.00237,0.00392,496.06408,646.7773704,0.00324,76.69781021,150.7132904,270.3145922,-0.024,-0.219781406,0.00798,0.221236416,6.61E-15,2.57E-15,0.221236416,3.032567435,237.2427639,263.7572361,2.066985423,-9999,0.152429734,0.290285835,-150.2260773,-0.00998,1.20784307,0.0107,1,0.373953953,1,1,1,3,20,-9999,0.0273,1.02886395,2.003538288,1.033231504,1.382136201,1.190013969,0.461648907,1.190013969,0.0307,1.190013969,-0.00362,1.398184157,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,5,19,0,30,6,0,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.225955171,0.316271701,0.0383,0.00716,0.294238726,0.00517,2.58E-08,0.00164,0.0111,0.000737,-3.62E-06,0,17.66259735,217.8048355,23.04706209,0.8217549
TOA5_TroutBog_ts_data_2020_03_26_0800.dat,2020-03-26,8:30:00,86.354,1,18000,18000,0.0307,0,5.530442037,0,4.257143443,1,-0.148614729,2,0.0946,1,-0.00322,0,0.568937004,-0.279781949,-0.0549,-0.00622,7.08E-05,-9999,-9999,-6.75E-14,-9999,419.9117171,422.0299084,0.3,1,-9999,5.01905495,5.044372935,4,0,0.0914,2.023014441,2.03321928,-1.3,0,272.7521496,274.5321996,95425.40975,1.208657669,1007.881152,0.0239,0.00613,0.00378,479.0738471,673.4070713,0.00313,71.14179039,194.3332241,269.8469133,-0.113640418,0.208391968,-0.0234,0.238518238,2.41E-14,-7.39E-16,0.238518238,2.552266148,22.39545856,118.6045414,-5.640575674,-9999,0.159317995,0.309197947,-61.61746138,-0.0243,1.299096944,0.0285,1,0.404983732,1,1,1,2,11,-9999,0.0299,1.027427,5.567607114,1.032260056,3.58177421,1.188557177,-0.12503793,1.188557177,0.0796,1.188557177,-0.00408,1.395799211,800000009,800000009,800000009,800000009,800010009,800010009,899999999,899999999,89999,89999,89,89,3,4,2,30,25,0,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.26469165,0.306245283,0.0475,0.0137,0.115054613,0.00925,2.11E-08,0.00457,-0.00301,0.00191,-4.08E-06,0,17.5519477,209.8059134,24.9555486,1.3821996
TOA5_TroutBog_ts_data_2020_03_26_0830.dat,2020-03-26,9:00:00,86.374,1,18000,18000,0.0344,0,6.578641761,0,0.791459296,1,0.0218,2,0.0176,1,-0.00275,0,0.778642179,-0.189033641,-0.00309,-0.0042,7.53E-05,-9999,-9999,1.43E-13,-9999,419.8228516,421.889275,0.3,1,-9999,4.898023036,4.922131751,0.3,1,0.0912,2.025180931,2.035149139,-0.9,0,273.1497517,275.3014754,95412.98467,1.205178635,1007.826266,0.024,0.00114,0.00368,467.4603545,711.5390983,0.00305,65.69707211,244.0787438,269.5186933,-0.139849246,0.275292234,-0.0208,0.309478342,-2.24E-14,1.57E-15,0.309478342,3.487410081,24.06929955,116.9307004,-3.856326882,-9999,0.169045239,0.382084422,-61.87249478,-0.0242,8.312040551,0.032,1,0.631095082,1,1,1,2,5,62,0.0337,1.023104359,6.43874693,1.02934149,0.668292071,1.184301491,0.0184,1.184301491,0.0149,1.184301491,-0.00382,1.388707243,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,2,5,2,29,14,0,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.32709581,0.379816664,0.0573,0.0514,0.112827143,0.00616,4.00E-08,0.0053,0.000444,0.000358,-3.82E-06,0,17.47966251,203.9326647,28.55423925,2.1514754
TOA5_TroutBog_ts_data_2020_03_26_0900.dat,2020-03-26,9:30:00,86.395,1,18000,18000,0.0394,0,2.216173741,1,7.337146585,0,0.160934717,1,0.163332359,0,-0.000814,0,0.9202164,-0.0486,-0.018,-0.00108,3.88E-05,-9999,-9999,-1.68E-13,-9999,419.3020719,421.3526935,1.2,0,-9999,4.86675794,4.890559107,0.9,0,0.0908,2.026303254,2.03621301,-1.2,0,273.7892835,276.2138931,95385.23611,1.200862451,1007.822902,0.0241,0.0106,0.00364,464.3413764,759.2346822,0.00303,61.15913661,294.8933057,269.4293127,-0.365721574,-0.0984,-0.0507,0.382112589,-3.55E-14,-1.85E-15,0.382112589,3.770428301,305.9363874,195.0636126,-7.622865289,-9999,0.181215984,0.51956449,-226.2164759,-0.00663,0.302048448,0.0101,1,0.838094338,1,1,1,2,5,19,0.0387,1.020254412,2.511412694,1.027424683,6.209102636,1.181675842,0.136191933,1.181675842,0.138220951,1.181675842,-0.00156,1.38408005,800000009,800000009,800000009,800000009,800000009,800010109,899999999,899999999,89999,89999,89,89,23,8,4,36,25,4,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.298520413,0.682928551,0.0577,0.0722,0.0431,0.00749,1.61E-08,0.00208,0.00329,0.00334,-1.56E-06,0,17.39704945,201.9280359,36.87216801,3.0638931
TOA5_TroutBog_ts_data_2020_03_26_0930.dat,2020-03-26,10:00:00,86.416,1,18000,18000,0.0403,1,2.044419866,1,4.746605114,1,0.142598765,0,0.105757917,1,0.000365,0,0.936694741,-0.118301022,-0.00661,-0.00264,0.000184,-9999,-9999,5.07E-13,-9999,419.1106597,421.1280262,0.5,0,-9999,4.79038765,4.813445922,0.8,0,0.0907,2.031638145,2.041417326,-1.4,0,274.3648296,277.1453258,95431.70158,1.197444239,1007.795833,0.0241,0.00685,0.00358,457.2774716,810.820181,0.00299,56.39690307,353.5427094,269.2248958,0.0821,0.212921906,-0.00919,0.228375427,2.93E-14,5.59E-15,0.228375427,2.670734859,72.07843853,68.92156147,-2.306755662,-9999,0.183457693,0.506984503,-254.5236491,-0.00589,0.430712018,0.00923,1,0.261839493,1,1,1,5,-9999,-9999,0.0392,1.028245991,2.208781389,1.03281382,3.990805145,1.189385335,0.119892822,1.189385335,0.0889,1.189385335,-0.000465,1.397155118,800000009,800000009,800000009,800000009,800010109,800110119,899999999,899999999,89999,89999,89,89,1,0,1,37,11,1,0,0,0,0,0,0,0,0,0,18000,18000,0,0,18000,18000,18000,0,0.660240673,0.308731661,0.045,0.0499,0.0657,0.0104,1.53E-08,0.00183,0.00291,0.00216,-4.65E-07,0,17.32742673,198.0487026,38.93701841,3.9953258
