lake,sampledate,water_depth_m,CO2_micromolL,CH4_micromolL
SSB,1/9/20,0,452,39.2
SSB,1/9/20,3,520.3,41.3
SSB,1/9/20,5,572.3,76.4
SSB,1/9/20,7,1613.3,1186.7
SSB,1/31/20,0,490.3,13.6
SSB,1/31/20,3,517,34.5
SSB,1/31/20,5,573.7,71
SSB,1/31/20,7,996,369.7
SSB,2/14/20,0,457.3,13.3
SSB,2/14/20,3,535.3,57.2
SSB,2/14/20,5,582.3,124.6
SSB,2/14/20,7,1042.7,481.7
SSB,3/6/20,0,550.7,31.2
SSB,3/6/20,3,552.3,59.8
SSB,3/6/20,5,608.7,98.8
SSB,3/6/20,7,1143.3,605.3
SSB,5/4/20,0,118.1,14.5
SSB,5/4/20,3,578.3,61.3
SSB,5/4/20,5,744,171.3
SSB,5/4/20,7,1183.3,409.3
SSB,6/18/20,0,65.8,0.9
SSB,6/18/20,3,938,134
SSB,6/18/20,5,1009,228
SSB,6/25/20,0,100.7,0.9
SSB,6/25/20,3,782.3,124
SSB,6/25/20,5,814,175
SSB,6/25/20,7,1280,621.3
SSB,7/2/20,0,69,1.2
SSB,7/2/20,3,885.3,175
SSB,7/2/20,5,921.3,200
SSB,7/2/20,7,1270,570.7
SSB,7/11/20,0,72.7,0.7
SSB,7/11/20,3,831.7,163.3
SSB,7/11/20,5,931,220
SSB,7/11/20,7,1453.3,762
SSB,7/16/20,0,76.1,0.2
SSB,7/16/20,3,629.7,119.8
SSB,7/16/20,5,787,178.7
SSB,7/16/20,7,1406.7,720.3
SSB,7/23/20,0,187.5,2.7
SSB,7/23/20,3,832.3,167.7
SSB,7/23/20,5,925.7,235.3
SSB,7/23/20,7,1370,731
SSB,7/28/20,0,119.7,-0.3
SSB,7/28/20,3,871,190.3
SSB,7/28/20,5,951,233.7
SSB,7/28/20,7,1403.3,706.7
SSB,10/7/20,0,288.7,9.5
SSB,10/7/20,3,904.7,269.3
SSB,10/7/20,5,898.7,339
SSB,10/7/20,7,1390,763
SSB,10/30/20,0,489.7,60.9
SSB,10/30/20,3,522,60.5
SSB,10/30/20,5,515.3,62.9
SSB,10/30/20,7,512,61
SSB,1/13/21,0,503.3,6.5
SSB,1/13/21,3,507,31
SSB,1/13/21,5,540.3,61.9
SSB,1/13/21,7,622.3,140.7
SSB,2/2/21,0,479,0.1
SSB,2/2/21,3,518,35.6
SSB,2/2/21,5,533,60.6
SSB,2/2/21,7,635.7,173.3
SSB,2/17/21,0,482,3.4
SSB,2/17/21,3,552.7,54.3
SSB,2/17/21,5,553.7,74.6
SSB,2/17/21,7,575.7,103
SSB,3/2/21,0,630,36.1
SSB,3/2/21,3,604.7,68.3
SSB,3/2/21,5,617.7,88.2
SSB,3/2/21,7,831.7,312.7
SSB,3/15/21,0,333,3
SSB,3/15/21,3,596,65.6
SSB,3/15/21,5,623.3,116.7
SSB,3/15/21,7,737,245.3
SSB,4/13/21,0,33,3.1
SSB,4/13/21,3,577.3,48.4
SSB,4/13/21,5,631.3,67.1
SSB,4/13/21,7,764,208
TB,1/10/20,0,504.7,25
TB,1/10/20,3,580.3,33.2
TB,1/10/20,5,565.7,31
TB,1/10/20,7,679.7,125.1
TB,1/30/20,0,556,23.5
TB,1/30/20,3,539.7,31.2
TB,1/30/20,5,557.3,43.1
TB,1/30/20,7,1078.3,630.3
TB,2/15/20,0,529.7,30
TB,2/15/20,3,536.3,34.6
TB,2/15/20,5,575.7,55.1
TB,2/15/20,7,593.3,65.5
TB,3/7/20,0,537,24.5
TB,3/7/20,3,564.3,44
TB,3/7/20,5,578.7,56.5
TB,3/7/20,7,663,136.3
TB,5/4/20,0,313,21.1
TB,5/4/20,3,526,45.4
TB,5/4/20,5,424.7,41
TB,5/4/20,7,673.3,118.3
TB,6/5/20,0,79.9,0
