sampledate,lake,water_depth_m,waterTemp_C,DO_percent,DO_mgL,barometricP_kPa
2020-01-09,SSB,0,0.2,10.4,1.51,101.786
2020-01-09,SSB,1,2.1,0,0,101.786
2020-01-09,SSB,2,3.8,0,0,101.786
2020-01-09,SSB,3,3.9,0,0,101.786
2020-01-09,SSB,4,3.9,0,0,101.786
2020-01-09,SSB,5,4,0,0,101.786
2020-01-09,SSB,6,4.1,0,0,101.786
2020-01-09,SSB,7,4.2,0,0,101.786
2020-01-10,TB,0,1,8,1,100.847
2020-01-10,TB,1,2.3,2.7,0.33,100.847
2020-01-10,TB,2,3.4,0.8,0.1,100.847
2020-01-10,TB,3,3.7,0,0,100.847
2020-01-10,TB,4,3.9,0,0,100.847
2020-01-10,TB,5,4,0,0,100.847
2020-01-10,TB,6,4.1,0,0,100.847
2020-01-10,TB,7,4.1,0,0,100.847
2020-01-30,TB,0,0.7,0,0,96.165
2020-01-30,TB,1,1.8,0,0,96.165
2020-01-30,TB,2,3.1,0,0,96.165
2020-01-30,TB,3,3.6,0,0,96.165
2020-01-30,TB,4,3.7,0,0,96.165
2020-01-30,TB,5,3.8,0,0,96.165
2020-01-30,TB,6,3.9,0,0,96.165
2020-01-30,TB,7,4.1,0,0,96.165
2020-01-31,SSB,0,0.8,3.5,0.5,95.726
2020-01-31,SSB,1,1.9,0,0,95.726
2020-01-31,SSB,2,3.3,0,0,95.726
2020-01-31,SSB,3,3.7,0,0,95.726
2020-01-31,SSB,4,3.9,0,0,95.726
2020-01-31,SSB,5,4,0,0,95.726
2020-01-31,SSB,6,4.1,0,0,95.726
2020-01-31,SSB,7,4.2,0,0,95.726
2020-02-14,SSB,0,1.9,0,0,94.926
2020-02-14,SSB,1,3.6,0,0,94.926
2020-02-14,SSB,2,3.9,0,0,94.926
2020-02-14,SSB,3,4,0,0,94.926
2020-02-14,SSB,4,4.1,0,0,94.926
2020-02-14,SSB,5,4.1,0,0,94.926
2020-02-14,SSB,6,4.2,0,0,94.926
2020-02-14,SSB,7,4.3,0,0,94.926
2020-02-15,TB,0,1.6,0,0,95.006
2020-02-15,TB,1,3,0,0,95.006
2020-02-15,TB,2,3.7,0,0,95.006
2020-02-15,TB,3,3.8,0,0,95.006
2020-02-15,TB,4,3.9,0,0,95.006
2020-02-15,TB,5,4,0,0,95.006
2020-02-15,TB,6,4.1,0,0,95.006
2020-02-15,TB,7,4.2,0,0,95.006
2020-03-06,SSB,0,0.5,39.5,5.71,97.272
2020-03-06,SSB,1,1.6,0,0,97.272
2020-03-06,SSB,2,3.1,0,0,97.272
2020-03-06,SSB,3,3.8,0,0,97.272
2020-03-06,SSB,4,3.9,0,0,97.272
2020-03-06,SSB,5,4,0,0,97.272
2020-03-06,SSB,6,4.1,0,0,97.272
2020-03-06,SSB,7,4.3,0,0,97.272
2020-03-07,TB,0,1.3,0.2,0.03,96.459
2020-03-07,TB,1,1.5,0,0,96.459
2020-03-07,TB,2,2.6,0,0,96.459
2020-03-07,TB,3,3.6,0,0,96.459
2020-03-07,TB,4,3.8,0,0,96.459
2020-03-07,TB,5,3.9,0,0,96.459
2020-03-07,TB,6,4,0,0,96.459
2020-03-07,TB,7,4,0,0,96.459
2020-05-04,TB,0,11.7,101.5,11.05,96.579
2020-05-04,TB,1,6.1,34.8,4.13,96.579
2020-05-04,TB,2,4,0,0,96.579
2020-05-04,TB,3,3.9,0,0,96.579
2020-05-04,TB,4,3.9,0,0,96.579
2020-05-04,TB,5,3.8,0,0,96.579
2020-05-04,TB,6,3.9,0,0,96.579
2020-05-04,TB,7,4,0,0,96.579
2020-05-04,SSB,0,14.1,101.3,10.44,96.285
2020-05-04,SSB,1,7.1,83.2,10.25,96.285
2020-05-04,SSB,2,4.3,1.8,0.2,96.285
2020-05-04,SSB,3,4.1,0,0,96.285
2020-05-04,SSB,4,4.1,0,0,96.285
2020-05-04,SSB,5,4.1,0,0,96.285
2020-05-04,SSB,6,4.1,0,0,96.285
2020-05-04,SSB,7,4.2,0,0,96.285
2020-06-05,TB,0,20,78.5,,95.165
2020-06-05,TB,1,14,5.4,,95.165
2020-06-05,TB,2,6,6.6,,95.165
2020-06-05,TB,3,4.5,6.5,,95.165
2020-06-05,TB,4,4.1,6,,95.165
2020-06-05,TB,5,4,5.8,,95.165
2020-06-05,TB,6,4,5.7,,95.165
2020-06-05,TB,7,4.1,5.5,,95.165
2020-06-11,TB,0,17.7,,6.14,95.059
2020-06-11,TB,1,17,,1.08,95.059
2020-06-11,TB,2,7.6,,1.35,95.059
2020-06-11,TB,3,4.5,,1.54,95.059
2020-06-11,TB,4,4.1,,1.48,95.059
2020-06-11,TB,5,4,,1.39,95.059
2020-06-11,TB,6,4,,1.27,95.059
2020-06-11,TB,7,4.1,,1.19,95.059
2020-06-16,TB,0,28.1,88.4,7.23,96.298
2020-06-16,TB,1,16.4,5.9,0.6,96.298
2020-06-16,TB,2,8.5,4,0.48,96.298
2020-06-16,TB,3,4.8,3.8,0.53,96.298
2020-06-16,TB,4,4.3,3.7,0.49,96.298
2020-06-16,TB,5,4.1,3.6,0.47,96.298
2020-06-16,TB,6,4.1,3.5,0.45,96.298
2020-06-16,TB,7,4.2,3.4,0.43,96.298
2020-06-18,TB,0,23.8,86.3,7.15,95.659
2020-06-18,TB,1,17.3,6.3,0.61,95.659
2020-06-18,TB,2,8.4,3.6,0.42,95.659
2020-06-18,TB,3,4.8,3.8,0.49,95.659
2020-06-18,TB,4,4.2,3.5,0.46,95.659
2020-06-18,TB,5,4,3.4,0.46,95.659
2020-06-18,TB,6,4.1,3.3,0.43,95.659
2020-06-18,TB,7,4.1,3.2,0.41,95.659
2020-06-18,SSB,0,26,98.8,7.99,95.565
2020-06-18,SSB,1,18.6,23.8,2.24,95.565
2020-06-18,SSB,2,8.8,13.4,1.55,95.565
2020-06-18,SSB,3,5.1,14.7,1.87,95.565
2020-06-18,SSB,4,4.6,16.6,1.87,95.565
