analysis_date,batch_id,sample_id,CO2_FID,CO2_TCD,CH4_FID,CH4_TCD,N2O_ECD
4/15/21 17:03,SSB,blank,410.38399,561.13458,0.96675,0,2.04443
4/15/21 17:21,SSB,blank,413.67538,563.32722,1.81538,0,2.12826
4/15/21 17:36,SSB,blank,369.57584,525.7817,1.63858,0,1.98143
4/15/21 17:51,SSB,blank,345.25167,492.44802,1.75394,0,2.03561
4/15/21 18:06,SSB,std2,-161.99777,NA,1.64752,NA,1.42752
4/15/21 18:21,SSB,std3,4.74728,181.21427,13.09512,-16.58827,1.31106
4/15/21 18:36,SSB,std4,117.25856,284.57123,1.48164,0,1.24696
4/15/21 18:51,SSB,std5,393.70879,543.8016,0,0,0.94362
4/15/21 19:06,SSB,TB_2021-04-13_Air_1,348.41914,497.26328,1.86036,0,1.18522
4/15/21 19:21,SSB,TB_2021-04-13_Air_2,354.77695,507.10757,1.58642,0,1.30342
4/15/21 19:36,SSB,TB_2021-04-13_Air_3,344.88761,497.57467,1.71914,0,1.19375
4/15/21 19:51,SSB,SSB_2021-04-13_Air_1,352.3746,498.79522,1.88438,0,1.19831
4/15/21 20:06,SSB,SSB_2021-04-13_Air_2,356.27232,511.99865,1.78892,0,1.03397
4/15/21 20:21,SSB,SSB_2021-04-13_Air_3,351.73102,506.72478,1.77701,0,1.00199
4/16/21 1:51,SSB,TB_2021-04-13_0_1,2181.20128,2167.25726,595.18786,641.52325,0.40742
4/16/21 2:06,SSB,TB_2021-04-13_0_2,2728.88351,2659.72054,632.03148,668.33567,0.31892
4/16/21 2:21,SSB,TB_2021-04-13_0_3,1571.22467,1628.25687,332.8666,1008.21384,0.48804
4/16/21 2:36,SSB,TB_2021-04-13_3_1,5725.3601,5341.20525,1575.09221,1996.54771,0.07509
4/16/21 2:51,SSB,TB_2021-04-13_3_2,8174.23073,7520.20734,2713.04475,2779.14704,0.13308
4/16/21 3:06,SSB,TB_2021-04-13_3_3,8041.63687,7394.04508,2118.5871,2244.19381,0.25834
4/16/21 3:21,SSB,TB_2021-04-13_5_1,9180.1727,8419.33015,5988.55242,6200.90884,-0.05773
4/16/21 3:36,SSB,TB_2021-04-13_5_2,9239.49762,8465.35097,6166.94996,6416.20896,0.17314
4/16/21 3:51,SSB,TB_2021-04-13_5_3,9213.84645,8434.04052,6073.90551,6197.59862,0.19022
4/16/21 4:06,SSB,TB_2021-04-13_7_1,13439.79709,12223.99789,19142.38828,20219.24493,0.20897
4/16/21 4:21,SSB,TB_2021-04-13_7_2,13177.83855,11992.41833,18765.96934,19285.66077,0.18708
4/16/21 4:36,SSB,TB_2021-04-13_7_3,12615.00592,11489.41175,18097.30806,18646.23006,0.19544
4/16/21 4:51,SSB,SSB_2021-04-13_0_1,386.01272,544.41672,228.01318,231.33087,0.36158
4/16/21 5:06,SSB,SSB_2021-04-13_0_2,563.54617,698.96188,219.42746,203.77656,0.4439
4/16/21 5:21,SSB,SSB_2021-04-13_0_3,436.66442,581.99531,189.19289,169.75487,0.2383
4/16/21 5:36,SSB,SSB_2021-04-13_3_1,8964.78523,8229.96818,2960.94552,2960.37864,0.09359
4/16/21 5:51,SSB,SSB_2021-04-13_3_2,8512.71706,7809.31867,2921.39224,2923.14268,0.14934
4/16/21 6:06,SSB,SSB_2021-04-13_3_3,9265.86025,8498.14133,3222.25389,3224.38969,0.37328
4/16/21 6:21,SSB,SSB_2021-04-13_5_1,9719.2883,8890.77943,4160.09464,4174.16708,0.07273
4/16/21 6:36,SSB,SSB_2021-04-13_5_2,9899.22182,9064.23994,4664.4965,4683.49924,0.24458
4/16/21 6:51,SSB,SSB_2021-04-13_5_3,9590.86609,8785.11084,3760.38741,3765.81143,0.16923
4/16/21 7:06,SSB,SSB_2021-04-13_7_1,11670.12964,10637.26127,11874.12271,12057.3397,0.36111
4/16/21 7:21,SSB,SSB_2021-04-13_7_2,11967.94274,10910.95071,13713.91134,13950.66127,0.11831
4/16/21 7:36,SSB,SSB_2021-04-13_7_3,11697.56542,10675.42634,12810.39432,13122.4236,0.2015
4/16/21 7:51,SSB,blank,387.98171,534.04202,54.06607,29.30589,0.37977
4/16/21 8:06,SSB,blank,353.23211,510.28883,15.20603,-11.18774,0.12765
4/16/21 8:21,SSB,std3,-71.96265,0,102.8638,82.60292,-0.00926
4/16/21 8:36,SSB,std6,-77.98745,0,523.3193,516.65731,0.22868
4/16/21 8:51,SSB,std8,-248.73181,0,1010.56519,1014.31346,0.16126
4/16/21 9:06,SSB,std10,-78.80309,0,5033.2736,5061.94356,-0.04983
4/16/21 9:21,SSB,std7,954.03131,1057.01952,31.31843,-0.29875,-0.08227
4/16/21 9:36,SSB,std9,4949.47713,4657.08974,5.74363,0,0.00223
4/16/21 9:51,SSB,std12,11464.36606,10481.32494,2.63182,0,0.04239
4/16/21 10:06,SSB,std11,56381.29239,51412.81798,23903.37856,24566.48714,-0.02361
