lake,sampledate,depth,co2,ch4,waterTemp,DOsat,DOmgL,dic,doc
SSB,1/9/20,0,461.67,40.07,0.2,10.4,1.51,,
SSB,1/9/20,3,595.67,44.43,3.9,0,0,,
SSB,1/9/20,5,657,82.23,4,0,0,,
SSB,1/9/20,7,1860,1280,4.2,0,0,,
SSB,1/31/20,0,542.33,15.03,0.8,3.5,0.5,5.78,21.39
SSB,1/31/20,3,625.33,39.53,3.7,0,0,5.92,18.36
SSB,1/31/20,5,700,81.37,4,0,0,,
SSB,1/31/20,7,1220,424,4.2,0,0,11.37,22.8
SSB,2/14/20,0,528,15.27,1.9,0,0,5.3,19.82
SSB,2/14/20,3,659,66.37,4,0,0,4.04,16.8
SSB,2/14/20,5,718.67,144.27,4.1,0,0,,
SSB,2/14/20,7,1293.33,558,4.3,0,0,15.02,21.11
SSB,3/6/20,0,594.33,33.53,0.5,39.5,5.71,4.93,19.58
SSB,3/6/20,3,658.67,67.17,3.8,0,0,6.46,17
SSB,3/6/20,5,731,111.13,4,0,0,,
SSB,3/6/20,7,1390,684,4.3,0,0,11.62,19.07
SSB,5/4/20,0,118.13,14.53,14.1,101.3,10.44,1.52,12.75
SSB,5/4/20,3,578.33,61.3,4.1,0,0,8.22,17.26
SSB,5/4/20,5,744,171.33,4.1,0,0,,
SSB,5/4/20,7,1183.33,409.33,4.2,0,0,14.69,24.6
SSB,6/18/20,0,65.8,0.87,26,98.8,7.99,,
SSB,6/18/20,3,938,134,5.1,14.7,1.87,,
SSB,6/18/20,5,1009,228,4.6,13.3,1.84,,
SSB,6/25/20,0,100.7,0.87,23.3,78.2,6.63,,
SSB,6/25/20,3,782.33,124,5.3,13.4,1.6,,
SSB,6/25/20,5,814,175,4.4,13.4,1.7,,
SSB,6/25/20,7,1280,621.33,4.4,13,1.7,,
SSB,7/2/20,0,68.97,1.18,28.3,84.2,6.55,,
SSB,7/2/20,3,885.33,175,6.1,5.3,0.65,,
SSB,7/2/20,5,921.33,200,4.5,4.5,0.58,,
SSB,7/2/20,7,1270,570.67,4.4,4.3,0.56,,
SSB,7/11/20,0,72.7,0.7,27,96.5,7.67,,
SSB,7/11/20,3,831.67,163.33,6.1,10,1.27,,
SSB,7/11/20,5,931,220,4.5,9.5,1.23,,
SSB,7/11/20,7,1453.33,762,4.4,8.9,1.15,,
SSB,7/16/20,0,76.07,0.18,26.6,82.7,6.62,,
SSB,7/16/20,3,629.67,119.8,6.5,5.8,0.7,,
SSB,7/16/20,5,787,178.67,4.6,5.6,0.71,,
SSB,7/16/20,7,1406.67,720.33,4.4,5.2,0.68,,
SSB,7/23/20,0,187.5,2.74,20.7,46.3,4.16,,
SSB,7/23/20,3,832.33,167.67,6.6,5.8,0.71,,
SSB,7/23/20,5,925.67,235.33,4.5,5.6,0.72,,
SSB,7/23/20,7,1370,731,4.4,5.4,0.7,,
SSB,7/28/20,0,119.67,-0.35,23.3,62.8,5.35,,
SSB,7/28/20,3,871,190.33,7,6.6,0.81,,
