batch_id,sample_id,lake,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,replicate_median,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
SSB,SSB_2020-05-04_0_A,SSB,5/4/20,0,4037.75796,3833.55643,1524.60009,1520.88846,0,2,400.06544,34.99834,-0.2565,35,105,14.1,14.1,96.285
SSB,SSB_2020-05-04_0_B,SSB,5/4/20,0,2468.32521,2429.60305,1279.99809,1277.06007,0,2,400.06544,34.99834,-0.2565,35,105,14.1,14.1,96.285
SSB,SSB_2020-05-04_0_C,SSB,5/4/20,0,643.81895,769.17332,1457.28154,1449.82474,0,2,400.06544,34.99834,-0.2565,35,105,14.1,14.1,96.285
SSB,SSB_2020-05-04_3_A,SSB,5/4/20,3,9662.42024,8903.69241,5432.832,5453.47989,0,2,400.06544,34.99834,-0.2565,35,105,4.1,4.1,96.285
SSB,SSB_2020-05-04_3_B,SSB,5/4/20,3,9123.85628,8426.56218,5502.64184,5527.67901,0,2,400.06544,34.99834,-0.2565,35,105,4.1,4.1,96.285
SSB,SSB_2020-05-04_3_C,SSB,5/4/20,3,9295.57873,8582.22262,5423.56526,5440.2872,0,2,400.06544,34.99834,-0.2565,35,105,4.1,4.1,96.285
SSB,SSB_2020-05-04_5_A,SSB,5/4/20,5,12121.11105,11134.93084,14742.30784,15004.40989,0,2,400.06544,34.99834,-0.2565,35,105,4.1,4.1,96.285
SSB,SSB_2020-05-04_5_B,SSB,5/4/20,5,12170.79909,11170.6493,14874.08861,15131.9193,0,2,400.06544,34.99834,-0.2565,35,105,4.1,4.1,96.285
SSB,SSB_2020-05-04_5_C,SSB,5/4/20,5,11956.31583,10976.69813,15301.35707,15581.11963,0,2,400.06544,34.99834,-0.2565,35,105,4.1,4.1,96.285
SSB,SSB_2020-05-04_7_A,SSB,5/4/20,7,19823.94206,18114.81678,35929.02181,37101.52335,0,2,400.06544,34.99834,-0.2565,35,105,4.2,4.2,96.285
SSB,SSB_2020-05-04_7_B,SSB,5/4/20,7,19580.10639,17895.29281,34787.92435,35912.31173,0,2,400.06544,34.99834,-0.2565,35,105,4.2,4.2,96.285
SSB,SSB_2020-05-04_7_C,SSB,5/4/20,7,18647.84681,17043.66199,35041.07087,36171.20277,0,2,400.06544,34.99834,-0.2565,35,105,4.2,4.2,96.285
SSB,TB_2020-05-04_0_A,TB,5/4/20,0,6073.87095,5674.49131,1896.39783,1893.63491,0,2,356.45198,11.61964,-0.37185,35,105,11.7,11.7,96.579
SSB,TB_2020-05-04_0_B,TB,5/4/20,0,6281.54324,5872.03252,1999.98777,2014.03087,0,2,356.45198,11.61964,-0.37185,35,105,11.7,11.7,96.579
SSB,TB_2020-05-04_0_C,TB,5/4/20,0,5985.0247,5611.30142,1860.77163,2054.16861,0,2,356.45198,11.61964,-0.37185,35,105,11.7,11.7,96.579
SSB,TB_2020-05-04_3_A,TB,5/4/20,3,8522.22863,7881.05446,3922.37926,3945.49129,0,2,356.45198,11.61964,-0.37185,35,105,3.9,3.9,96.579
SSB,TB_2020-05-04_3_B,TB,5/4/20,3,8377.57589,7746.75351,3915.45993,4194.80187,0,2,356.45198,11.61964,-0.37185,35,105,3.9,3.9,96.579
SSB,TB_2020-05-04_3_C,TB,5/4/20,3,8374.27272,7751.05986,3737.05595,3943.73637,0,2,356.45198,11.61964,-0.37185,35,105,3.9,3.9,96.579
SSB,TB_2020-05-04_5_A,TB,5/4/20,5,8876.30494,8202.58438,4718.38372,4920.77781,0,2,356.45198,11.61964,-0.37185,35,105,3.8,3.8,96.579
SSB,TB_2020-05-04_5_B,TB,5/4/20,5,8761.55879,8098.37669,4707.26279,4753.04783,0,2,356.45198,11.61964,-0.37185,35,105,3.8,3.8,96.579
SSB,TB_2020-05-04_5_C,TB,5/4/20,5,2586.28917,2535.25675,1198.91207,1207.57641,0,2,356.45198,11.61964,-0.37185,35,105,3.8,3.8,96.579
SSB,TB_2020-05-04_7_A,TB,5/4/20,7,10926.36185,10062.94517,10809.97457,10958.43297,0,2,356.45198,11.61964,-0.37185,35,105,4,4,96.579
SSB,TB_2020-05-04_7_B,TB,5/4/20,7,11025.07514,10139.13456,10814.7399,10951.66062,0,2,356.45198,11.61964,-0.37185,35,105,4,4,96.579
SSB,TB_2020-05-04_7_C,TB,5/4/20,7,10577.96983,9742.8763,9351.42252,9456.31827,0,2,356.45198,11.61964,-0.37185,35,105,4,4,96.579
SSB,TB_2020-06-05_0_A,TB,6/5/20,0,1439.87738,1514.70717,19.64019,-1.21545,0.48397,NA,NA,NA,NA,35,105,20,20,95.165
