batch_id,sample_id,lake,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,replicate_median,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
SSB,blank,blank,NA,NA,478.85205,616.91225,0.54858,0,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,427.76885,571.78814,1.81875,0,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,357.91225,506.33158,1.82747,0,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,358.34273,501.00285,1.86706,0,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,462.48376,602.55449,12.01464,0,0.08599,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,365.33103,508.65941,4.2637,0,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,389.09904,537.31176,58.9635,34.16522,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,356.33972,519.1484,16.46055,-11.03943,0,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,SSB_2021-01-13_0_A,SSB,1/13/21,0,6479.31761,6050.58825,518.34555,510.41836,0,2,386.36574,11.07119,-0.15686,35,105,0.3,0.3,94.738
SSB,SSB_2021-01-13_0_B,SSB,1/13/21,0,7048.23592,6551.40605,671.08469,667.86442,0,2,386.36574,11.07119,-0.15686,35,105,0.3,0.3,94.738
SSB,SSB_2021-01-13_0_C,SSB,1/13/21,0,7335.70668,6822.41039,74.10623,56.24949,0,2,386.36574,11.07119,-0.15686,35,105,0.3,0.3,94.738
SSB,SSB_2021-01-13_3_A,SSB,1/13/21,3,7735.7773,7172.54734,1847.08624,1848.79897,0,2,386.36574,11.07119,-0.15686,35,105,3.6,3.6,94.738
SSB,SSB_2021-01-13_3_B,SSB,1/13/21,3,7884.34422,7320.30244,2106.61288,2110.35489,0,2,386.36574,11.07119,-0.15686,35,105,3.6,3.6,94.738
SSB,SSB_2021-01-13_3_C,SSB,1/13/21,3,7373.23303,6847.7065,1929.16532,1921.52443,0,2,386.36574,11.07119,-0.15686,35,105,3.6,3.6,94.738
SSB,SSB_2021-01-13_5_A,SSB,1/13/21,5,8148.43802,7551.85242,3775.63908,3791.39863,0,2,386.36574,11.07119,-0.15686,35,105,3.7,3.7,94.738
SSB,SSB_2021-01-13_5_B,SSB,1/13/21,5,8109.06309,7519.15112,3850.7847,3854.37222,0,2,386.36574,11.07119,-0.15686,35,105,3.7,3.7,94.738
SSB,SSB_2021-01-13_5_C,SSB,1/13/21,5,8329.52724,7716.67975,4065.54902,4078.93558,0,2,386.36574,11.07119,-0.15686,35,105,3.7,3.7,94.738
SSB,SSB_2021-01-13_7_A,SSB,1/13/21,7,9571.71892,8837.92741,7647.50192,7711.72402,0,2,386.36574,11.07119,-0.15686,35,105,4,4,94.738
SSB,SSB_2021-01-13_7_B,SSB,1/13/21,7,9306.35613,8591.94655,8236.24627,8316.6799,0,2,386.36574,11.07119,-0.15686,35,105,4,4,94.738
SSB,SSB_2021-01-13_7_C,SSB,1/13/21,7,9762.94639,9003.45316,10446.35559,10583.69519,0,2,386.36574,11.07119,-0.15686,35,105,4,4,94.738
SSB,TB_2021-01-14_0_A,TB,1/14/21,0,5654.96521,5294.93352,335.73964,324.99996,0,2,371.81449,26.41653,0.24163,35,105,1.8,1.8,94.232
SSB,TB_2021-01-14_0_B,TB,1/14/21,0,5474.3326,5140.73778,873.25195,863.22278,0,2,371.81449,26.41653,0.24163,35,105,1.8,1.8,94.232
SSB,TB_2021-01-14_0_C,TB,1/14/21,0,5295.81927,4990.89756,1044.1173,1058.57826,0,2,371.81449,26.41653,0.24163,35,105,1.8,1.8,94.232
SSB,TB_2021-01-14_3_A,TB,1/14/21,3,7425.31104,6893.59378,2005.41413,2004.81451,0,2,371.81449,26.41653,0.24163,35,105,4,4,94.232
SSB,TB_2021-01-14_3_B,TB,1/14/21,3,6991.3824,6512.04757,1085.03416,1083.59755,0,2,371.81449,26.41653,0.24163,35,105,4,4,94.232
SSB,TB_2021-01-14_3_C,TB,1/14/21,3,6870.60205,6396.33718,1084.3495,1082.205,0,2,371.81449,26.41653,0.24163,35,105,4,4,94.232
SSB,TB_2021-01-14_5_A,TB,1/14/21,5,8336.0622,7720.1284,4460.33469,4465.70645,0,2,371.81449,26.41653,0.24163,35,105,4.1,4.1,94.232
SSB,TB_2021-01-14_5_B,TB,1/14/21,5,8757.16223,8096.65074,6640.90463,6676.11327,0,2,371.81449,26.41653,0.24163,35,105,4.1,4.1,94.232
SSB,TB_2021-01-14_5_C,TB,1/14/21,5,7939.95704,7360.57509,3205.05793,3209.95158,0,2,371.81449,26.41653,0.24163,35,105,4.1,4.1,94.232
SSB,TB_2021-01-14_7_A,TB,1/14/21,7,15690.85356,14371.7163,28455.05252,29297.82373,0,2,371.81449,26.41653,0.24163,35,105,4.4,4.4,94.232
SSB,TB_2021-01-14_7_B,TB,1/14/21,7,14153.1906,12975.31803,25078.26953,25768.97547,0,2,371.81449,26.41653,0.24163,35,105,4.4,4.4,94.232
SSB,TB_2021-01-14_7_C,TB,1/14/21,7,13628.5698,12493.93793,25445.67508,26151.31964,0,2,371.81449,26.41653,0.24163,35,105,4.4,4.4,94.232
SSB,SSB_2021-02-02_0_1,SSB,2/2/21,0,6410.52701,6032.5659,40.28671,11.2485,0,2,371.20908,1.77657,-0.07044,35,105,1.1,1.1,96.66
SSB,SSB_2021-02-02_0_2,SSB,2/2/21,0,6723.0872,6308.22139,35.71772,9.09789,0,2,371.20908,1.77657,-0.07044,35,105,1.1,1.1,96.66
SSB,SSB_2021-02-02_0_3,SSB,2/2/21,0,6583.97071,6172.79761,32.12028,3.92198,0,2,371.20908,1.77657,-0.07044,35,105,1.1,1.1,96.66
SSB,SSB_2021-02-02_3_1,SSB,2/2/21,3,7757.24722,7234.90857,2248.16945,2251.56533,0,2,371.20908,1.77657,-0.07044,35,105,3.7,3.7,96.66
SSB,SSB_2021-02-02_3_2,SSB,2/2/21,3,7591.34892,7094.79633,2183.36008,2188.84743,0,2,371.20908,1.77657,-0.07044,35,105,3.7,3.7,96.66
SSB,SSB_2021-02-02_3_3,SSB,2/2/21,3,7578.38034,7092.52723,2148.2835,2157.66932,0,2,371.20908,1.77657,-0.07044,35,105,3.7,3.7,96.66
SSB,SSB_2021-02-02_5_1,SSB,2/2/21,5,8014.9114,7477.96719,4106.67416,4152.66016,0,2,371.20908,1.77657,-0.07044,35,105,3.9,3.9,96.66
