batch_id,sample_id,lake,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,replicate_median,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
SSB,blank,blank,NA,NA,410.38399,561.13458,0.96675,0,2.04443,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,413.67538,563.32722,1.81538,0,2.12826,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,369.57584,525.7817,1.63858,0,1.98143,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,blank,blank,NA,NA,345.25167,492.44802,1.75394,0,2.03561,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,std2,std2,NA,NA,-161.99777,NA,1.64752,NA,1.42752,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,std3,std3,NA,NA,4.74728,181.21427,13.09512,-16.58827,1.31106,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,std4,std4,NA,NA,117.25856,284.57123,1.48164,0,1.24696,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,std5,std5,NA,NA,393.70879,543.8016,0,0,0.94362,NA,NA,NA,NA,60,940,0.2,0.2,103.991
SSB,TB_2021-04-13_0_1,TB,4/13/21,0,2181.20128,2167.25726,595.18786,641.52325,0.40742,2,348.41914,1.71914,1.19375,35,105,9.2,9.2,95.448
SSB,TB_2021-04-13_0_2,TB,4/13/21,0,2728.88351,2659.72054,632.03148,668.33567,0.31892,2,348.41914,1.71914,1.19375,35,105,9.2,9.2,95.448
SSB,TB_2021-04-13_0_3,TB,4/13/21,0,1571.22467,1628.25687,332.8666,1008.21384,0.48804,2,348.41914,1.71914,1.19375,35,105,9.2,9.2,95.448
SSB,TB_2021-04-13_3_1,TB,4/13/21,3,5725.3601,5341.20525,1575.09221,1996.54771,0.07509,2,348.41914,1.71914,1.19375,35,105,4,4,95.448
SSB,TB_2021-04-13_3_2,TB,4/13/21,3,8174.23073,7520.20734,2713.04475,2779.14704,0.13308,2,348.41914,1.71914,1.19375,35,105,4,4,95.448
SSB,TB_2021-04-13_3_3,TB,4/13/21,3,8041.63687,7394.04508,2118.5871,2244.19381,0.25834,2,348.41914,1.71914,1.19375,35,105,4,4,95.448
SSB,TB_2021-04-13_5_1,TB,4/13/21,5,9180.1727,8419.33015,5988.55242,6200.90884,0,2,348.41914,1.71914,1.19375,35,105,4.1,4.1,95.448
SSB,TB_2021-04-13_5_2,TB,4/13/21,5,9239.49762,8465.35097,6166.94996,6416.20896,0.17314,2,348.41914,1.71914,1.19375,35,105,4.1,4.1,95.448
SSB,TB_2021-04-13_5_3,TB,4/13/21,5,9213.84645,8434.04052,6073.90551,6197.59862,0.19022,2,348.41914,1.71914,1.19375,35,105,4.1,4.1,95.448
SSB,TB_2021-04-13_7_1,TB,4/13/21,7,13439.79709,12223.99789,19142.38828,20219.24493,0.20897,2,348.41914,1.71914,1.19375,35,105,4.2,4.2,95.448
SSB,TB_2021-04-13_7_2,TB,4/13/21,7,13177.83855,11992.41833,18765.96934,19285.66077,0.18708,2,348.41914,1.71914,1.19375,35,105,4.2,4.2,95.448
