lake,date,depth,CO2persat,CH4persat
SSB,1/9/20,0,2160.419149,1286372.426
SSB,1/9/20,3,2621.180527,1362619.132
SSB,1/9/20,5,2970.258298,2575360.285
SSB,1/9/20,7,8718.83206,41172819.58
SSB,1/31/20,0,2160.39701,432864.5641
SSB,1/31/20,3,2578.22214,1166153.18
SSB,1/31/20,5,3010.124666,2484698.604
SSB,1/31/20,7,5273.482227,13000726.84
SSB,2/14/20,0,2451.710342,432553.1298
SSB,2/14/20,3,2938.940733,1834439.022
SSB,2/14/20,5,3719.36922,5402786.287
SSB,2/14/20,7,6635.393206,20880991.24
SSB,3/6/20,0,2774.570683,1093414.713
SSB,3/6/20,3,2811.954298,1847078.631
SSB,3/6/20,5,3191.705525,3426603.495
SSB,3/6/20,7,6297.79442,21672580.11
SSB,5/4/20,0,684.7195934,24188.65453
SSB,5/4/20,3,2479.940903,80370.34699
SSB,5/4/20,5,3190.333196,224634.9013
SSB,5/4/20,7,5090.092728,538004.0884
SSB,6/18/20,0,601.688916,10192.28976
SSB,6/18/20,3,4695.053637,970904.4722
SSB,6/18/20,5,4972.622908,1631804.24
SSB,6/25/20,0,825.9523592,1225.489575
SSB,6/25/20,3,3802.183665,115150.2378
SSB,6/25/20,5,3847.047888,158954.1599
SSB,6/25/20,7,6049.411913,564362.96
SSB,7/2/20,0,604.9296384,1689.354209
SSB,7/2/20,3,4123.769628,151883.4331
SSB,7/2/20,5,4084.088486,166906.8724
SSB,7/2/20,7,5612.153222,475068.1907
SSB,7/11/20,0,623.4157777,1288.616914
SSB,7/11/20,3,3920.037865,187842.8216
SSB,7/11/20,5,4176.201327,243284.4358
SSB,7/11/20,7,6498.968325,840573.7806
SSB,7/16/20,0,642.2348568,99.93133472
SSB,7/16/20,3,2990.065126,42328.86241
SSB,7/16/20,5,3524.099767,60261.31423
SSB,7/16/20,7,6259.800781,241761.8628
SSB,7/23/20,0,1402.574351,4142.530292
SSB,7/23/20,3,4125.17077,182990.1497
SSB,7/23/20,5,4299.509118,243980.4057
SSB,7/23/20,7,6343.548375,755993.5721
SSB,7/28/20,0,957.2322329,-417.6553368
SSB,7/28/20,3,4350.034334,157780.1949
SSB,7/28/20,5,4396.983721,182227.2893
SSB,7/28/20,7,6468.18781,549743.9783
SSB,10/7/20,0,1740.751411,11804.31889
SSB,10/7/20,3,5094.301947,318453.1915
SSB,10/7/20,5,4480.194546,363980.1755
SSB,10/7/20,7,6760.063378,803308.6387
SSB,10/30/20,0,2489.699371,480846.4275
SSB,10/30/20,3,2580.893389,466969.9212
SSB,10/30/20,5,2539.997479,484307.2736
SSB,10/30/20,7,2523.568,469670.2033
SSB,1/13/21,0,2013.921144,25020.64838
