"lake"	"date"	"depth"	"barometricPressure"	"waterTemp"	"headspaceTemp"	"dissolvedCO2"	"concentrationCO2Air"	"dissolvedCH4"	"concentrationCH4Air"	"dissolvedN2O"	"concentrationN2OAir"
"1"	"SSB"	"5/4/20"	0	96.285	14.1	14.1	0.000195	400.06544	1.56e-05	34.99834	2.25e-09	-0.2565
"2"	"SSB"	"5/4/20"	0	96.285	14.1	14.1	0.000123	400.06544	1.31e-05	34.99834	2.25e-09	-0.2565
"3"	"SSB"	"5/4/20"	0	96.285	14.1	14.1	3.64e-05	400.06544	1.49e-05	34.99834	2.25e-09	-0.2565
"4"	"SSB"	"5/4/20"	3	96.285	4.1	4.1	0.000596	400.06544	6.11e-05	34.99834	2.33e-09	-0.2565
"5"	"SSB"	"5/4/20"	3	96.285	4.1	4.1	0.000564	400.06544	6.19e-05	34.99834	2.33e-09	-0.2565
"6"	"SSB"	"5/4/20"	3	96.285	4.1	4.1	0.000575	400.06544	6.09e-05	34.99834	2.33e-09	-0.2565
"7"	"SSB"	"5/4/20"	5	96.285	4.1	4.1	0.000747	400.06544	0.000169	34.99834	2.33e-09	-0.2565
"8"	"SSB"	"5/4/20"	5	96.285	4.1	4.1	0.000749	400.06544	0.00017	34.99834	2.33e-09	-0.2565
"9"	"SSB"	"5/4/20"	5	96.285	4.1	4.1	0.000736	400.06544	0.000175	34.99834	2.33e-09	-0.2565
"10"	"SSB"	"5/4/20"	7	96.285	4.2	4.2	0.00121	400.06544	0.000417	34.99834	2.33e-09	-0.2565
"11"	"SSB"	"5/4/20"	7	96.285	4.2	4.2	0.0012	400.06544	0.000404	34.99834	2.33e-09	-0.2565
"12"	"SSB"	"5/4/20"	7	96.285	4.2	4.2	0.00114	400.06544	0.000407	34.99834	2.33e-09	-0.2565
"13"	"TB"	"5/4/20"	0	96.579	11.7	11.7	0.000311	356.45198	2.01e-05	11.61964	3.3e-09	-0.37185
"14"	"TB"	"5/4/20"	0	96.579	11.7	11.7	0.000321	356.45198	2.14e-05	11.61964	3.3e-09	-0.37185
"15"	"TB"	"5/4/20"	0	96.579	11.7	11.7	0.000307	356.45198	2.18e-05	11.61964	3.3e-09	-0.37185
"16"	"TB"	"5/4/20"	3	96.579	3.9	3.9	0.000532	356.45198	4.45e-05	11.61964	3.39e-09	-0.37185
"17"	"TB"	"5/4/20"	3	96.579	3.9	3.9	0.000523	356.45198	4.73e-05	11.61964	3.39e-09	-0.37185
