lake,date,depth,dissolvedCO2,dissolvedCH4
SSB,1/13/21,0,0.00047,8.14E-06
SSB,1/13/21,0,0.000509,1.07E-05
SSB,1/13/21,0,0.000531,7.60E-07
SSB,1/13/21,3,0.000511,2.92E-05
SSB,1/13/21,3,0.000522,3.34E-05
SSB,1/13/21,3,0.000488,3.04E-05
SSB,1/13/21,5,0.000537,6.01E-05
SSB,1/13/21,5,0.000535,6.11E-05
SSB,1/13/21,5,0.000549,6.46E-05
SSB,1/13/21,7,0.000624,0.000122
SSB,1/13/21,7,0.000607,0.000132
SSB,1/13/21,7,0.000636,0.000168
TB,1/14/21,0,0.000392,4.84E-06
TB,1/14/21,0,0.000381,1.34E-05
TB,1/14/21,0,0.00037,1.66E-05
TB,1/14/21,3,0.000483,3.13E-05
TB,1/14/21,3,0.000456,1.67E-05
TB,1/14/21,3,0.000448,1.67E-05
TB,1/14/21,5,0.000541,7.00E-05
TB,1/14/21,5,0.000567,0.000105
TB,1/14/21,5,0.000515,5.02E-05
TB,1/14/21,7,0.001,0.00046
TB,1/14/21,7,0.000905,0.000405
TB,1/14/21,7,0.000871,0.000411
SSB,2/2/21,0,0.000468,1.60E-07
SSB,2/2/21,0,0.00049,1.25E-07
SSB,2/2/21,0,0.000479,3.96E-08
SSB,2/2/21,3,0.000525,3.65E-05
SSB,2/2/21,3,0.000515,3.54E-05
SSB,2/2/21,3,0.000514,3.49E-05
SSB,2/2/21,5,0.00054,6.72E-05
SSB,2/2/21,5,0.000524,5.51E-05
SSB,2/2/21,5,0.000535,5.95E-05
SSB,2/2/21,7,0.000653,0.000191
SSB,2/2/21,7,0.000646,0.00018
SSB,2/2/21,7,0.000608,0.000149
SSB,2/17/21,0,0.000474,4.51E-06
SSB,2/17/21,0,0.000489,2.88E-06
SSB,2/17/21,0,0.000483,2.71E-06
SSB,2/17/21,3,0.000558,5.40E-05
SSB,2/17/21,3,0.000566,5.49E-05
SSB,2/17/21,3,0.000534,5.40E-05
SSB,2/17/21,5,0.000575,7.69E-05
SSB,2/17/21,5,0.000588,9.10E-05
SSB,2/17/21,5,0.000498,5.58E-05
SSB,2/17/21,7,0.000588,0.00011
SSB,2/17/21,7,0.00057,0.000107
SSB,2/17/21,7,0.000569,9.19E-05
SSB,3/2/21,0,0.000622,3.53E-05
SSB,3/2/21,0,0.000629,3.62E-05
SSB,3/2/21,0,0.000639,3.69E-05
SSB,3/2/21,3,0.000602,6.73E-05
SSB,3/2/21,3,0.000614,6.89E-05
SSB,3/2/21,3,0.000598,6.87E-05
SSB,3/2/21,5,0.000615,8.80E-05
SSB,3/2/21,5,0.000621,8.85E-05
SSB,3/2/21,5,0.000617,8.82E-05
SSB,3/2/21,7,0.000822,0.000316
SSB,3/2/21,7,0.000837,0.000319
SSB,3/2/21,7,0.000836,0.000303
SSB,3/15/21,0,0.000329,3.79E-06
SSB,3/15/21,0,0.000333,2.76E-06
SSB,3/15/21,0,0.000337,2.42E-06
SSB,3/15/21,3,0.000589,6.44E-05
SSB,3/15/21,3,0.000601,6.76E-05
SSB,3/15/21,3,0.000598,6.48E-05
SSB,3/15/21,5,0.000593,9.62E-05
SSB,3/15/21,5,0.000636,0.000131
SSB,3/15/21,5,0.000641,0.000123
SSB,3/15/21,7,0.000731,0.000242
SSB,3/15/21,7,0.000745,0.000256
SSB,3/15/21,7,0.000735,0.000238
TB,2/3/21,0,0.00043,1.80E-06
TB,2/3/21,0,0.000444,1.83E-06
TB,2/3/21,0,0.000443,1.81E-06
TB,2/3/21,3,0.000457,9.07E-06
TB,2/3/21,3,0.000378,5.64E-06
TB,2/3/21,3,0.000462,7.35E-06
TB,2/3/21,5,0.00052,5.47E-05
TB,2/3/21,5,0.000521,5.42E-05
TB,2/3/21,5,0.000521,5.44E-05
TB,2/3/21,7,0.000657,0.000152
TB,2/3/21,7,0.000647,0.000156
TB,2/3/21,7,0.000628,0.000136
TB,2/16/21,0,0.000485,2.78E-06
TB,2/16/21,0,0.000492,1.34E-06
TB,2/16/21,0,0.000498,2.49E-06
TB,2/16/21,3,0.000488,7.08E-06
TB,2/16/21,3,0.000482,6.35E-06
TB,2/16/21,3,0.000488,7.81E-06
TB,2/16/21,5,0.000574,8.10E-05
TB,2/16/21,5,0.000602,0.00011
TB,2/16/21,5,0.000544,9.53E-05
TB,2/16/21,7,0.000954,0.000383
TB,2/16/21,7,0.000952,0.000395
TB,2/16/21,7,0.000816,0.000372
TB,3/2/21,0,0.000511,5.30E-06
TB,3/2/21,0,0.000501,3.29E-06
TB,3/2/21,0,0.000494,3.59E-06
TB,3/2/21,3,5.00E-04,1.38E-05
TB,3/2/21,3,0.000493,1.39E-05
TB,3/2/21,3,5.00E-04,1.33E-05
TB,3/2/21,5,0.000584,7.57E-05
TB,3/2/21,5,0.000603,9.40E-05
TB,3/2/21,5,0.000605,0.000103
TB,3/2/21,7,0.000916,0.00035
TB,3/2/21,7,0.000886,0.000302
TB,3/2/21,7,0.000868,0.000317
TB,3/15/21,0,0.000461,1.29E-05
TB,3/15/21,0,0.000448,1.18E-05
TB,3/15/21,0,0.000451,1.14E-05
TB,3/15/21,3,0.000474,1.69E-05
TB,3/15/21,3,0.000491,2.58E-05
TB,3/15/21,3,0.00048,1.98E-05
TB,3/15/21,5,0.000659,0.000159
TB,3/15/21,5,0.000647,0.000146
TB,3/15/21,5,0.000653,0.000152
TB,3/15/21,7,0.000932,0.000431
TB,3/15/21,7,0.000895,0.000423
TB,3/15/21,7,0.000978,0.00048
