lake,date,depth,dissolvedCO2,dissolvedCH4
TB,4/13/21,0,0.000132,9.90E-06
TB,4/13/21,0,0.000163,1.03E-05
TB,4/13/21,0,9.78E-05,1.56E-05
TB,4/13/21,3,0.000379,3.19E-05
TB,4/13/21,3,0.000535,4.44E-05
TB,4/13/21,3,0.000526,3.58E-05
TB,4/13/21,5,0.000598,9.90E-05
TB,4/13/21,5,0.000601,0.000102
TB,4/13/21,5,0.000599,9.89E-05
TB,4/13/21,7,0.000868,0.000323
TB,4/13/21,7,0.000851,0.000308
TB,4/13/21,7,0.000816,0.000297
SSB,4/13/21,0,2.90E-05,3.54E-06
SSB,4/13/21,0,3.86E-05,3.12E-06
SSB,4/13/21,0,3.14E-05,2.59E-06
SSB,4/13/21,3,0.000581,4.72E-05
SSB,4/13/21,3,0.000551,4.66E-05
SSB,4/13/21,3,6.00E-04,5.14E-05
SSB,4/13/21,5,0.00063,6.66E-05
SSB,4/13/21,5,0.000642,7.47E-05
SSB,4/13/21,5,0.000622,6.00E-05
SSB,4/13/21,7,0.000757,0.000192
SSB,4/13/21,7,0.000776,0.000223
SSB,4/13/21,7,0.000759,0.000209
