Serial Number:20472265 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","EOF"
2018-12-10 14:38:22,71.38,25, , , , 
2018-12-10 14:48:22,70.91,30, , , , 
2018-12-10 14:58:22,57.40,0, , , , 
2018-12-10 15:08:22,51.38,3, , , , 
2018-12-10 15:18:22,40.64,14, , , , 
2018-12-10 15:28:22,28.13,268, , , , 
2018-12-10 15:38:22,25.20,2, , , , 
2018-12-10 15:48:22,37.25,1, , , , 
2018-12-10 15:58:22,37.01,1, , , , 
2018-12-10 16:08:22,37.01,0, , , , 
2018-12-10 16:18:22,37.17,0, , , , 
2018-12-10 16:28:22,37.17,0, , , , 
2018-12-10 16:38:22,37.09,0, , , , 
2018-12-10 16:48:22,37.17,0, , , , 
2018-12-10 16:58:22,37.09,0, , , , 
2018-12-10 17:08:22,37.17,0, , , , 
2018-12-10 17:18:22,37.17,0, , , , 
2018-12-10 17:28:22,37.09,0, , , , 
2018-12-10 17:38:22,37.09,0, , , , 
2018-12-10 17:48:22,37.01,0, , , , 
2018-12-10 17:58:22,37.17,0, , , , 
2018-12-10 18:08:22,37.17,0, , , , 
2018-12-10 18:18:22,37.09,0, , , , 
2018-12-10 18:28:22,37.09,0, , , , 
2018-12-10 18:38:22,37.17,0, , , , 
2018-12-10 18:48:22,37.09,0, , , , 
2018-12-10 18:58:22,37.09,0, , , , 
2018-12-10 19:08:22,37.09,0, , , , 
2018-12-10 19:18:22,37.09,0, , , , 
2018-12-10 19:28:22,37.09,0, , , , 
2018-12-10 19:38:22,37.01,0, , , , 
2018-12-10 19:48:22,37.09,0, , , , 
2018-12-10 19:58:22,37.09,0, , , , 
2018-12-10 20:08:22,37.01,0, , , , 
2018-12-10 20:18:22,37.01,0, , , , 
2018-12-10 20:28:22,37.09,0, , , , 
2018-12-10 20:38:22,37.09,0, , , , 
2018-12-10 20:48:22,37.01,0, , , , 
2018-12-10 20:58:22,37.09,0, , , , 
2018-12-10 21:08:22,37.01,0, , , , 
2018-12-10 21:18:22,37.09,0, , , , 
2018-12-10 21:28:22,37.01,0, , , , 
2018-12-10 21:38:22,37.01,0, , , , 
2018-12-10 21:48:22,37.09,0, , , , 
2018-12-10 21:58:22,37.09,0, , , , 
2018-12-10 22:08:22,37.09,0, , , , 
2018-12-10 22:18:22,37.09,0, , , , 
2018-12-10 22:28:22,37.09,0, , , , 
2018-12-10 22:38:22,37.09,0, , , , 
2018-12-10 22:48:22,37.09,0, , , , 
2018-12-10 22:58:22,37.01,0, , , , 
2018-12-10 23:08:22,37.01,0, , , , 
2018-12-10 23:18:22,37.01,0, , , , 
2018-12-10 23:28:22,37.09,0, , , , 
2018-12-10 23:38:22,37.09,0, , , , 
2018-12-10 23:48:22,37.09,0, , , , 
2018-12-10 23:58:22,37.09,0, , , , 
