Serial Number:20472262 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-11-04 13:51:28,67.67,2, , , , 
2019-11-04 13:51:44, , ,Logged, , , 
2019-11-04 14:01:28,65.66,12, , , , 
2019-11-04 14:11:28,61.26,12, , , , 
2019-11-04 14:21:28,60.49,12, , , , 
2019-11-04 14:31:28,58.02,12, , , , 
2019-11-04 14:41:28,58.79,12, , , , 
2019-11-04 14:51:28,58.95,12, , , , 
2019-11-04 15:01:28,59.18,12, , , , 
2019-11-04 15:11:28,59.41,12, , , , 
2019-11-04 15:21:28,59.33,12, , , , 
2019-11-04 15:31:28,59.49,12, , , , 
2019-11-04 15:41:28,59.64,12, , , , 
2019-11-04 15:51:28,59.64,12, , , , 
2019-11-04 16:01:28,59.56,12, , , , 
2019-11-04 16:11:28,59.56,12, , , , 
2019-11-04 16:21:28,60.03,0, , , , 
2019-11-04 16:31:28,60.41,0, , , , 
2019-11-04 16:41:28,60.57,0, , , , 
2019-11-04 16:51:28,60.80,0, , , , 
2019-11-04 17:01:28,60.80,0, , , , 
2019-11-04 17:11:28,60.88,0, , , , 
2019-11-04 17:21:28,61.03,0, , , , 
2019-11-04 17:31:28,61.18,0, , , , 
2019-11-04 17:41:28,61.11,0, , , , 
2019-11-04 17:51:28,61.26,0, , , , 
2019-11-04 18:01:28,61.34,0, , , , 
2019-11-04 18:11:28,61.42,0, , , , 
2019-11-04 18:21:28,61.34,0, , , , 
2019-11-04 18:31:28,61.42,0, , , , 
2019-11-04 18:41:28,61.49,0, , , , 
2019-11-04 18:51:28,61.42,0, , , , 
2019-11-04 19:01:28,61.49,0, , , , 
2019-11-04 19:11:28,61.57,0, , , , 
2019-11-04 19:21:28,61.65,0, , , , 
2019-11-04 19:31:28,61.72,0, , , , 
2019-11-04 19:41:28,61.72,0, , , , 
2019-11-04 19:51:28,61.65,0, , , , 
2019-11-04 20:01:28,61.80,0, , , , 
2019-11-04 20:11:28,61.72,0, , , , 
2019-11-04 20:21:28,61.65,0, , , , 
2019-11-04 20:31:28,61.96,0, , , , 
2019-11-04 20:41:28,62.03,0, , , , 
2019-11-04 20:51:28,61.88,0, , , , 
2019-11-04 21:01:28,61.88,0, , , , 
2019-11-04 21:11:28,61.96,0, , , , 
2019-11-04 21:21:28,61.88,0, , , , 
2019-11-04 21:31:28,61.65,0, , , , 
2019-11-04 21:41:28,61.72,0, , , , 
2019-11-04 21:51:28,61.80,0, , , , 
2019-11-04 22:01:28,61.88,0, , , , 
2019-11-04 22:11:28,61.96,0, , , , 
2019-11-04 22:21:28,61.88,0, , , , 
2019-11-04 22:31:28,61.96,0, , , , 
2019-11-04 22:41:28,62.03,0, , , , 
2019-11-04 22:51:28,61.96,0, , , , 
2019-11-04 23:01:28,61.96,0, , , , 
2019-11-04 23:11:28,62.03,0, , , , 
2019-11-04 23:21:28,61.96,0, , , , 
2019-11-04 23:31:28,62.11,0, , , , 
2019-11-04 23:41:28,62.11,0, , , , 
2019-11-04 23:51:28,62.27,0, , , , 
2019-11-05 00:01:28,62.27,0, , , , 
2019-11-05 00:11:28,62.42,0, , , , 
2019-11-05 00:21:28,62.34,0, , , , 
2019-11-05 00:31:28,62.19,0, , , , 
2019-11-05 00:41:28,62.27,0, , , , 
2019-11-05 00:51:28,62.34,0, , , , 
2019-11-05 01:01:28,62.50,0, , , , 
2019-11-05 01:11:28,62.50,0, , , , 
2019-11-05 01:21:28,62.50,0, , , , 
2019-11-05 01:31:28,62.27,0, , , , 
2019-11-05 01:41:28,62.34,0, , , , 
2019-11-05 01:51:28,62.19,0, , , , 
2019-11-05 02:01:28,62.19,0, , , , 
2019-11-05 02:11:28,61.96,0, , , , 
2019-11-05 02:21:28,61.72,0, , , , 
2019-11-05 02:31:28,61.49,0, , , , 
2019-11-05 02:41:28,61.65,0, , , , 
2019-11-05 02:51:28,61.72,0, , , , 
2019-11-05 03:01:28,61.72,0, , , , 
2019-11-05 03:11:28,61.65,0, , , , 
2019-11-05 03:21:28,61.26,0, , , , 
2019-11-05 03:31:28,61.26,0, , , , 
2019-11-05 03:41:28,61.42,0, , , , 
2019-11-05 03:51:28,61.65,0, , , , 
2019-11-05 04:01:28,61.65,0, , , , 
2019-11-05 04:11:28,61.72,0, , , , 
2019-11-05 04:21:28,61.80,0, , , , 
2019-11-05 04:31:28,61.96,0, , , , 
2019-11-05 04:41:28,61.88,0, , , , 
2019-11-05 04:51:28,62.03,0, , , , 
2019-11-05 05:01:28,61.96,0, , , , 
2019-11-05 05:11:28,61.88,0, , , , 
2019-11-05 05:21:28,61.80,0, , , , 
2019-11-05 05:31:28,61.80,0, , , , 
2019-11-05 05:41:28,61.80,0, , , , 
2019-11-05 05:51:28,61.65,0, , , , 
2019-11-05 06:01:28,61.88,0, , , , 
2019-11-05 06:11:28,61.88,0, , , , 
2019-11-05 06:21:28,62.11,0, , , , 
2019-11-05 06:31:28,62.11,0, , , , 
2019-11-05 06:41:28,62.27,0, , , , 
2019-11-05 06:51:28,62.34,0, , , , 
2019-11-05 07:01:28,62.19,0, , , , 
2019-11-05 07:11:28,62.19,0, , , , 
2019-11-05 07:21:28,62.19,0, , , , 
2019-11-05 07:31:28,62.27,0, , , , 
2019-11-05 07:41:28,62.03,0, , , , 
2019-11-05 07:51:28,62.11,0, , , , 
2019-11-05 08:01:28,62.11,1, , , , 
2019-11-05 08:11:28,62.03,0, , , , 
2019-11-05 08:21:28,62.19,0, , , , 
2019-11-05 08:31:28,61.96,0, , , , 
2019-11-05 08:41:28,62.11,0, , , , 
2019-11-05 08:51:28,61.80,1, , , , 
2019-11-05 09:01:28,61.57,1, , , , 
2019-11-05 09:11:28,61.72,1, , , , 
2019-11-05 09:21:28,61.72,1, , , , 
2019-11-05 09:31:28,61.72,1, , , , 
2019-11-05 09:41:28,61.65,1, , , , 
2019-11-05 09:51:28,61.65,1, , , , 
2019-11-05 10:01:28,61.57,1, , , , 
2019-11-05 10:11:28,61.49,1, , , , 
2019-11-05 10:21:28,61.72,1, , , , 
2019-11-05 10:31:28,61.80,2, , , , 
2019-11-05 10:41:28,61.49,1, , , , 
2019-11-05 10:51:28,61.72,2, , , , 
2019-11-05 11:01:28,61.88,2, , , , 
2019-11-05 11:11:28,61.96,2, , , , 
2019-11-05 11:21:28,61.96,2, , , , 
2019-11-05 11:31:28,62.11,2, , , , 
2019-11-05 11:41:28,61.96,2, , , , 
2019-11-05 11:51:28,61.96,1, , , , 
2019-11-05 12:01:28,62.03,2, , , , 
2019-11-05 12:11:28,62.11,1, , , , 
2019-11-05 12:21:28,62.11,1, , , , 
2019-11-05 12:31:28,62.19,2, , , , 
2019-11-05 12:41:28,62.34,1, , , , 
2019-11-05 12:51:28,62.42,2, , , , 
2019-11-05 13:01:28,60.72,2, , , , 
2019-11-05 13:11:28,59.79,2, , , , 
2019-11-05 13:21:28,58.95,1, , , , 
2019-11-05 13:31:28,59.10,2, , , , 
2019-11-05 13:41:28,59.64,2, , , , 
2019-11-05 13:51:28,59.56,2, , , , 
2019-11-05 14:01:28,59.72,13, , , , 
2019-11-05 14:11:28,58.02,13, , , , 
2019-11-05 14:21:28,58.71,13, , , , 
2019-11-05 14:31:28,59.02,13, , , , 
2019-11-05 14:41:28,59.25,13, , , , 
2019-11-05 14:51:28,60.03,13, , , , 
2019-11-05 15:01:28,59.87,13, , , , 
2019-11-05 15:11:28,51.38,13, , , , 
2019-11-05 15:21:28,55.39,12, , , , 
2019-11-05 15:31:28,57.01,12, , , , 
2019-11-05 15:41:28,57.94,12, , , , 
2019-11-05 15:51:28,58.40,12, , , , 
2019-11-05 16:01:28,58.95,12, , , , 
2019-11-05 16:11:28,59.02,12, , , , 
2019-11-05 16:21:28,59.18,12, , , , 
2019-11-05 16:31:28,59.25,12, , , , 
2019-11-05 16:41:28,59.72,0, , , , 
2019-11-05 16:51:28,60.49,0, , , , 
2019-11-05 17:01:28,60.41,0, , , , 
2019-11-05 17:11:28,60.49,0, , , , 
2019-11-05 17:21:28,60.34,0, , , , 
2019-11-05 17:31:28,60.64,0, , , , 
2019-11-05 17:41:28,60.34,0, , , , 
2019-11-05 17:51:28,60.41,0, , , , 
2019-11-05 18:01:28,60.18,0, , , , 
2019-11-05 18:11:28,60.41,0, , , , 
2019-11-05 18:21:28,60.18,0, , , , 
2019-11-05 18:31:28,60.26,0, , , , 
2019-11-05 18:41:28,60.26,0, , , , 
2019-11-05 18:51:28,59.95,0, , , , 
2019-11-05 19:01:28,60.41,0, , , , 
2019-11-05 19:11:28,60.26,0, , , , 
2019-11-05 19:21:28,60.41,0, , , , 
2019-11-05 19:31:28,60.34,0, , , , 
2019-11-05 19:41:28,60.34,0, , , , 
2019-11-05 19:51:28,60.26,0, , , , 
2019-11-05 20:01:28,60.26,0, , , , 
2019-11-05 20:11:28,60.34,0, , , , 
2019-11-05 20:21:28,60.26,0, , , , 
2019-11-05 20:31:28,60.34,0, , , , 
