Location,Name,Depth,Station,Replicate,Date,DIC,DOC,TIC,TOC
Deep Hole,A,0,1,1,2020-01-31,5.78,21.39,5.79,21.58
Deep Hole,B,3,1,1,2020-01-31,5.92,18.36,5.9,18.54
Deep Hole,C,7,1,1,2020-01-31,11.37,22.8,11.62,23.04
Deep Hole,A,0,1,1,2019-04-06,1.53,22.41,0.86,24.92
Deep Hole,B,3,1,1,2019-04-06,-99,-99,2.23,20.87
Deep Hole,C,7,1,1,2019-04-06,-99,-99,-99,-99
Deep Hole,A,0,1,1,2019-02-16,4.53,47.36,5.4,31.27
Deep Hole,B,3,1,1,2019-02-16,6.02,19.51,5.09,19.06
Deep Hole,C,7,1,1,2019-02-16,8.58,21.73,8.47,21.62
Deep Hole,A,0,1,1,2019-01-08,-99,-99,-99,-99
Deep Hole,B,3,1,1,2019-01-08,5.01,19.74,-99,-99
Deep Hole,C,7,1,1,2019-01-08,6.1,20.33,2.23,21.66
Deep Hole,A,0,1,1,2019-03-09,5.87,19.33,4.94,20.81
Deep Hole,B,3,1,1,2019-03-09,6.18,19.4,5.99,19.42
Deep Hole,C,7,1,1,2019-03-09,8,21.09,8.46,21.77
Deep Hole,A,0,1,1,2019-05-02,0.83,14.27,1.16,14.6
Deep Hole,B,3,1,1,2019-05-02,6.35,20.13,7.39,20.86
Deep Hole,C,7,1,1,2019-05-02,9.87,22.76,9.77,23.93
Deep Hole,A,0,1,1,2020-05-04,1.52,12.75,1.49,13.04
Deep Hole,B,3,1,1,2020-05-04,8.22,17.26,8.36,17.11
Deep Hole,C,7,1,1,2020-05-04,14.69,24.6,15.72,27.13
Deep Hole,A,0,1,1,2018-11-08,3.81,17.53,5,18.09
Deep Hole,B,3,1,1,2018-11-08,3.62,17.91,4.48,18.05
Deep Hole,C,7,1,1,2018-11-08,-99,-99,4.92,17.95
Deep Hole,A,0,1,1,2020-10-06,3.43,,3.74,
Deep Hole,B,3,1,1,2020-10-06,6.1,,7.61,
Deep Hole,C,7,1,1,2020-10-06,15.97,,16.05,
Deep Hole,A,0,1,1,2020-02-14,5.3,19.82,6.61,20.55
Deep Hole,B,3,1,1,2020-02-14,4.04,16.8,5.31,16.69
Deep Hole,C,7,1,1,2020-02-14,15.02,21.11,12.69,20.6
Deep Hole,A,0,1,1,2020-03-06,4.93,19.58,7.12,19.84
Deep Hole,B,3,1,1,2020-03-06,6.46,17,5.88,17.23
Deep Hole,C,7,1,1,2020-03-06,11.62,19.07,2.74,19.96
