lake,date,lakedepth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure,Sampling
SSB,1/9/20,0.5,7003.3196,6395.54786,7023.07513,7025.531,0.14231,369.10007,19.51258,0.43414,60,940,0.2,0.2,101.786,first
SSB,1/9/20,0.5,6545.28891,5966.53086,6494.83566,6492.33586,0.16577,369.10007,19.51258,0.43414,60,940,0.2,0.2,101.786,first
SSB,1/9/20,0.5,6998.85428,6372.53096,8273.04009,8283.14257,0.18352,369.10007,19.51258,0.43414,60,940,0.2,0.2,101.786,first
SSB,1/9/20,3,9034.66174,8194.0792,8968.98857,8987.1348,0,369.10007,19.51258,0.43414,60,940,3.9,3.9,101.786,first
SSB,1/9/20,3,8337.55184,7580.98709,7713.9924,7714.8665,0,369.10007,19.51258,0.43414,60,940,3.9,3.9,101.786,first
SSB,1/9/20,3,9210.9973,8355.23497,7454.14257,7454.70267,0,369.10007,19.51258,0.43414,60,940,3.9,3.9,101.786,first
SSB,1/9/20,5,9822.62141,8896.10046,13766.0517,13838.49602,0,369.10007,19.51258,0.43414,60,940,4,4,101.786,first
SSB,1/9/20,5,9467.25371,8588.5975,14630.44807,14730.11339,0,369.10007,19.51258,0.43414,60,940,4,4,101.786,first
SSB,1/9/20,5,10084.04052,9128.26104,16040.4661,16176.10706,0,369.10007,19.51258,0.43414,60,940,4,4,101.786,first
SSB,1/9/20,7,26391.45573,23771.02953,248952.0257,245125.8035,0,369.10007,19.51258,0.43414,60,940,4.2,4.2,101.786,first
SSB,1/9/20,7,28372.65133,25561.12735,227353.6564,225048.4516,0,369.10007,19.51258,0.43414,60,940,4.2,4.2,101.786,first
SSB,1/9/20,7,28835.02743,25978.09419,229098.7901,226624.2944,0,369.10007,19.51258,0.43414,60,940,4.2,4.2,101.786,first
TB,1/10/20,0.5,7430.44703,6729.56525,4352.63175,4344.20583,0,368.99791,42.98531,0.42611,60,940,0.2,0.2,100.847,first
TB,1/10/20,0.5,7663.86804,6949.88328,4231.28172,4216.17484,0,368.99791,42.98531,0.42611,60,940,0.2,0.2,100.847,first
TB,1/10/20,0.5,8184.38662,7413.03198,5546.70714,5519.834,0,368.99791,42.98531,0.42611,60,940,0.2,0.2,100.847,first
TB,1/10/20,3,10016.96369,9083.39345,6613.4997,6616.39181,0,368.99791,42.98531,0.42611,60,940,3.7,3.7,100.847,first
TB,1/10/20,3,9522.37634,8630.29997,6970.06271,6958.55591,0,368.99791,42.98531,0.42611,60,940,3.7,3.7,100.847,first
TB,1/10/20,3,10233.02324,9269.31942,6020.31151,6003.34126,0,368.99791,42.98531,0.42611,60,940,3.7,3.7,100.847,first
TB,1/10/20,5,9594.84502,8699.49192,6372.01934,6357.21291,0,368.99791,42.98531,0.42611,60,940,4,4,100.847,first
TB,1/10/20,5,9719.54188,8814.08579,5622.32149,5627.49055,0,368.99791,42.98531,0.42611,60,940,4,4,100.847,first
TB,1/10/20,5,9960.8222,9038.98417,6382.37255,6392.79313,0,368.99791,42.98531,0.42611,60,940,4,4,100.847,first
TB,1/10/20,7,10848.65135,9826.29868,13766.26974,13850.25896,0,368.99791,42.98531,0.42611,60,940,4.1,4.1,100.847,first
TB,1/10/20,7,11672.43706,10565.06089,22359.93986,22664.29875,0,368.99791,42.98531,0.42611,60,940,4.1,4.1,100.847,first
TB,1/10/20,7,12829.78479,11591.18613,36679.64085,37432.89278,0,368.99791,42.98531,0.42611,60,940,4.1,4.1,100.847,first
TB,1/30/20,0.5,9104.61128,8261.55643,4420.99924,4418.26566,0,368.01619,1.43888,0.43018,60,940,0.7,0.7,96.165,second
TB,1/30/20,0.5,9288.69926,8417.98947,4777.87201,4775.99434,0,368.01619,1.43888,0.43018,60,940,0.7,0.7,96.165,second
TB,1/30/20,0.5,8892.85994,8068.36656,4702.77735,4710.69852,0,368.01619,1.43888,0.43018,60,940,0.7,0.7,96.165,second
TB,1/30/20,3,9408.13258,8535.15174,5528.32991,5533.72814,0,368.01619,1.43888,0.43018,60,940,3.6,3.6,96.165,second
TB,1/30/20,3,9778.24256,8855.59994,6875.19399,6900.84572,0,368.01619,1.43888,0.43018,60,940,3.6,3.6,96.165,second
TB,1/30/20,3,9765.21263,8852.1773,6757.03102,6785.00712,0,368.01619,1.43888,0.43018,60,940,3.6,3.6,96.165,second
TB,1/30/20,5,9951.83605,9010.00799,7959.76434,7977.63594,0,368.01619,1.43888,0.43018,60,940,3.8,3.8,96.165,second
TB,1/30/20,5,9978.86105,9023.18693,8878.85948,8894.81648,0,368.01619,1.43888,0.43018,60,940,3.8,3.8,96.165,second
TB,1/30/20,5,10206.43102,9230.55802,9672.04383,9709.46338,0,368.01619,1.43888,0.43018,60,940,3.8,3.8,96.165,second
TB,1/30/20,7,23855.19695,21506.25074,188531.2875,188017.9341,0,368.01619,1.43888,0.43018,60,940,4.1,4.1,96.165,second
TB,1/30/20,7,18806.42201,16922.76072,115194.0067,116998.2969,0,368.01619,1.43888,0.43018,60,940,4.1,4.1,96.165,second
TB,1/30/20,7,16299.77947,14722.03935,83889.37227,85738.47889,0,368.01619,1.43888,0.43018,60,940,4.1,4.1,96.165,second
SSB,1/31/20,0.5,8082.63342,7352.9111,2978.53217,2977.02324,0.04028,378.53013,54.66265,0.42256,60,940,0.8,0.8,95.726,second
SSB,1/31/20,0.5,8112.49758,7369.9761,2750.98448,2766.935,0.04631,378.53013,54.66265,0.42256,60,940,0.8,0.8,95.726,second
SSB,1/31/20,0.5,7981.62634,7268.42843,2419.02586,2428.55569,0.05338,378.53013,54.66265,0.42256,60,940,0.8,0.8,95.726,second
SSB,1/31/20,3,9357.29238,8484.98796,7458.10458,7465.8684,0,378.53013,54.66265,0.42256,60,940,3.7,3.7,95.726,second
SSB,1/31/20,3,9356.42435,8489.2864,7236.96096,7224.6574,0,378.53013,54.66265,0.42256,60,940,3.7,3.7,95.726,second
SSB,1/31/20,3,9246.41076,8371.38219,6805.74913,6811.52472,0,378.53013,54.66265,0.42256,60,940,3.7,3.7,95.726,second
SSB,1/31/20,5,10403.61922,9406.51158,14635.89483,14733.56986,0,378.53013,54.66265,0.42256,60,940,4,4,95.726,second
SSB,1/31/20,5,10376.39111,9412.69548,13275.95344,13357.92588,0,378.53013,54.66265,0.42256,60,940,4,4,95.726,second
SSB,1/31/20,5,10540.4077,9543.11667,16021.47261,16154.97566,0,378.53013,54.66265,0.42256,60,940,4,4,95.726,second
SSB,1/31/20,7,18255.74662,16463.98874,77859.70604,79695.21852,0,378.53013,54.66265,0.42256,60,940,4.2,4.2,95.726,second
SSB,1/31/20,7,18320.9043,16517.57006,73817.00944,75643.66366,0,378.53013,54.66265,0.42256,60,940,4.2,4.2,95.726,second
SSB,1/31/20,7,18332.02022,16524.85211,73487.42656,75311.09599,0,378.53013,54.66265,0.42256,60,940,4.2,4.2,95.726,second
SSB,2/14/20,0.5,7873.45279,7161.31004,2243.37224,2248.13088,0.19412,371.99542,123.09926,0.44982,60,940,1.9,1.9,94.926,third
SSB,2/14/20,0.5,7781.61934,7071.03145,2596.65937,2595.88586,0.20999,371.99542,123.09926,0.44982,60,940,1.9,1.9,94.926,third
SSB,2/14/20,0.5,7880.69833,7174.53321,3443.04845,3454.60969,0.20904,371.99542,123.09926,0.44982,60,940,1.9,1.9,94.926,third
SSB,2/14/20,3,9695.10498,8790.51528,10852.75105,10891.79982,0,371.99542,123.09926,0.44982,60,940,4,4,94.926,third
SSB,2/14/20,3,9595.41768,8698.1561,10250.63151,10290.37816,0,371.99542,123.09926,0.44982,60,940,4,4,94.926,third
SSB,2/14/20,3,10165.74864,9206.30456,14805.50631,14899.88701,0,371.99542,123.09926,0.44982,60,940,4,4,94.926,third
SSB,2/14/20,5,7821.16769,7109.81611,17011.93721,17178.57657,0.11283,371.99542,123.09926,0.44982,60,940,4.1,4.1,94.926,third
SSB,2/14/20,5,12531.73398,11321.91874,30373.66848,30909.85456,0,371.99542,123.09926,0.44982,60,940,4.1,4.1,94.926,third
SSB,2/14/20,5,11816.57838,10691.1167,30011.62848,30522.74581,0,371.99542,123.09926,0.44982,60,940,4.1,4.1,94.926,third
SSB,2/14/20,7,15554.66881,14037.88003,69353.85068,71024.07114,0,371.99542,123.09926,0.44982,60,940,4.3,4.3,94.926,third
SSB,2/14/20,7,20909.51611,18851.27591,109879.3553,111889.5139,0,371.99542,123.09926,0.44982,60,940,4.3,4.3,94.926,third
SSB,2/14/20,7,21546.90701,19416.72953,118763.2325,120632.3243,0,371.99542,123.09926,0.44982,60,940,4.3,4.3,94.926,third
TB,2/15/20,0.5,9177.3076,8331.52378,5961.0344,5977.3687,0,371.83487,64.1326,0.45201,60,940,1.6,1.6,95.006,third
TB,2/15/20,0.5,8677.08808,7870.2872,6209.37278,6218.67522,0,371.83487,64.1326,0.45201,60,940,1.6,1.6,95.006,third
TB,2/15/20,0.5,9149.74179,8315.1559,6101.77699,6116.18975,0,371.83487,64.1326,0.45201,60,940,1.6,1.6,95.006,third
TB,2/15/20,3,9586.91759,8697.75678,7080.4801,7093.30238,0,371.83487,64.1326,0.45201,60,940,3.8,3.8,95.006,third
TB,2/15/20,3,9979.94253,9045.159,6833.9723,6842.73257,0,371.83487,64.1326,0.45201,60,940,3.8,3.8,95.006,third
TB,2/15/20,3,9730.9774,8809.18269,7772.89335,7758.80938,0,371.83487,64.1326,0.45201,60,940,3.8,3.8,95.006,third
TB,2/15/20,5,10616.32155,9600.55286,11513.29425,11530.77717,0,371.83487,64.1326,0.45201,60,940,4,4,95.006,third
TB,2/15/20,5,10578.50645,9555.57636,10991.80309,10995.31036,0,371.83487,64.1326,0.45201,60,940,4,4,95.006,third
TB,2/15/20,5,10553.16497,9534.34055,12083.11688,12116.46006,0,371.83487,64.1326,0.45201,60,940,4,4,95.006,third
TB,2/15/20,7,11127.42077,10058.95558,14478.36667,14578.76682,0,371.83487,64.1326,0.45201,60,940,4.2,4.2,95.006,third
TB,2/15/20,7,10677.77531,9646.79711,12092.74317,12144.08781,0,371.83487,64.1326,0.45201,60,940,4.2,4.2,95.006,third
TB,2/15/20,7,11088.13397,10020.78636,14484.06052,14571.6283,0,371.83487,64.1326,0.45201,60,940,4.2,4.2,95.006,third
SSB,3/6/20,0.5,8501.55285,7715.21947,5535.46427,5524.12771,0,372.84204,8.92426,0.4212,60,940,0.5,0.5,97.272,fourth
SSB,3/6/20,0.5,8979.61931,8138.54605,6173.37853,6171.11613,0,372.84204,8.92426,0.4212,60,940,0.5,0.5,97.272,fourth
SSB,3/6/20,0.5,9109.00714,8241.92076,6545.66429,6539.47192,0,372.84204,8.92426,0.4212,60,940,0.5,0.5,97.272,fourth
SSB,3/6/20,3,9878.11113,8917.62386,11888.41306,11914.41419,0,372.84204,8.92426,0.4212,60,940,3.8,3.8,97.272,fourth
SSB,3/6/20,3,9836.38792,8907.3928,14401.41956,14464.95026,0,372.84204,8.92426,0.4212,60,940,3.8,3.8,97.272,fourth
SSB,3/6/20,3,9820.17929,8876.16757,10146.92704,10147.76028,0,372.84204,8.92426,0.4212,60,940,3.8,3.8,97.272,fourth
SSB,3/6/20,5,10659.32221,9648.80282,17895.26846,18025.27417,0,372.84204,8.92426,0.4212,60,940,4,4,97.272,fourth
SSB,3/6/20,5,11013.84925,9946.94145,19255.83576,19406.04988,0,372.84204,8.92426,0.4212,60,940,4,4,97.272,fourth
SSB,3/6/20,5,11117.03862,10023.49487,22851.58205,23086.43705,0,372.84204,8.92426,0.4212,60,940,4,4,97.272,fourth
SSB,3/6/20,7,20979.60463,18838.03969,123198.0236,124760.453,0,372.84204,8.92426,0.4212,60,940,4.3,4.3,97.272,fourth
SSB,3/6/20,7,21362.75719,19171.85968,106454.9468,108200.4029,0,372.84204,8.92426,0.4212,60,940,4.3,4.3,97.272,fourth
SSB,3/6/20,7,20260.62251,18213.15211,137687.4144,139037.0985,0,372.84204,8.92426,0.4212,60,940,4.3,4.3,97.272,fourth
