lake,sampledate,water_depth_m,CO2_micromol/L,CH4_micromol/L
SSB,2020-01-09,0.5,452,39.2
SSB,2020-01-09,3,520.3333333,41.3
SSB,2020-01-09,5,572.3333333,76.43333333
SSB,2020-01-09,7,1613.333333,1186.666667
SSB,2020-01-31,0.5,490.3333333,13.56666667
SSB,2020-01-31,3,517,34.53333333
SSB,2020-01-31,5,573.6666667,71
SSB,2020-01-31,7,996,369.6666667
SSB,2020-02-14,0.5,457.3333333,13.26666667
SSB,2020-02-14,3,535.3333333,57.2
SSB,2020-02-14,5,582.3333333,124.5666667
SSB,2020-02-14,7,1042.666667,481.6666667
SSB,2020-03-06,0.5,550.6666667,31.23333333
SSB,2020-03-06,3,552.3333333,59.8
SSB,2020-03-06,5,608.6666667,98.8
SSB,2020-03-06,7,1143.333333,605.3333333
SSB,2020-05-04,0,118.1333333,14.53333333
SSB,2020-05-04,3,578.3333333,61.3
SSB,2020-05-04,5,744,171.3333333
SSB,2020-05-04,7,1183.333333,409.3333333
SSB,2020-06-18,0,65.8,0.873
SSB,2020-06-18,3,938,134
SSB,2020-06-18,5,1009,228
SSB,2020-06-25,0,100.7,0.872033333
SSB,2020-06-25,3,782.3333333,124
SSB,2020-06-25,5,814,175
SSB,2020-06-25,7,1280,621.3333333
SSB,2020-07-02,0,68.96666667,1.179333333
SSB,2020-07-02,3,885.3333333,175
SSB,2020-07-02,5,921.3333333,200
SSB,2020-07-02,7,1270,570.6666667
SSB,2020-07-11,0,72.7,0.697666667
SSB,2020-07-11,3,831.6666667,163.3333333
SSB,2020-07-11,5,931,220
SSB,2020-07-11,7,1453.333333,762
SSB,2020-07-16,0,76.06666667,0.179333333
SSB,2020-07-16,3,629.6666667,119.8
SSB,2020-07-16,5,787,178.6666667
SSB,2020-07-16,7,1406.666667,720.3333333
SSB,2020-07-23,0,187.5,2.74
SSB,2020-07-23,3,832.3333333,167.6666667
SSB,2020-07-23,5,925.6666667,235.3333333
SSB,2020-07-23,7,1370,731
SSB,2020-07-28,0,119.6666667,-0.347
SSB,2020-07-28,3,871,190.3333333
SSB,2020-07-28,5,951,233.6666667
SSB,2020-07-28,7,1403.333333,706.6666667
SSB,2020-10-07,0,288.6666667,9.456666667
SSB,2020-10-07,3,904.6666667,269.3333333
SSB,2020-10-07,5,898.6666667,339
SSB,2020-10-07,7,1390,763
SSB,2020-10-30,0,489.6666667,60.9
SSB,2020-10-30,3,522,60.46666667
SSB,2020-10-30,5,515.3333333,62.86666667
SSB,2020-10-30,7,512,60.96666667
SSB,2021-01-13,0,503.3333333,6.533333333
SSB,2021-01-13,3,507,31
SSB,2021-01-13,5,540.3333333,61.93333333
SSB,2021-01-13,7,622.3333333,140.6666667
SSB,2021-02-02,0,479,0.1082
SSB,2021-02-02,3,518,35.6
SSB,2021-02-02,5,533,60.6
SSB,2021-02-02,7,635.6666667,173.3333333
SSB,2021-02-17,0,482,3.366666667
SSB,2021-02-17,3,552.6666667,54.3
SSB,2021-02-17,5,553.6666667,74.56666667
SSB,2021-02-17,7,575.6666667,102.9666667
SSB,2021-03-02,0,630,36.13333333
SSB,2021-03-02,3,604.6666667,68.3
SSB,2021-03-02,5,617.6666667,88.23333333
SSB,2021-03-02,7,831.6666667,312.6666667
SSB,2021-03-15,0,333,2.99
SSB,2021-03-15,3,596,65.6
SSB,2021-03-15,5,623.3333333,116.7333333
SSB,2021-03-15,7,737,245.3333333
SSB,2021-04-13,0,33,3.083333333
SSB,2021-04-13,3,577.3333333,48.4
SSB,2021-04-13,5,631.3333333,67.1
SSB,2021-04-13,7,764,208
TB,2020-01-10,0.5,504.6666667,24.96666667
TB,2020-01-10,3,580.3333333,33.16666667
TB,2020-01-10,5,565.6666667,31.03333333
TB,2020-01-10,7,679.6666667,125.0666667
TB,2020-01-30,0.5,556,23.5
TB,2020-01-30,3,539.6666667,31.2
TB,2020-01-30,5,557.3333333,43.06666667
TB,2020-01-30,7,1078.333333,630.3333333
TB,2020-02-15,0.5,529.6666667,30.03333333
TB,2020-02-15,3,536.3333333,34.56666667
TB,2020-02-15,5,575.6666667,55.1
TB,2020-02-15,7,593.3333333,65.53333333
TB,2020-03-07,0.5,537,24.5
TB,2020-03-07,3,564.3333333,44.03333333
TB,2020-03-07,5,578.6666667,56.53333333
TB,2020-03-07,7,663,136.3333333
TB,2020-05-04,0,313,21.1
TB,2020-05-04,3,526,45.43333333
TB,2020-05-04,5,424.6666667,40.96666667
TB,2020-05-04,7,673.3333333,118.3333333
TB,2020-06-05,0,79.93333333,-0.021333333
TB,2020-06-05,3,672,76.3
TB,2020-06-05,5,697.3333333,105
TB,2020-06-05,7,835,220
TB,2020-06-11,0,96.6,0.535
TB,2020-06-11,3,642.3333333,74.1
TB,2020-06-11,5,677,101.7333333
TB,2020-06-11,7,841,212.6666667
TB,2020-06-18,0,62.93333333,-0.057933333
TB,2020-06-18,3,720.3333333,77.13333333
TB,2020-06-18,5,734.6666667,94.56666667
TB,2020-06-18,7,1020,275
TB,2020-06-24,0,191,0.482666667
TB,2020-06-24,3,765.6666667,76.56666667
TB,2020-06-24,5,785.6666667,98.36666667
TB,2020-06-24,7,1143.333333,335.6666667
TB,2020-06-30,0,48.8,0.332666667
TB,2020-06-30,3,756,82.93333333
TB,2020-06-30,5,733.3333333,98.53333333
TB,2020-06-30,7,1090,323.3333333
TB,2020-07-07,0,63.73333333,0.83
TB,2020-07-07,3,736.6666667,81.9
TB,2020-07-07,5,762,113
TB,2020-07-07,7,1096.666667,313.3333333
TB,2020-07-16,0,130.3333333,1.184666667
TB,2020-07-16,3,721.6666667,80.26666667
TB,2020-07-16,5,725.6666667,104.0333333
TB,2020-07-16,7,1020,291.3333333
TB,2020-07-22,0,126.3333333,1.11
TB,2020-08-04,0,192.6666667,3.28
TB,2020-10-05,0,269.6666667,16.4
TB,2020-10-05,3,706.3333333,98.8
TB,2020-10-05,5,745.6666667,119
TB,2020-10-05,7,1056.666667,406.6666667
TB,2020-10-30,0,393.6666667,26.2
TB,2020-10-30,3,364,24.53333333
TB,2020-10-30,5,451,54.23333333
TB,2020-10-30,7,894,284.3333333
TB,2021-01-14,0,381,11.61333333
TB,2021-01-14,3,462.3333333,21.56666667
TB,2021-01-14,5,541,75.06666667
TB,2021-01-14,7,925.3333333,425.3333333
TB,2021-02-03,0,439,1.813333333
TB,2021-02-03,3,432.3333333,7.353333333
TB,2021-02-03,5,520.6666667,54.43333333
TB,2021-02-03,7,644,148
TB,2021-02-16,0,491.6666667,2.203333333
TB,2021-02-16,3,486,7.08
TB,2021-02-16,5,573.3333333,95.43333333
TB,2021-02-16,7,907.3333333,383.3333333
TB,2021-03-02,0,502,4.06
TB,2021-03-02,3,497.6666667,13.66666667
TB,2021-03-02,5,597.3333333,90.9
TB,2021-03-02,7,890,323
TB,2021-03-15,0,453.3333333,12.03333333
TB,2021-03-15,3,481.6666667,20.83333333
TB,2021-03-15,5,653,152.3333333
TB,2021-03-15,7,935,444.6666667
TB,2021-04-13,0,130.9333333,11.93333333
TB,2021-04-13,3,480,37.36666667
TB,2021-04-13,5,599.3333333,99.96666667
TB,2021-04-13,7,845,309.3333333
