analysis_date,batch_id,sample_id,lake,date,depth,replicate,CO2_FID,CO2_TCD,CH4_FID,CH4_TCD,N2O_ECD
1/15/21 9:49,SSB,blank,blank,NA,NA,NA,581.16346,708.03767,0.91769,0,1.36502
1/15/21 10:04,SSB,blank,blank,NA,NA,NA,398.67772,532.96676,1.77225,0,1.41598
1/15/21 10:20,SSB,blank,blank,NA,NA,NA,391.6762,527.78931,1.7942,0,1.53534
1/15/21 10:35,SSB,std1,std1,NA,NA,NA,-74.03821,NA,1.74976,NA,0.6575
1/15/21 10:50,SSB,std2,std2,NA,NA,NA,7.70434,164.60898,12.94445,-10.89197,0.70406
1/15/21 11:05,SSB,std3,std3,NA,NA,NA,-74.26064,0,96.90939,81.62828,0.91443
1/15/21 11:20,SSB,std4,std4,NA,NA,NA,163.97428,314.84818,1.68939,0,1.15869
1/15/21 11:35,SSB,std5,std5,NA,NA,NA,392.13499,526.5245,0,0,1.15887
1/15/21 11:50,SSB,std6,std6,NA,NA,NA,-72.7537,0,517.60536,511.42381,0.91332
1/15/21 12:05,SSB,std7,std7,NA,NA,NA,957.12133,1048.5218,1.09703,0,0.42668
1/15/21 12:20,SSB,std8,std8,NA,NA,NA,321.71678,464.45275,1155.9677,1148.10462,0.08851
1/15/21 12:35,SSB,std9,std9,NA,NA,NA,4978.78862,4678.17821,2.6479,0,0.01477
1/15/21 12:50,SSB,std10,std10,NA,NA,NA,-28.15177,129.8636,5005.41275,5008.40717,-0.05438
1/15/21 13:05,SSB,std11,std11,NA,NA,NA,55708.37131,51174.62513,23908.06083,24500.60022,-0.21539
1/15/21 13:20,SSB,std12,std12,NA,NA,NA,11326.52055,10389.66271,74.64564,56.66018,-0.15444
1/15/21 13:35,SSB,std13,std13,NA,NA,NA,20.86202,176.21731,15.24648,-5.36721,0.93471
1/15/21 13:50,SSB,std15,std15,NA,NA,NA,-31.85239,127.4766,6.30156,0,10.02069
1/15/21 14:05,SSB,std16,std16,NA,NA,NA,-63.23132,97.46053,3.22884,0,0.1656
1/15/21 14:20,SSB,SSB_2020-05-04_0_A,SSB,5/4/20,0,A,4037.75796,3833.55643,1524.60009,1520.88846,-0.0671
1/15/21 14:35,SSB,SSB_2020-05-04_0_B,SSB,5/4/20,0,B,2468.32521,2429.60305,1279.99809,1277.06007,-0.16587
1/15/21 14:50,SSB,SSB_2020-05-04_0_C,SSB,5/4/20,0,C,643.81895,769.17332,1457.28154,1449.82474,-0.08694
1/15/21 15:05,SSB,SSB_2020-05-04_3_A,SSB,5/4/20,3,A,9662.42024,8903.69241,5432.832,5453.47989,-0.22888
1/15/21 15:20,SSB,SSB_2020-05-04_3_B,SSB,5/4/20,3,B,9123.85628,8426.56218,5502.64184,5527.67901,-0.26444
1/15/21 15:35,SSB,SSB_2020-05-04_3_C,SSB,5/4/20,3,C,9295.57873,8582.22262,5423.56526,5440.2872,-0.35051
1/15/21 15:50,SSB,SSB_2020-05-04_5_A,SSB,5/4/20,5,A,12121.11105,11134.93084,14742.30784,15004.40989,-0.43773
1/15/21 16:05,SSB,SSB_2020-05-04_5_B,SSB,5/4/20,5,B,12170.79909,11170.6493,14874.08861,15131.9193,-0.46107
1/15/21 16:20,SSB,SSB_2020-05-04_5_C,SSB,5/4/20,5,C,11956.31583,10976.69813,15301.35707,15581.11963,-0.54024
1/15/21 16:35,SSB,SSB_2020-05-04_7_A,SSB,5/4/20,7,A,19823.94206,18114.81678,35929.02181,37101.52335,-0.42534
1/15/21 16:50,SSB,SSB_2020-05-04_7_B,SSB,5/4/20,7,B,19580.10639,17895.29281,34787.92435,35912.31173,-0.49375
1/15/21 17:05,SSB,SSB_2020-05-04_7_C,SSB,5/4/20,7,C,18647.84681,17043.66199,35041.07087,36171.20277,-0.50124
1/15/21 17:20,SSB,SSB_2020-05-04_Air_1,SSB,5/4/20,Air,1,405.76686,539.47362,117.36846,101.63474,-0.22615
1/15/21 17:35,SSB,SSB_2020-05-04_Air_2,SSB,5/4/20,Air,2,361.83218,502.7256,34.99834,14.81353,-0.2565
1/15/21 17:50,SSB,SSB_2020-05-04_Air_3,SSB,5/4/20,Air,3,400.06544,536.62182,16.93558,-5.51619,-0.45961
1/15/21 18:05,SSB,TB_2020-05-04_0_A,TB,5/4/20,0,A,6073.87095,5674.49131,1896.39783,1893.63491,-0.53584
1/15/21 18:20,SSB,TB_2020-05-04_0_B,TB,5/4/20,0,B,6281.54324,5872.03252,1999.98777,2014.03087,-0.48849
1/15/21 18:35,SSB,TB_2020-05-04_0_C,TB,5/4/20,0,C,5985.0247,5611.30142,1860.77163,2054.16861,-0.89484
1/15/21 18:50,SSB,TB_2020-05-04_3_A,TB,5/4/20,3,A,8522.22863,7881.05446,3922.37926,3945.49129,-0.99448
1/15/21 19:05,SSB,TB_2020-05-04_3_B,TB,5/4/20,3,B,8377.57589,7746.75351,3915.45993,4194.80187,-0.78881
1/15/21 19:20,SSB,TB_2020-05-04_3_C,TB,5/4/20,3,C,8374.27272,7751.05986,3737.05595,3943.73637,-0.73583
1/15/21 19:35,SSB,TB_2020-05-04_5_A,TB,5/4/20,5,A,8876.30494,8202.58438,4718.38372,4920.77781,-0.79536
1/15/21 19:50,SSB,TB_2020-05-04_5_B,TB,5/4/20,5,B,8761.55879,8098.37669,4707.26279,4753.04783,-0.80697
1/15/21 20:06,SSB,TB_2020-05-04_5_C,TB,5/4/20,5,C,2586.28917,2535.25675,1198.91207,1207.57641,-0.54509
1/15/21 20:21,SSB,TB_2020-05-04_7_A,TB,5/4/20,7,A,10926.36185,10062.94517,10809.97457,10958.43297,-0.71509
1/15/21 20:36,SSB,TB_2020-05-04_7_B,TB,5/4/20,7,B,11025.07514,10139.13456,10814.7399,10951.66062,-0.63649
1/15/21 20:51,SSB,TB_2020-05-04_7_C,TB,5/4/20,7,C,10577.96983,9742.8763,9351.42252,9456.31827,-0.68157
1/15/21 21:06,SSB,TB_2020-05-04_Air_1,TB,5/4/20,Air,1,372.84668,514.62241,34.08287,14.01976,-0.36334
1/15/21 21:21,SSB,TB_2020-05-04_Air_2,TB,5/4/20,Air,2,353.46927,496.23703,11.61964,-10.49278,-0.37185
1/15/21 21:36,SSB,TB_2020-05-04_Air_3,TB,5/4/20,Air,3,356.45198,498.45948,6.72277,0,-0.40907
1/15/21 21:51,SSB,TB_2020-10-30_0_A,TB,10/30/20,0,A,6030.01813,5643.8471,1638.89255,1639.89475,-0.56448
1/15/21 22:06,SSB,TB_2020-10-30_0_B,TB,10/30/20,0,B,5890.0702,5522.76993,1647.7436,1643.8613,-0.49983
1/15/21 22:21,SSB,TB_2020-10-30_0_C,TB,10/30/20,0,C,6147.67009,5755.56805,1706.19155,1701.38203,-0.47199
1/15/21 22:36,SSB,TB_2020-10-30_3_A,TB,10/30/20,3,A,4034.33914,3855.52902,1157.41419,1149.38845,-0.36589
1/15/21 22:51,SSB,TB_2020-10-30_3_B,TB,10/30/20,3,B,6247.33045,5833.05881,1798.68141,1795.27009,-0.52463
1/15/21 23:06,SSB,TB_2020-10-30_3_C,TB,10/30/20,3,C,6106.73161,5714.61566,1702.34091,1706.1274,-0.83858
1/15/21 23:21,SSB,TB_2020-10-30_5_A,TB,10/30/20,5,A,6455.6471,6018.79057,2387.27527,2382.96493,-0.50385
1/15/21 23:36,SSB,TB_2020-10-30_5_B,TB,10/30/20,5,B,6800.02841,6336.88199,3668.95835,3678.81555,-0.51421
