filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,ch4_flux,qc_ch4_flux,H_strg,ch4_strg,ch4_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,u_var,v_var,w_var,ts_var,ch4_var,w/ts_cov,w/ch4_cov,co2_mean,h2o_mean,co2_mean,h2o_mean,diag_72_mean,int_p_mean,int_t_1_mean,int_t_2_mean,cell_t_mean,co2_mean,h2o_mean,co2_mean,h2o_mean,7700_signal_strength_mean,diag_77_mean
not_enough_data,3/23/20,13:00,83.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOA5_TroutBog_ts_data_15_2020_03_23_1300.dat,3/23/20,13:30,83.562,1,18000,18000,1.57E-02,2,-3.324623478,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,274.5306975,274.5306975,95365.85092,1.210206701,1005.178444,2.39E-02,NaN,NaN,NaN,673.3344203,NaN,NaN,NaN,NaN,0.395061447,1.14E-02,7.94E-03,0.395305589,3.66E-14,2.87E-15,0.395305589,3.401158136,139.3475881,1.652411874,1.151204729,NaN,0.114025944,0.607659003,37.53210867,5.62E-02,NaN,-2.40E-02,1,2.679684864,1,2,5,9,18,66,1.56E-02,1.008363577,-3.261286269,1.019420929,NaN,1,800009909,800009919,800009909,800009919,800009909,800009909,899999999,899999999,89999,89999,89,89,0,1,1,15,0,0.659687144,0.498213623,5.74E-02,2.22E-02,NaN,-2.68E-03,NaN,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,1872.11309,1300987012,450000000,100,NaN,NaN
TOA5_TroutBog_ts_data_15_2020_03_23_1330.dat,3/23/20,14:00,83.583,1,18000,18000,7.75E-02,1,7.590905586,1,NaN,NaN,0.334565319,NaN,NaN,NaN,NaN,NaN,NaN,0,274.7655191,274.7655191,95365.85092,1.209172428,1005.18188,2.40E-02,NaN,NaN,NaN,684.7765156,NaN,NaN,NaN,NaN,-2.33E-02,-9.58E-02,2.23E-02,0.101074042,-3.63E-14,-1.14E-14,0.101074042,2.49714244,244.6607628,256.3392372,12.72457547,NaN,0.253238881,0.339719687,-180.0667214,-1.17E-02,NaN,2.47E-02,0,60.36156971,-9.160101079,20.72017358,51.59616192,78.68740244,110.3602008,165.339691,7.72E-02,1.004969285,7.491412622,1.013280935,NaN,1,800009909,800009919,800009909,800009919,800009909,800109909,899999999,899999999,89999,89999,89,89,2,7,2,25,0,0.296250275,0.328894372,5.43E-02,3.24E-02,NaN,6.16E-03,NaN,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,3672.113168,1300988812,450000000,100,NaN,NaN
TOA5_TroutBog_ts_data_15_2020_03_23_1400.dat,3/23/20,14:30,83.604,1,18000,18000,2.90E-02,0,-0.83817115,0,NaN,NaN,0.285031041,NaN,NaN,NaN,NaN,NaN,NaN,0,274.9657192,274.9657192,95365.85092,1.20829204,1005.184837,2.40E-02,NaN,NaN,NaN,694.6672225,NaN,NaN,NaN,NaN,0.242422844,5.03E-02,8.04E-03,0.247724481,-4.09E-14,8.10E-16,0.247724481,4.458876723,129.2694159,11.73058408,1.859809154,NaN,0.155032609,0.431941503,374.1740161,5.64E-03,NaN,-4.45E-03,1,0.630216734,1,1,1,2,5,70,2.89E-02,1.006577477,-0.825042562,1.015912619,NaN,1,800009909,800009919,800009909,800009919,800009909,810009909,899999999,899999999,89999,89999,89,89,20,2,2,24,0,0.340079463,0.484357627,3.94E-02,1.42E-02,NaN,-6.79E-04,NaN,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,5472.113264,1300990612,450000000,100,NaN,NaN
TOA5_TroutBog_ts_data_15_2020_03_23_1430.dat,3/23/20,15:00,83.624,1,18000,18000,4.10E-02,0,-2.645245115,1,NaN,NaN,0.160413359,NaN,NaN,NaN,NaN,NaN,NaN,0,275.0784364,275.0784364,95365.85092,1.207796926,1005.186511,2.40E-02,NaN,NaN,NaN,700.2913798,NaN,NaN,NaN,NaN,0.158625731,-4.37E-02,-1.57E-03,0.164531166,5.27E-14,1.30E-15,0.164531166,3.63625004,156.3878757,344.6121243,-0.54788619,NaN,0.184262362,0.597161553,199.0590226,1.06E-02,NaN,-1.18E-02,1,0.157929196,1,1,3,NaN,NaN,NaN,4.07E-02,1.006893667,-2.60222798,1.016530887,NaN,1,800009909,800009919,800009909,800009919,800009909,800009909,899999999,899999999,89999,89999,89,89,5,2,9,44,0,0.389229916,0.754740543,5.04E-02,2.52E-02,NaN,-2.14E-03,NaN,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,7272.113348,1300992411,450000000,100,NaN,NaN
TOA5_TroutBog_ts_data_15_2020_03_23_1500.dat,3/23/20,15:30,83.645,1,16862,16862,4.04E-02,0,-3.281959691,0,NaN,NaN,0.122588332,NaN,NaN,NaN,NaN,NaN,NaN,0,275.164602,275.164602,95365.85092,1.207418714,1005.187797,2.40E-02,NaN,NaN,NaN,704.617863,NaN,NaN,NaN,NaN,0.319117116,6.67E-02,-1.53E-02,0.326374241,-1.02E-13,-1.37E-14,0.326374241,3.11253294,129.1924894,11.8075106,-2.686961455,NaN,0.182964296,0.457747845,157.0739793,1.34E-02,NaN,-1.48E-02,1,0.779801431,1,1,1,3,5,24,4.01E-02,1.006804999,-3.229161042,1.016350578,NaN,1,800009909,800009909,800009909,800009919,800009909,800119909,899999999,899999999,89999,89999,89,89,1,4,5,19,0,0.388955026,0.468734071,5.78E-02,1.63E-02,NaN,-2.66E-03,NaN,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,3895.403405,592321935.5,204857189.9,48.29839555,37.90620685,206
TOA5_TroutBog_ts_data_16_2020_03_23_1530.dat,3/23/20,16:00,83.666,1,18000,18000,1.61E-02,2,-2.805982094,0,1.28E-03,1,2.399788273,NaN,6.55E-13,9.08E-02,2.17707901,2.17707901,-1.3,0,275.1081532,276.850038,96023.88257,1.208348627,1005.213827,2.40E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.136626045,0.231823371,-1.64E-02,0.269588835,6.01E-14,7.21E-15,0.269588835,4.23396297,81.51314389,59.48685611,-3.490429257,NaN,0.115290395,0.474691906,46.19302929,4.57E-02,NaN,-2.00E-02,1,1.261779698,1,1,2,4,7,25,1.59E-02,1.008102245,-2.753865372,1.018924934,9.08E-04,1.407638924,800009909,800009909,800009909,800009909,800009909,810119909,899999999,899999999,89999,89999,89,89,9,12,5,16,0,0.585003781,0.319253592,4.51E-02,2.26E-02,1.13E-08,-2.27E-03,9.08E-07,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,1.75E-02,422.5156786,211.9573351,5.112147755,37.66107055,206
TOA5_TroutBog_ts_data_16_2020_03_23_1600.dat,3/23/20,16:30,83.687,1,18000,18000,1.29E-02,0,-6.032217031,0,1.22E-03,0,-0.188646509,-9.43E-05,3.25E-13,9.08E-02,2.175151073,2.175151073,0.8,0,275.0848475,276.7176182,96030.13994,1.209005647,1005.211721,2.40E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.112848905,-4.45E-02,2.36E-02,0.123569502,-3.71E-14,3.58E-15,0.123569502,2.694294118,162.5086507,338.4913493,11.00854239,NaN,0.10312634,0.183067596,15.37917754,0.137198494,NaN,-4.81E-02,1,0.231769014,1,1,2,7,NaN,NaN,1.27E-02,1.011727818,-5.878717434,1.026111069,7.88E-04,1.544038002,800009909,800009909,800009909,800009909,800019909,800019909,899999999,899999999,89999,89999,89,89,3,3,1,45,0,0.149949109,0.189437297,2.67E-02,1.50E-02,1.02E-08,-4.84E-03,7.88E-07,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,1.75E-02,422.5847337,208.3834897,5.020610079,38.56486583,206
TOA5_TroutBog_ts_data_16_2020_03_23_1630.dat,3/23/20,17:00,83.708,1,18000,18000,2.61E-03,2,-6.741886461,2,5.03E-03,2,0.151657515,1.53E-05,-2.79E-13,9.08E-02,2.175462945,2.175462945,-0.6,0,275.096715,276.8241199,96025.30392,1.208479649,1005.213414,2.40E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.158588017,0.386323062,-3.33E-02,0.418933557,-5.67E-14,-3.08E-15,0.418933557,2.6123855,73.31845468,67.68154532,-4.560691135,NaN,4.65E-02,0.239016068,1.259373563,1.675436155,NaN,-0.119417307,1,12.32249669,5,11,24,44,97,421,2.48E-03,1.051260681,-6.105771283,1.104182608,1.56E-03,3.234813601,800009909,800009909,800009909,800009909,800009909,800119909,899999999,899999999,89999,89999,89,89,13,12,5,20,0,0.287939536,0.15983654,3.03E-02,3.02E-02,1.97E-08,-5.03E-03,1.56E-06,0,0,0,0,0,0,273.1499939,273.1499939,273.1499939,1.75E-02,422.3144701,203.8869505,4.91528761,37.95964896,206
not_enough_data,3/23/20,17:30,83.729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
