"analysis_date"	"sample_id"	"lake"	"date"	"depth"	"replicate"	"parameter"	"value"
"1"	"1/15/21 14:20"	"SSB_2020-05-04_0_A"	"SSB"	2020-05-04	"0"	"A"	"CO2_TCD"	3834
"2"	"1/15/21 14:20"	"SSB_2020-05-04_0_A"	"SSB"	2020-05-04	"0"	"A"	"CH4_TCD"	1521
"3"	"1/15/21 14:20"	"SSB_2020-05-04_0_A"	"SSB"	2020-05-04	"0"	"A"	"N2O_ECD"	0
"4"	"1/15/21 14:35"	"SSB_2020-05-04_0_B"	"SSB"	2020-05-04	"0"	"B"	"CO2_TCD"	2430
"5"	"1/15/21 14:35"	"SSB_2020-05-04_0_B"	"SSB"	2020-05-04	"0"	"B"	"CH4_TCD"	1277
"6"	"1/15/21 14:35"	"SSB_2020-05-04_0_B"	"SSB"	2020-05-04	"0"	"B"	"N2O_ECD"	0
"7"	"1/15/21 14:50"	"SSB_2020-05-04_0_C"	"SSB"	2020-05-04	"0"	"C"	"CO2_FID"	644
"8"	"1/15/21 14:50"	"SSB_2020-05-04_0_C"	"SSB"	2020-05-04	"0"	"C"	"CH4_TCD"	1450
"9"	"1/15/21 14:50"	"SSB_2020-05-04_0_C"	"SSB"	2020-05-04	"0"	"C"	"N2O_ECD"	0
"10"	"1/15/21 15:05"	"SSB_2020-05-04_3_A"	"SSB"	2020-05-04	"3"	"A"	"CO2_TCD"	8904
"11"	"1/15/21 15:05"	"SSB_2020-05-04_3_A"	"SSB"	2020-05-04	"3"	"A"	"CH4_TCD"	5453
"12"	"1/15/21 15:05"	"SSB_2020-05-04_3_A"	"SSB"	2020-05-04	"3"	"A"	"N2O_ECD"	0
"13"	"1/15/21 15:20"	"SSB_2020-05-04_3_B"	"SSB"	2020-05-04	"3"	"B"	"CO2_TCD"	8427
"14"	"1/15/21 15:20"	"SSB_2020-05-04_3_B"	"SSB"	2020-05-04	"3"	"B"	"CH4_TCD"	5528
"15"	"1/15/21 15:20"	"SSB_2020-05-04_3_B"	"SSB"	2020-05-04	"3"	"B"	"N2O_ECD"	0
"16"	"1/15/21 15:35"	"SSB_2020-05-04_3_C"	"SSB"	2020-05-04	"3"	"C"	"CO2_TCD"	8582
"17"	"1/15/21 15:35"	"SSB_2020-05-04_3_C"	"SSB"	2020-05-04	"3"	"C"	"CH4_TCD"	5440
"18"	"1/15/21 15:35"	"SSB_2020-05-04_3_C"	"SSB"	2020-05-04	"3"	"C"	"N2O_ECD"	0
"19"	"1/15/21 15:50"	"SSB_2020-05-04_5_A"	"SSB"	2020-05-04	"5"	"A"	"CO2_TCD"	11135
"20"	"1/15/21 15:50"	"SSB_2020-05-04_5_A"	"SSB"	2020-05-04	"5"	"A"	"CH4_TCD"	15004
"21"	"1/15/21 15:50"	"SSB_2020-05-04_5_A"	"SSB"	2020-05-04	"5"	"A"	"N2O_ECD"	0
"22"	"1/15/21 16:05"	"SSB_2020-05-04_5_B"	"SSB"	2020-05-04	"5"	"B"	"CO2_TCD"	11171
"23"	"1/15/21 16:05"	"SSB_2020-05-04_5_B"	"SSB"	2020-05-04	"5"	"B"	"CH4_TCD"	15132
"24"	"1/15/21 16:05"	"SSB_2020-05-04_5_B"	"SSB"	2020-05-04	"5"	"B"	"N2O_ECD"	0
"25"	"1/15/21 16:20"	"SSB_2020-05-04_5_C"	"SSB"	2020-05-04	"5"	"C"	"CO2_TCD"	10977
"26"	"1/15/21 16:20"	"SSB_2020-05-04_5_C"	"SSB"	2020-05-04	"5"	"C"	"CH4_TCD"	15581
"27"	"1/15/21 16:20"	"SSB_2020-05-04_5_C"	"SSB"	2020-05-04	"5"	"C"	"N2O_ECD"	-1
"28"	"1/15/21 16:35"	"SSB_2020-05-04_7_A"	"SSB"	2020-05-04	"7"	"A"	"CO2_TCD"	18115
"29"	"1/15/21 16:35"	"SSB_2020-05-04_7_A"	"SSB"	2020-05-04	"7"	"A"	"CH4_TCD"	37102
"30"	"1/15/21 16:35"	"SSB_2020-05-04_7_A"	"SSB"	2020-05-04	"7"	"A"	"N2O_ECD"	0
"31"	"1/15/21 16:50"	"SSB_2020-05-04_7_B"	"SSB"	2020-05-04	"7"	"B"	"CO2_TCD"	17895
"32"	"1/15/21 16:50"	"SSB_2020-05-04_7_B"	"SSB"	2020-05-04	"7"	"B"	"CH4_TCD"	35912
"33"	"1/15/21 16:50"	"SSB_2020-05-04_7_B"	"SSB"	2020-05-04	"7"	"B"	"N2O_ECD"	0
"34"	"1/15/21 17:05"	"SSB_2020-05-04_7_C"	"SSB"	2020-05-04	"7"	"C"	"CO2_TCD"	17044
"35"	"1/15/21 17:05"	"SSB_2020-05-04_7_C"	"SSB"	2020-05-04	"7"	"C"	"CH4_TCD"	36171
"36"	"1/15/21 17:05"	"SSB_2020-05-04_7_C"	"SSB"	2020-05-04	"7"	"C"	"N2O_ECD"	-1
"37"	"1/15/21 17:20"	"SSB_2020-05-04_Air_1"	"SSB"	2020-05-04	"Air"	"1"	"CO2_FID"	406
"38"	"1/15/21 17:20"	"SSB_2020-05-04_Air_1"	"SSB"	2020-05-04	"Air"	"1"	"CH4_FID"	117
"39"	"1/15/21 17:20"	"SSB_2020-05-04_Air_1"	"SSB"	2020-05-04	"Air"	"1"	"N2O_ECD"	0
"40"	"1/15/21 17:35"	"SSB_2020-05-04_Air_2"	"SSB"	2020-05-04	"Air"	"2"	"CO2_FID"	362
"41"	"1/15/21 17:35"	"SSB_2020-05-04_Air_2"	"SSB"	2020-05-04	"Air"	"2"	"CH4_FID"	35
"42"	"1/15/21 17:35"	"SSB_2020-05-04_Air_2"	"SSB"	2020-05-04	"Air"	"2"	"N2O_ECD"	0
"43"	"1/15/21 17:50"	"SSB_2020-05-04_Air_3"	"SSB"	2020-05-04	"Air"	"3"	"CO2_FID"	400
"44"	"1/15/21 17:50"	"SSB_2020-05-04_Air_3"	"SSB"	2020-05-04	"Air"	"3"	"CH4_FID"	17
"45"	"1/15/21 17:50"	"SSB_2020-05-04_Air_3"	"SSB"	2020-05-04	"Air"	"3"	"N2O_ECD"	0
"46"	"1/15/21 18:05"	"TB_2020-05-04_0_A"	"TB"	2020-05-04	"0"	"A"	"CO2_TCD"	5674
"47"	"1/15/21 18:05"	"TB_2020-05-04_0_A"	"TB"	2020-05-04	"0"	"A"	"CH4_TCD"	1894
"48"	"1/15/21 18:05"	"TB_2020-05-04_0_A"	"TB"	2020-05-04	"0"	"A"	"N2O_ECD"	-1
"49"	"1/15/21 18:20"	"TB_2020-05-04_0_B"	"TB"	2020-05-04	"0"	"B"	"CO2_TCD"	5872
"50"	"1/15/21 18:20"	"TB_2020-05-04_0_B"	"TB"	2020-05-04	"0"	"B"	"CH4_TCD"	2014
"51"	"1/15/21 18:20"	"TB_2020-05-04_0_B"	"TB"	2020-05-04	"0"	"B"	"N2O_ECD"	0
"52"	"1/15/21 18:35"	"TB_2020-05-04_0_C"	"TB"	2020-05-04	"0"	"C"	"CO2_TCD"	5611
"53"	"1/15/21 18:35"	"TB_2020-05-04_0_C"	"TB"	2020-05-04	"0"	"C"	"CH4_TCD"	2054
"54"	"1/15/21 18:35"	"TB_2020-05-04_0_C"	"TB"	2020-05-04	"0"	"C"	"N2O_ECD"	-1
"55"	"1/15/21 18:50"	"TB_2020-05-04_3_A"	"TB"	2020-05-04	"3"	"A"	"CO2_TCD"	7881
"56"	"1/15/21 18:50"	"TB_2020-05-04_3_A"	"TB"	2020-05-04	"3"	"A"	"CH4_TCD"	3945
"57"	"1/15/21 18:50"	"TB_2020-05-04_3_A"	"TB"	2020-05-04	"3"	"A"	"N2O_ECD"	-1
"58"	"1/15/21 19:05"	"TB_2020-05-04_3_B"	"TB"	2020-05-04	"3"	"B"	"CO2_TCD"	7747
"59"	"1/15/21 19:05"	"TB_2020-05-04_3_B"	"TB"	2020-05-04	"3"	"B"	"CH4_TCD"	4195
"60"	"1/15/21 19:05"	"TB_2020-05-04_3_B"	"TB"	2020-05-04	"3"	"B"	"N2O_ECD"	-1
"61"	"1/15/21 19:20"	"TB_2020-05-04_3_C"	"TB"	2020-05-04	"3"	"C"	"CO2_TCD"	7751
"62"	"1/15/21 19:20"	"TB_2020-05-04_3_C"	"TB"	2020-05-04	"3"	"C"	"CH4_TCD"	3944
"63"	"1/15/21 19:20"	"TB_2020-05-04_3_C"	"TB"	2020-05-04	"3"	"C"	"N2O_ECD"	-1
"64"	"1/15/21 19:35"	"TB_2020-05-04_5_A"	"TB"	2020-05-04	"5"	"A"	"CO2_TCD"	8203
"65"	"1/15/21 19:35"	"TB_2020-05-04_5_A"	"TB"	2020-05-04	"5"	"A"	"CH4_TCD"	4921
"66"	"1/15/21 19:35"	"TB_2020-05-04_5_A"	"TB"	2020-05-04	"5"	"A"	"N2O_ECD"	-1
"67"	"1/15/21 19:50"	"TB_2020-05-04_5_B"	"TB"	2020-05-04	"5"	"B"	"CO2_TCD"	8098
"68"	"1/15/21 19:50"	"TB_2020-05-04_5_B"	"TB"	2020-05-04	"5"	"B"	"CH4_TCD"	4753
"69"	"1/15/21 19:50"	"TB_2020-05-04_5_B"	"TB"	2020-05-04	"5"	"B"	"N2O_ECD"	-1
"70"	"1/15/21 20:06"	"TB_2020-05-04_5_C"	"TB"	2020-05-04	"5"	"C"	"CO2_TCD"	2535
"71"	"1/15/21 20:06"	"TB_2020-05-04_5_C"	"TB"	2020-05-04	"5"	"C"	"CH4_TCD"	1208
"72"	"1/15/21 20:06"	"TB_2020-05-04_5_C"	"TB"	2020-05-04	"5"	"C"	"N2O_ECD"	-1
"73"	"1/15/21 20:21"	"TB_2020-05-04_7_A"	"TB"	2020-05-04	"7"	"A"	"CO2_TCD"	10063
"74"	"1/15/21 20:21"	"TB_2020-05-04_7_A"	"TB"	2020-05-04	"7"	"A"	"CH4_TCD"	10958
"75"	"1/15/21 20:21"	"TB_2020-05-04_7_A"	"TB"	2020-05-04	"7"	"A"	"N2O_ECD"	-1
"76"	"1/15/21 20:36"	"TB_2020-05-04_7_B"	"TB"	2020-05-04	"7"	"B"	"CO2_TCD"	10139
"77"	"1/15/21 20:36"	"TB_2020-05-04_7_B"	"TB"	2020-05-04	"7"	"B"	"CH4_TCD"	10952
"78"	"1/15/21 20:36"	"TB_2020-05-04_7_B"	"TB"	2020-05-04	"7"	"B"	"N2O_ECD"	-1
"79"	"1/15/21 20:51"	"TB_2020-05-04_7_C"	"TB"	2020-05-04	"7"	"C"	"CO2_TCD"	9743
"80"	"1/15/21 20:51"	"TB_2020-05-04_7_C"	"TB"	2020-05-04	"7"	"C"	"CH4_TCD"	9456
"81"	"1/15/21 20:51"	"TB_2020-05-04_7_C"	"TB"	2020-05-04	"7"	"C"	"N2O_ECD"	-1
"82"	"1/15/21 21:06"	"TB_2020-05-04_Air_1"	"TB"	2020-05-04	"Air"	"1"	"CO2_FID"	373
"83"	"1/15/21 21:06"	"TB_2020-05-04_Air_1"	"TB"	2020-05-04	"Air"	"1"	"CH4_FID"	34
"84"	"1/15/21 21:06"	"TB_2020-05-04_Air_1"	"TB"	2020-05-04	"Air"	"1"	"N2O_ECD"	0
"85"	"1/15/21 21:21"	"TB_2020-05-04_Air_2"	"TB"	2020-05-04	"Air"	"2"	"CO2_FID"	353
"86"	"1/15/21 21:21"	"TB_2020-05-04_Air_2"	"TB"	2020-05-04	"Air"	"2"	"CH4_FID"	12
"87"	"1/15/21 21:21"	"TB_2020-05-04_Air_2"	"TB"	2020-05-04	"Air"	"2"	"N2O_ECD"	0
"88"	"1/15/21 21:36"	"TB_2020-05-04_Air_3"	"TB"	2020-05-04	"Air"	"3"	"CO2_FID"	356
"89"	"1/15/21 21:36"	"TB_2020-05-04_Air_3"	"TB"	2020-05-04	"Air"	"3"	"CH4_FID"	7
