analysis_date,sample_id,lake,date,depth,replicate,parameter,value
4/16/21 4:51,SSB_2021-04-13_0_1,SSB,4/13/21,0,1,CH4_FID,228
4/16/21 5:06,SSB_2021-04-13_0_2,SSB,4/13/21,0,2,CH4_FID,219
4/16/21 5:21,SSB_2021-04-13_0_3,SSB,4/13/21,0,3,CH4_FID,189
4/16/21 4:51,SSB_2021-04-13_0_1,SSB,4/13/21,0,1,CO2_FID,386
4/16/21 5:06,SSB_2021-04-13_0_2,SSB,4/13/21,0,2,CO2_FID,564
4/16/21 5:21,SSB_2021-04-13_0_3,SSB,4/13/21,0,3,CO2_FID,437
4/16/21 4:51,SSB_2021-04-13_0_1,SSB,4/13/21,0,1,N2O_ECD,0
4/16/21 5:06,SSB_2021-04-13_0_2,SSB,4/13/21,0,2,N2O_ECD,0
4/16/21 5:21,SSB_2021-04-13_0_3,SSB,4/13/21,0,3,N2O_ECD,0
4/16/21 5:36,SSB_2021-04-13_3_1,SSB,4/13/21,3,1,CH4_TCD,2960
4/16/21 5:51,SSB_2021-04-13_3_2,SSB,4/13/21,3,2,CH4_TCD,2923
4/16/21 6:06,SSB_2021-04-13_3_3,SSB,4/13/21,3,3,CH4_TCD,3224
4/16/21 5:36,SSB_2021-04-13_3_1,SSB,4/13/21,3,1,CO2_TCD,8230
4/16/21 5:51,SSB_2021-04-13_3_2,SSB,4/13/21,3,2,CO2_TCD,7809
4/16/21 6:06,SSB_2021-04-13_3_3,SSB,4/13/21,3,3,CO2_TCD,8498
4/16/21 5:36,SSB_2021-04-13_3_1,SSB,4/13/21,3,1,N2O_ECD,0
4/16/21 5:51,SSB_2021-04-13_3_2,SSB,4/13/21,3,2,N2O_ECD,0
4/16/21 6:06,SSB_2021-04-13_3_3,SSB,4/13/21,3,3,N2O_ECD,0
4/16/21 6:21,SSB_2021-04-13_5_1,SSB,4/13/21,5,1,CH4_TCD,4174
4/16/21 6:36,SSB_2021-04-13_5_2,SSB,4/13/21,5,2,CH4_TCD,4683
4/16/21 6:51,SSB_2021-04-13_5_3,SSB,4/13/21,5,3,CH4_TCD,3766
4/16/21 6:21,SSB_2021-04-13_5_1,SSB,4/13/21,5,1,CO2_TCD,8891
4/16/21 6:36,SSB_2021-04-13_5_2,SSB,4/13/21,5,2,CO2_TCD,9064
