lake,date,lakedepth,dissolvedCO2,dissolvedCH4
TB,1/30/20,0.5,0.000612,2.44E-05
TB,1/30/20,0.5,0.000623,2.63E-05
TB,1/30/20,0.5,0.000597,2.60E-05
TB,1/30/20,3,0.000632,3.05E-05
TB,1/30/20,3,0.000656,3.81E-05
TB,1/30/20,3,0.000655,3.74E-05
TB,1/30/20,5,0.000667,4.40E-05
TB,1/30/20,5,0.000668,4.91E-05
TB,1/30/20,5,0.000683,5.36E-05
TB,1/30/20,7,0.00117,0.000645
TB,1/30/20,7,0.00117,0.000473
SSB,1/31/20,0.5,0.000544,1.64E-05
SSB,1/31/20,0.5,0.000545,1.53E-05
SSB,1/31/20,0.5,0.000538,1.34E-05
SSB,1/31/20,3,0.000628,4.12E-05
SSB,1/31/20,3,0.000628,3.98E-05
SSB,1/31/20,3,0.00062,3.76E-05
SSB,1/31/20,5,0.000696,8.13E-05
SSB,1/31/20,5,0.000697,7.37E-05
SSB,1/31/20,5,0.000707,8.91E-05
SSB,1/31/20,7,0.00122,0.00044
SSB,1/31/20,7,0.00122,0.000417
SSB,1/31/20,7,0.00122,0.000415
TB,1/10/20,3,0.000672,3.65E-05
TB,1/10/20,3,0.000639,3.84E-05
TB,1/10/20,3,0.000686,3.31E-05
TB,1/10/20,5,0.000644,3.51E-05
TB,1/10/20,5,0.000653,3.10E-05
TB,1/10/20,5,0.000669,3.53E-05
TB,1/10/20,7,0.000728,7.64E-05
TB,1/10/20,7,0.000782,0.000125
TB,1/10/20,7,0.000858,0.000206
SSB,1/9/20,0.5,0.000473,3.87E-05
SSB,1/9/20,0.5,0.000441,3.58E-05
SSB,1/9/20,0.5,0.000471,4.57E-05
SSB,1/9/20,3,0.000607,4.96E-05
SSB,1/9/20,3,0.000561,4.26E-05
SSB,1/9/20,3,0.000619,4.11E-05
SSB,1/9/20,5,0.000659,7.63E-05
SSB,1/9/20,5,0.000636,8.12E-05
SSB,1/9/20,5,0.000676,8.92E-05
SSB,1/9/20,7,0.00176,0.00135
SSB,1/9/20,7,0.00189,0.00124
SSB,1/9/20,7,0.00193,0.00125
SSB,2/14/20,0.5,0.00053,1.24E-05
SSB,2/14/20,0.5,0.000523,1.43E-05
SSB,2/14/20,0.5,0.000531,1.91E-05
SSB,2/14/20,3,0.000651,6.01E-05
SSB,2/14/20,3,0.000644,5.68E-05
SSB,2/14/20,3,0.000682,8.22E-05
SSB,2/14/20,5,0.000526,9.48E-05
SSB,2/14/20,5,0.000838,0.00017
SSB,2/14/20,5,0.000792,0.000168
SSB,2/14/20,7,0.00104,0.000392
SSB,2/14/20,7,0.0014,0.000617
SSB,2/14/20,7,0.00144,0.000665
TB,2/15/20,0.5,0.000617,3.30E-05
TB,2/15/20,0.5,0.000583,3.43E-05
TB,2/15/20,0.5,0.000616,3.37E-05
TB,2/15/20,3,0.000644,3.91E-05
TB,2/15/20,3,0.00067,3.77E-05
TB,2/15/20,3,0.000652,4.28E-05
TB,2/15/20,5,0.000711,6.36E-05
TB,2/15/20,5,0.000707,6.06E-05
TB,2/15/20,5,0.000706,6.68E-05
TB,2/15/20,7,0.000745,8.04E-05
TB,2/15/20,7,0.000714,6.70E-05
TB,2/15/20,7,0.000742,8.04E-05
SSB,3/6/20,0.5,0.000571,3.05E-05
SSB,3/6/20,0.5,0.000602,3.40E-05
SSB,3/6/20,0.5,0.00061,3.61E-05
SSB,3/6/20,3,0.00066,6.57E-05
SSB,3/6/20,3,0.000659,7.98E-05
SSB,3/6/20,3,0.000657,5.60E-05
SSB,3/6/20,5,0.000714,9.94E-05
SSB,3/6/20,5,0.000737,0.000107
SSB,3/6/20,5,0.000742,0.000127
SSB,3/6/20,7,0.0014,0.000688
SSB,3/6/20,7,0.00142,0.000597
SSB,3/6/20,7,0.00135,0.000767
TB,3/7/20,0.5,0.000581,2.44E-05
TB,3/7/20,0.5,0.000616,2.99E-05
TB,3/7/20,0.5,6.00E-04,2.68E-05
TB,3/7/20,3,0.000668,4.62E-05
TB,3/7/20,3,0.00068,4.94E-05
TB,3/7/20,3,0.000677,5.41E-05
TB,3/7/20,5,0.000694,4.79E-05
TB,3/7/20,5,0.000688,7.25E-05
TB,3/7/20,5,0.000713,7.24E-05
TB,3/7/20,7,0.000826,0.000176
TB,3/7/20,7,0.000801,0.000149
TB,3/7/20,7,0.000783,0.00014
TB,1/10/20,0.5,0.000498,2.40E-05
TB,1/10/20,0.5,0.000514,2.33E-05
TB,1/10/20,0.5,0.000549,3.04E-05
