"lake"	"date"	"depth"	"dissolvedCO2"	"dissolvedCH4"
"1"	"SSB"	"5/4/20"	0	0.000211	2.26e-05
"2"	"SSB"	"5/4/20"	0	0.000132	1.89e-05
"3"	"SSB"	"5/4/20"	0	3.81e-05	2.15e-05
"4"	"SSB"	"5/4/20"	3	0.000637	8.73e-05
"5"	"SSB"	"5/4/20"	3	0.000603	8.85e-05
"6"	"SSB"	"5/4/20"	3	0.000614	8.71e-05
"7"	"SSB"	"5/4/20"	5	0.000799	0.000241
"8"	"SSB"	"5/4/20"	5	0.000801	0.000243
"9"	"SSB"	"5/4/20"	5	0.000787	0.00025
"10"	"SSB"	"5/4/20"	7	0.0013	0.000597
"11"	"SSB"	"5/4/20"	7	0.00128	0.000577
"12"	"SSB"	"5/4/20"	7	0.00122	0.000582
"13"	"TB"	"5/4/20"	0	0.000336	2.9e-05
"14"	"TB"	"5/4/20"	0	0.000348	3.09e-05
"15"	"TB"	"5/4/20"	0	0.000332	3.15e-05
"16"	"TB"	"5/4/20"	3	0.000569	6.36e-05
"17"	"TB"	"5/4/20"	3	0.000559	6.77e-05
"18"	"TB"	"5/4/20"	3	0.000559	6.36e-05
"19"	"TB"	"5/4/20"	5	0.000594	7.95e-05
"20"	"TB"	"5/4/20"	5	0.000586	7.68e-05
"21"	"TB"	"5/4/20"	5	0.00018	1.94e-05
"22"	"TB"	"5/4/20"	7	0.000726	0.000177
"23"	"TB"	"5/4/20"	7	0.000731	0.000177
"24"	"TB"	"5/4/20"	7	0.000703	0.000153
"25"	"TB"	"6/5/20"	0	6.9e-05	-4.17e-08
"26"	"TB"	"6/5/20"	0	6.88e-05	1.52e-08
"27"	"TB"	"6/5/20"	0	0.000102	-3.75e-08
"28"	"TB"	"6/5/20"	3	0.000671	7.46e-05
"29"	"TB"	"6/5/20"	3	0.000671	7.86e-05
"30"	"TB"	"6/5/20"	3	0.000674	7.57e-05
"31"	"TB"	"6/5/20"	5	0.000695	0.000108
"32"	"TB"	"6/5/20"	5	0.000699	0.000104
"33"	"TB"	"6/5/20"	5	0.000698	0.000103
"34"	"TB"	"6/5/20"	7	0.000646	0.000217
"35"	"TB"	"6/5/20"	7	0.00093	0.000216
"36"	"TB"	"6/5/20"	7	0.000929	0.000227
"37"	"TB"	"6/11/20"	0	9.25e-05	7.67e-07
"38"	"TB"	"6/11/20"	0	9.93e-05	4.71e-07
"39"	"TB"	"6/11/20"	0	9.8e-05	3.67e-07
"40"	"TB"	"6/11/20"	3	0.000661	7.79e-05
"41"	"TB"	"6/11/20"	3	0.000617	7.26e-05
"42"	"TB"	"6/11/20"	3	0.000649	7.18e-05
"43"	"TB"	"6/11/20"	5	0.000673	9.72e-05
"44"	"TB"	"6/11/20"	5	0.000677	0.000104
"45"	"TB"	"6/11/20"	5	0.000681	0.000104
"46"	"TB"	"6/11/20"	7	0.000831	0.000207
"47"	"TB"	"6/11/20"	7	0.000843	0.000217
"48"	"TB"	"6/11/20"	7	0.000849	0.000214
"49"	"SSB"	"6/18/20"	0	6.6e-05	2.38e-07
"50"	"SSB"	"6/18/20"	0	6.93e-05	1.56e-06
"51"	"SSB"	"6/18/20"	0	6.21e-05	8.21e-07
"52"	"SSB"	"6/18/20"	3	0.000944	0.000141
"53"	"SSB"	"6/18/20"	3	0.000937	0.000132
"54"	"SSB"	"6/18/20"	3	0.000933	0.000129
"55"	"SSB"	"6/18/20"	5	0.001	0.000221
"56"	"SSB"	"6/18/20"	5	0.000987	0.00021
"57"	"SSB"	"6/18/20"	5	0.00104	0.000253
"58"	"TB"	"6/18/20"	0	6.36e-05	-5.72e-08
"59"	"TB"	"6/18/20"	0	6.25e-05	-4.86e-08
"60"	"TB"	"6/18/20"	0	6.27e-05	-6.8e-08
"61"	"TB"	"6/18/20"	3	0.000735	7.91e-05
"62"	"TB"	"6/18/20"	3	0.00072	7.97e-05
"63"	"TB"	"6/18/20"	3	0.000706	7.26e-05
"64"	"TB"	"6/18/20"	5	0.000737	9.59e-05
"65"	"TB"	"6/18/20"	5	0.000731	9.48e-05
"66"	"TB"	"6/18/20"	5	0.000736	9.3e-05
"67"	"TB"	"6/18/20"	7	0.00102	0.00028
"68"	"TB"	"6/18/20"	7	0.00103	0.000268
"69"	"TB"	"6/18/20"	7	0.00101	0.000277
"70"	"TB"	"6/24/20"	0	0.00019	4.3e-07
"71"	"TB"	"6/24/20"	0	0.00019	4.35e-07
"72"	"TB"	"6/24/20"	0	0.000193	5.83e-07
"73"	"TB"	"6/24/20"	3	0.000757	7.47e-05
"74"	"TB"	"6/24/20"	3	0.000765	7.63e-05
"75"	"TB"	"6/24/20"	3	0.000775	7.87e-05
"76"	"TB"	"6/24/20"	5	0.000791	9.78e-05
"77"	"TB"	"6/24/20"	5	0.00078	9.82e-05
"78"	"TB"	"6/24/20"	5	0.000786	9.91e-05
"79"	"TB"	"6/24/20"	7	0.00115	0.000351
"80"	"TB"	"6/24/20"	7	0.00114	0.000333
"81"	"TB"	"6/24/20"	7	0.00114	0.000323
"82"	"SSB"	"6/25/20"	0	9.11e-05	-2.89e-08
"83"	"SSB"	"6/25/20"	0	0.000106	4.45e-07
"84"	"SSB"	"6/25/20"	0	0.000105	2.2e-06
"85"	"SSB"	"6/25/20"	3	0.000797	0.000131
"86"	"SSB"	"6/25/20"	3	0.00077	0.000117
"87"	"SSB"	"6/25/20"	3	0.00078	0.000124
"88"	"SSB"	"6/25/20"	5	0.000839	0.000171
"89"	"SSB"	"6/25/20"	5	0.000826	0.000175
"90"	"SSB"	"6/25/20"	5	0.000777	0.000179
"91"	"SSB"	"6/25/20"	7	0.00128	0.000635
"92"	"SSB"	"6/25/20"	7	0.00128	0.000638
"93"	"SSB"	"6/25/20"	7	0.00128	0.000591
"94"	"TB"	"6/30/20"	0	4.94e-05	3.3e-07
"95"	"TB"	"6/30/20"	0	4.8e-05	3.58e-07
"96"	"TB"	"6/30/20"	0	4.9e-05	3.1e-07
"97"	"TB"	"6/30/20"	3	0.000762	8.35e-05
"98"	"TB"	"6/30/20"	3	0.000749	8.08e-05
"99"	"TB"	"6/30/20"	3	0.000757	8.45e-05
"100"	"TB"	"6/30/20"	5	0.000765	9.99e-05
"101"	"TB"	"6/30/20"	5	0.000709	1e-04
"102"	"TB"	"6/30/20"	5	0.000726	9.57e-05
"103"	"TB"	"6/30/20"	7	0.00108	0.000308
"104"	"TB"	"6/30/20"	7	0.00111	0.000353
"105"	"TB"	"6/30/20"	7	0.00108	0.000309
"106"	"SSB"	"7/2/20"	0	6.98e-05	1.66e-06
"107"	"SSB"	"7/2/20"	0	6.78e-05	-3.62e-07
"108"	"SSB"	"7/2/20"	0	6.93e-05	2.24e-06
"109"	"SSB"	"7/2/20"	3	0.000888	0.000184
"110"	"SSB"	"7/2/20"	3	0.000886	0.000174
"111"	"SSB"	"7/2/20"	3	0.000882	0.000167
"112"	"SSB"	"7/2/20"	5	0.000912	0.000198
"113"	"SSB"	"7/2/20"	5	0.000934	0.000206
"114"	"SSB"	"7/2/20"	5	0.000918	0.000196
"115"	"SSB"	"7/2/20"	7	0.00132	0.00058
"116"	"SSB"	"7/2/20"	7	0.00116	0.000542
"117"	"SSB"	"7/2/20"	7	0.00133	0.00059
"118"	"TB"	"7/7/20"	0	6.21e-05	2.49e-07
"119"	"TB"	"7/7/20"	0	6.36e-05	5.31e-07
